Issue Type,Issue key,Summary,Status,Parent key,Parent summary,Sprint,Release Month,Category
Story,SFDC-569,Close future anonymised opportunities,Released,SFDC-433,BAU Enhancement,7,January,BAU
Story,SFDC-568,Anonymise Opp Names with Anonymised Contacts,Released,SFDC-433,BAU Enhancement,7,January,BAU
Story,SFDC-287,Building Page Layout Update,Released,SFDC-432,Audit - UX,7,January,BAU
Story,SFDC-286,Block Page Layout Update,Released,SFDC-432,Audit - UX,7,January,BAU
Story,SFDC-656,Create Operations User Perm Sets,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-653,Create Resident Services/Portfolio Manager CRUD perm set,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-652,Create Property Manager CRUD permset,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-650,Create Operations CRUD perm Set,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-648,Residential Senior Lettings CRUD perm set,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-647,Resi Lettings Manager CRUD perm set,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-644,Unit - Add 'Notes' back to page layout,Released,SFDC-433,BAU Enhancement,8,February,BAU
Story,SFDC-641,Lead - Waitlist Out Reasons,Released,SFDC-433,BAU Enhancement,8,February,BAU
Story,SFDC-632,Update PS_Residential_Lettings_CRUD,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-456,PRS Team Permission Set Group,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-455,Head of PRS Permission Set Group,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-454,Resident Services Team Permission Set Group,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-453,Head of Resident Services Permission Set Group,Released,SFDC-431,RBAC,8,February,RBAC
Story,SFDC-712,Update All Resi Lettings CRUD perm sets,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-705,Create Property Sales Permissions,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-702,Property Sales User Permission Set Group,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-701,Update Residential Leasing User PS,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-699,Add Touchpoint Survey Read PS to Ops PSGs,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-693,Create PS_Credit_Control_CRUD permission Set,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-692,Update Operations PSGs with new Perm Sets (New Strategy Allignment),Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-689,Identify 'Under Other Contract' Blocks,Released,SFDC-433,BAU Enhancement,9,March,BAU
Story,SFDC-682,System Support Permission Set Group,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-681,PS_Customer_Service_Advisor_CRUD update,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-679,PS_Tenancy_Progression_CRUD update,Released,SFDC-431,RBAC,9,March,RBAC
Story,SFDC-651,Add Custom Permission to Lettings Users Permissions PS,Released,SFDC-431,RBAC,9,March,RBAC
