Branch Id,Branch Name,Mailing Address Line 1,Mailing Address Line 2,Mailing Postcode,Development Code
71442,Grainger - Apex Gardens,822 Seven Sisters,"London, London",N15 5EZ,14337-71442
71415,Grainger - Argo Apartments,4 Silvertown Way,"London, London",E16 1ED,14337-71415
71424,Grainger - Brook Place,10 Summerfield Street,"Sheffield, South Yorkshire",S11 8BR,14337-71424
71401,Grainger - Clippers Quay,Waterman Walk,"Salford, Salford",M50 3AS,14337-71401
71397,Grainger - Copper Works,5 Capital Quarter Tyndall Street,"Butetown, Cardiff",CF10 4DS,14337-71397
71430,Grainger - Enigma Square,414 North Row,"Milton Keynes, Buckinghamshire",MK9 2FU,14337-71430
71419,Grainger - Fortunes Dock,Seraphina & Nautilus Apartme 1 Norah Smyth Road,"Canning Town, London",E16 1GE,14337-71419
71428,Grainger - Gatehouse Apartments,East Street,"Southampton, Hampshire",SO14 3HP,14337-71428
71389,Grainger - Gilders Yard,14 Great Hampton Street,"Birmingham, Birmingham",B18 6ER,14337-71389
71395,Grainger - Glasshouse Square,Redcliffe Quarter St Thomas Street,"Bristol, Bristol",BS1 6QL,14337-71395
71417,Grainger - Grainger,Citygate St James' Boulevard,"Newcastle upon Tyne, Tyne & Wear",NE1 4JE,14337-71417
71391,Grainger - Hawkins & George,East Tucker Street,"Finzels Reach, Bristol",BS1 6WQ,14337-71391
71409,Grainger - Millet Place,3 Millet Place,"London, London",E16 2YE,14337-71409
71393,Grainger - Millwrights Place,1 E Tucker Street,"Redcliffe, Bristol",BS1 6FL,14337-71393
71413,Grainger - Pin Yard,11 Sweet Street,"Leeds, West Yorkshire",LS11 9FA,14337-71413
71432,Grainger - Solstice Apartments,801 Silbury Blvd,"Milton Keynes, Buckinghamshire",MK9 3FL,14337-71432
71403,Grainger - The Astley,61 Houldsworth St,"Manchester, Greater Manchester",M1 2FA,14337-71403
71436,Grainger - The Barnum,23 Queens Road,"Nottingham, Nottinghamshire",NG2 3FJ,14337-71436
71399,Grainger - The Condor,1 Springwell Square,"Derby, Derbyshire",DE1 1FB,14337-71399
71411,Grainger - The Filaments,217 Chapel St,"Salford, Greater Manchester",M3 5PA,14337-71411
71407,Grainger - The Forge,Forth Banks,"Newcastle upon Tyne, Tyne & Wear",NE1 3AA,14337-71407
71426,Grainger - The Grainger Collection At Wellesley,Darbyshire Road,"Aldershot, Surrey",GU11 1FL,14337-71426
71440,Grainger - The Headline,1 Wellington Park Way,"Leeds, West Yorkshire",LS1 4ET,14337-71440
71438,Grainger - The Kimmeridge,2 Westminster Way,"Oxford, Oxfordshire",OX2 0FN,14337-71438
71405,Grainger - The Mint,Assay Apartments Station View,"Guildford, Surrey",GU1 4BQ,14337-71405
71387,Grainger - The Silver Yard,100 Moor Street,"Queensway, Birmingham",B18 6ER,14337-71387
71422,Grainger - The Tilt Works,84 Upper Allen Street,"Sheffield, South Yorkshire",S3 7NY,14337-71422
71434,Grainger - Weavers Yard,11 Market Street,"Newbury, Berkshire",RG14 5LX,14337-71434
71444,Grainger - Windlass Apartments,Hale Wharf 4 Ferry Lane,"London, London",N17 9QH,14337-71444
