product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000nwwoAAA,01sPv0000038lL1IAI,1331.57,Monthly,TRUE
01t8d000000nwwoAAA,01sPv0000038lL2IAI,1337.97,Monthly,TRUE
01t8d000000nwwoAAA,01sPv0000038lKzIAI,1344.6,Monthly,TRUE
01t8d000000nwwoAAA,01sPv0000038lL0IAI,1351.27,Monthly,TRUE
01t8d000000nwwoAAA,01sPv00000246dZIAQ,1357.33,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTtIAI,1364.06,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTuIAI,1370.61,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTvIAI,1377.41,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTwIAI,1384.02,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTxIAI,1390.89,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTyIAI,1397.79,Monthly,TRUE
01t8d000000nwwoAAA,01sPv000002kqTzIAI,1404.5,Monthly,TRUE
01t8d000000nwwpAAA,01sPv0000038lL1IAI,1356.7,Monthly,TRUE
01t8d000000nwwpAAA,01sPv0000038lL2IAI,1363.21,Monthly,TRUE
01t8d000000nwwpAAA,01sPv0000038lKzIAI,1369.97,Monthly,TRUE
01t8d000000nwwpAAA,01sPv0000038lL0IAI,1376.77,Monthly,TRUE
01t8d000000nwwpAAA,01sPv00000246dZIAQ,1382.94,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTtIAI,1389.8,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTuIAI,1396.47,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTvIAI,1403.4,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTwIAI,1410.14,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTxIAI,1417.13,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTyIAI,1424.16,Monthly,TRUE
01t8d000000nwwpAAA,01sPv000002kqTzIAI,1431,Monthly,TRUE
01t8d000000nwwqAAA,01sPv0000038lL1IAI,1818.98,Monthly,TRUE
01t8d000000nwwqAAA,01sPv0000038lL2IAI,1827.71,Monthly,TRUE
01t8d000000nwwqAAA,01sPv0000038lKzIAI,1836.78,Monthly,TRUE
01t8d000000nwwqAAA,01sPv0000038lL0IAI,1845.89,Monthly,TRUE
01t8d000000nwwqAAA,01sPv00000246dZIAQ,1854.16,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTtIAI,1863.36,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTuIAI,1872.31,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTvIAI,1881.59,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTwIAI,1890.63,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTxIAI,1900.01,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTyIAI,1909.43,Monthly,TRUE
01t8d000000nwwqAAA,01sPv000002kqTzIAI,1918.6,Monthly,TRUE
01t8d000000nwwyAAA,01sPv0000038lL1IAI,1386.85,Monthly,TRUE
01t8d000000nwwyAAA,01sPv0000038lL2IAI,1393.5,Monthly,TRUE
01t8d000000nwwyAAA,01sPv0000038lKzIAI,1400.42,Monthly,TRUE
01t8d000000nwwyAAA,01sPv0000038lL0IAI,1407.37,Monthly,TRUE
01t8d000000nwwyAAA,01sPv00000246dZIAQ,1413.67,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTtIAI,1420.68,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTuIAI,1427.5,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTvIAI,1434.59,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTwIAI,1441.47,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTxIAI,1448.62,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTyIAI,1455.81,Monthly,TRUE
01t8d000000nwwyAAA,01sPv000002kqTzIAI,1462.8,Monthly,TRUE
01t8d000000nwx8AAA,01sPv0000038lL1IAI,1221.03,Monthly,TRUE
01t8d000000nwx8AAA,01sPv0000038lL2IAI,1226.89,Monthly,TRUE
01t8d000000nwx8AAA,01sPv0000038lKzIAI,1232.98,Monthly,TRUE
01t8d000000nwx8AAA,01sPv0000038lL0IAI,1239.09,Monthly,TRUE
01t8d000000nwx8AAA,01sPv00000246dZIAQ,1244.64,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTtIAI,1250.82,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTuIAI,1256.82,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTvIAI,1263.06,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTwIAI,1269.12,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTxIAI,1275.42,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTyIAI,1281.75,Monthly,TRUE
01t8d000000nwx8AAA,01sPv000002kqTzIAI,1287.9,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv0000038lL1IAI,2125.49,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv0000038lL2IAI,2135.7,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv0000038lKzIAI,2146.29,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv0000038lL0IAI,2156.94,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv00000246dZIAQ,2166.6,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTtIAI,2177.35,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTuIAI,2187.8,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTvIAI,2198.66,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTwIAI,2209.21,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTxIAI,2220.17,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTyIAI,2231.19,Monthly,TRUE
01t8d000000nwxDAAQ,01sPv000002kqTzIAI,2241.9,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lL1IAI,1346.65,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lL2IAI,1353.11,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lKzIAI,1359.83,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lL0IAI,1366.57,Monthly,TRUE
01t8d000000nYpaAAE,01sPv00000246dZIAQ,1372.69,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTtIAI,1379.5,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTuIAI,1386.13,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTvIAI,1393,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTwIAI,1399.69,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTxIAI,1406.64,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTyIAI,1413.61,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTzIAI,1420.4,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL1IAI,1803.91,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL2IAI,1812.57,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lKzIAI,1821.56,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL0IAI,1830.59,Monthly,TRUE
01t8d000000nYpdAAE,01sPv00000246dZIAQ,1838.8,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTtIAI,1847.92,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTuIAI,1856.79,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTvIAI,1866,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTwIAI,1874.96,Monthly,TRUE
