"id","tenancy__c","opportunity__c","pms_reference__c","accountid","recordtypeid","unit__c","status","tenancy_status__c","startdate","enddate","ownerid","agreement_type__c","document_type__c","memorandum_of_agreement_date__c","actual_move_out_date__c","uplift_percentage__c","security_deposit_amount__c","break_clause__c","special_clauses__c","special_clause_free_text__c","vehicle_make__c","vehicle_model__c","vehicle_registration__c"
"8004J000000BQKmQAO",,"0064J00000DGaf5QAD",,"0014J00000W2ISHQA3","012Nz0000050AZCIA2","a1G4J0000025tTBUAY","Draft","Draft","2021-03-23","2023-03-22","0054J000002Ia2PQAS","AST","Memo of Agreement (any change of)","2021-03-17",,,,"2 at 4 to expire at 6",,,,,
"8004J000000BQLLQA4",,"0064J00000DGaf5QAD",,"0014J00000W2ISHQA3","012Nz0000050AZCIA2","a1G4J0000025tTBUAY","Draft","Draft","2021-03-23","2023-03-22","0054J000002JJSyQAO","AST","Memo of Agreement (any change of)","2021-03-01",,,,"2 at 4 to expire at 6",,,,,
"8004J000000BQQBQA4",,"0064J00000DGaf5QAD",,"0014J00000W2ISHQA3","012Nz0000050AZCIA2","a1G4J0000025tTBUAY","Draft","Draft","2021-03-23","2023-03-22","0054J000004vV6kQAE","AST","Memo of Agreement (any change of)","2021-03-17",,,,"2 at 4 to expire at 6",,,,,
"8004J000000BQQQQA4",,"0064J00000DGaf5QAD",,"0014J00000W2ISHQA3","012Nz0000050AZCIA2","a1G4J0000025tTBUAY","Draft","Draft","2021-03-23","2023-03-22","0054J000004vV6kQAE","Live Work","Live Work Agreement",,,,,"2 at 4 to expire at 6",,"Test test test test test LIVE WORK LIVE WORK LIVE WORK",,,
"8004J000000BQQRQA4",,"0064J00000DGaf5QAD",,"0014J00000W2ISHQA3","012Nz0000050AZCIA2","a1G4J0000025tTBUAY","Draft","Draft","2021-03-23","2023-03-22","0054J000004vV6kQAE","AST","AST",,,,,"2 at 4 to expire at 6",,"Test test test test test LIVE WORK LIVE WORK LIVE WORK",,,
"8004J000000BWubQAG",,"0064J00000DHb9qQAD",,"0014J00000W55KJQAZ","012Nz0000050AZCIA2","a1G4J0000025xr4UAA","Draft","Draft","2021-04-17","2022-04-16","0054J000004vXPGQA2","AST","AST",,,,,"2 at 4 to expire at 6",,,,,
"8004J000000BWulQAG",,"0064J00000DHaRoQAL",,"0014J00000W51iLQAR","012Nz0000050AZCIA2","a1G4J0000025wlpUAA","Draft","Draft","2021-03-31","2021-09-30","0054J000004vXPGQA2","AST","AST",,,,,"No Break",,,,,
"8004J000000Ba5hQAC",,"0064J00000DHmpTQAT",,"0014J00000W5Tt6QAF","012Nz0000050AZCIA2","a1G4J0000025xnkUAA","Draft","Draft","2021-05-07","2022-05-06","0054J000004vXPGQA2","AST","AST",,,,,"2 at 4 to expire at 6",,,,,
"8004J000000BaaGQAS",,"0064J00000DIQKkQAP",,"0014J00000VvSMwQAN","012Nz0000050AZCIA2","a1G4J0000025xqJUAQ","Draft","Draft","2021-05-10","2024-05-09","0054J000004vXP2QAM","AST","AST",,,,,"2 at 10 to expire at 12",,,,,
"8004J000000BadAQAS",,"0064J00000DHGO6QAP",,"0014J00000W4EpdQAF","012Nz0000050AZCIA2","a1G4J0000025z7rUAA","Draft","Draft","2021-04-21","2022-04-20","0054J000005l5ISQAY","AST","AST",,,,,"No Break",,,,,
