"pms_reference","opportunity_id","opportunity_agreement_type","tenancy_agreement_type"
"103086022002","006Nz0000096YmbIAE","Other","Licence"
"104122018002","006Nz00000DBB3tIAH","Other","Licence"
"104122019002","006Nz00000DBA7qIAH","Other","Licence"
"104152054003","006Nz00000BKQg0IAH","Parking Licence","Licence"
"104152055005","006Nz00000BKSOPIA5","Parking Licence","Licence"
"104152056003","006Nz00000LcRsoIAF","Parking Licence","Licence"
"104152059004","006Nz00000FFJrKIAX","Parking Licence","Licence"
"104152060003","006Nz000006UpMcIAK","Parking Licence","Licence"
"104152061002","006Nz00000BMN1JIAX","Parking Licence","Licence"
"104152063003","006Nz00000PTik1IAD","Parking Licence","Licence"
"104152064004","006Nz000006UkI9IAK","Parking Licence","Licence"
"104152065002","006Nz000006UoqMIAS","Parking Licence","Licence"
"104152066002","006Nz000006Ulu9IAC","Parking Licence","Licence"
"104152070003","006Nz00000LcgS2IAJ","Parking Licence","Licence"
"104152073003","006Nz00000TQAz9IAH","Parking Licence","Licence"
"104152074005","006Nz00000PTX2EIAX","Parking Licence","Licence"
"104152077006","006Nz00000TPvTsIAL","Parking Licence","Licence"
"104152082003","006Nz000006UtwTIAS","Parking Licence","Licence"
"104152090004","006Nz00000PTEfVIAX","Parking Licence","Licence"
"104152106005","006Nz00000FF9SDIA1","Parking Licence","Licence"
"104152111002","006Nz000007tyabIAA","Parking Licence","Licence"
"104152113003","006Nz00000TVH8kIAH","Parking Licence","Licence"
"104152115004","006Nz000006WfXdIAK","Parking Licence","Licence"
"104152116004","006Nz000006WeQKIA0","Parking Licence","Licence"
"104152117003","006Nz00000BdAcJIAV","Parking Licence","Licence"
"104152123004","006Nz00000TVNSfIAP","Parking Licence","Licence"
"104152127002","006Nz00000PTOwdIAH","Parking Licence","Licence"
"104152129002","006Nz00000BJYUKIA5","Parking Licence","Licence"
"104455027003","006Nz00000R7tD8IAJ","Parking Licence","Licence"
"104455038002","006Nz00000PCNbxIAH","Parking Licence","Licence"
"105099059007","006Nz000009cErMIAU","Other","Licence"
"109956008002","006Nz00000TQjYmIAL","Other","Decant Agreement Normal"
"109989094002","006Nz00000TVHqHIAX","Other","Licence"
"109989100002","006Nz00000TNorWIAT","Other","Licence"
"109989103002","006Nz00000PMltAIAT","Other","Licence"
"111889001004","006Nz00000QYenHIAT","Other","Licence"
"111892001007","006Nz000006ayqDIAQ","Other","Licence"
"113516001003","006Nz00000TV981IAD","Parking Licence","Licence"
"114054003002","006Nz00000EVURaIAP","Parking Licence","Licence"
"114342001004","006Nz00000RFwqaIAD","Other","Licence"
"114351001002","006Nz00000DbrE3IAJ","Parking Licence","Licence"
"122486104003","006Nz00000J7zexIAB","Parking Licence","Licence"
"122486106005","006Nz000007LyQDIA0","Parking Licence","Licence"
"122486106005","006Nz00000LpommIAB","Parking Licence","Licence"
"122486107007","006Nz00000O5OC0IAN","Parking Licence","Licence"
"122486110006","006Nz00000Kx1iwIAB","Parking Licence","Licence"
"122486112008","006Nz00000SphMBIAZ","Parking Licence","Licence"
"127057198008","006Nz00000T0Nf4IAF","Parking Licence","Licence"
"127057205009","006Nz00000LcUsDIAV","Parking Licence","Licence"
"127057205009","006Nz00000NitwRIAR","Parking Licence","Licence"
"127057221008","006Nz00000SorKMIAZ","Parking Licence","Licence"
"127057221008","006Nz00000TLcXqIAL","Parking Licence","Licence"
"127057226006","006Nz00000QpbMnIAJ","Parking Licence","Licence"
"127057237008","006Nz00000ChqatIAB","Parking Licence","Licence"
"127057237008","006Nz00000HbzvgIAB","Parking Licence","Licence"
"127057237008","006Nz00000QyOVIIA3","Parking Licence","Licence"
"127057240004","006Nz00000QprHpIAJ","Parking Licence","Licence"
"127057242009","006Nz00000F9xjQIAR","Parking Licence","Licence"
"127057242009","006Nz00000Ta83MIAR","Parking Licence","Licence"
"127118001003","006Nz00000P3A9JIAV","AST","AST (Affordable)"
"127283010002","006Nz000007bChJIAU","AST","AST (Affordable)"
"127483047002","006Nz00000CXUU2IAP","AST (Affordable)","AST"
"127483048002","006Nz00000OCewjIAD","AST","AST (Affordable)"
"127483069001","006Nz00000IKdJ3IAL","AST (Affordable)","AST"
"127484005005","006Nz00000Nn5niIAB","Parking Licence","Licence"
"127484005005","006Nz00000NugXJIAZ","Parking Licence","Licence"
"127484006003","006Nz00000GoCWbIAN","Parking Licence","Licence"
"127484006003","006Nz00000MBgh4IAD","Parking Licence","Licence"
"127484006003","006Nz00000Tw0JtIAJ","Parking Licence","Licence"
"127484008002","006Nz00000LORe8IAH","Parking Licence","Licence"
"127484010003","006Nz00000KOUeEIAX","Parking Licence","Licence"
"127484010003","006Nz00000TdTJPIA3","Parking Licence","Licence"
"127484015002","006Nz00000DczqzIAB","Parking Licence","Licence"
"127484015002","006Nz00000JNl3JIAT","Parking Licence","Licence"
"127484015002","006Nz00000Rk107IAB","Parking Licence","Licence"
"127535007002","006Nz00000EVSROIA5","AST (Affordable)","AST"
"222491005006","006Nz00000D7CmfIAF","Parking Licence","Licence"
"222491005006","006Nz00000RqPAxIAN","Parking Licence","Licence"
"222491008007","006Nz00000GEGq7IAH","Parking Licence","Licence"
"222491008007","006Nz00000U8n7MIAR","Parking Licence","Licence"
"222491009005","006Nz00000RFvpdIAD","Parking Licence","Licence"
"222491010006","006Nz00000OJvj8IAD","Parking Licence","Licence"
"222491016006","006Nz00000LmfxoIAB","Parking Licence","Licence"
"222491017006","006Nz00000QptoKIAR","Parking Licence","Licence"
"222491018007","006Nz00000Nwwj7IAB","Parking Licence","Licence"
"222491021006","006Nz00000PtAd8IAF","Parking Licence","Licence"
"222491022005","006Nz00000Tm4OvIAJ","Parking Licence","Licence"
"222491024006","006Nz00000In8y9IAB","Parking Licence","Licence"
"222491025004","006Nz00000AsZjTIAV","Parking Licence","Licence"
"222491026004","006Nz00000Dc3LbIAJ","Parking Licence","Licence"
"222491026004","006Nz00000G6qkLIAR","Parking Licence","Licence"
"222491026004","006Nz00000SOsVWIA1","Parking Licence","Licence"
"222491027006","006Nz00000T1DCIIA3","Parking Licence","Licence"
"222491028004","006Nz00000Mg0ADIAZ","Parking Licence","Licence"
"222491029005","006Nz000009z8hpIAA","Parking Licence","Licence"
"222491029005","006Nz00000NflSNIAZ","Parking Licence","Licence"
"222491030011","006Nz00000EMtc5IAD","Parking Licence","Licence"
"222491030011","006Nz00000SbODHIA3","Parking Licence","Licence"
"222491031006","006Nz00000OySd9IAF","Parking Licence","Licence"
"222491032003","006Nz00000PeAALIA3","Parking Licence","Licence"
"222491035009","006Nz00000Q2zV4IAJ","Parking Licence","Licence"
"222491036009","006Nz00000DQzJjIAL","Parking Licence","Licence"
"222491036009","006Nz00000S4tPNIAZ","Parking Licence","Licence"
"222491038008","006Nz00000BE9oMIAT","Parking Licence","Licence"
"222491038008","006Nz00000PMHvAIAX","Parking Licence","Licence"
"222491039008","006Nz00000JxgQAIAZ","Parking Licence","Licence"
"222491041003","006Nz000007DhG3IAK","Parking Licence","Licence"
"222491041003","006Nz00000Knn2jIAB","Parking Licence","Licence"
"222491045005","006Nz00000PGwuVIAT","Parking Licence","Licence"
"222491048004","006Nz00000QFIvPIAX","Parking Licence","Licence"
"222491049006","006Nz00000IhoSGIAZ","Parking Licence","Licence"
"222491051010","006Nz00000T4UtLIAV","Parking Licence","Licence"
"222491053008","006Nz00000Bre4GIAR","Parking Licence","Licence"
"222491053008","006Nz00000E4ttvIAB","Parking Licence","Licence"
"222491053008","006Nz00000Q6X3LIAV","Parking Licence","Licence"
"222491054008","006Nz00000DMsITIA1","Parking Licence","Licence"
"222491054008","006Nz00000Rk105IAB","Parking Licence","Licence"
"222491055003","006Nz00000E3lk0IAB","Parking Licence","Licence"
"222491055003","006Nz00000GXqmcIAD","Parking Licence","Licence"
"222491055003","006Nz00000SOsVaIAL","Parking Licence","Licence"
"222491059002","006Nz00000Q2rB1IAJ","Parking Licence","Licence"
"222491060008","006Nz00000Ex9jyIAB","Parking Licence","Licence"
"222491060008","006Nz00000TEhvtIAD","Parking Licence","Licence"
"222491061006","006Nz00000KXqKTIA1","Parking Licence","Licence"
"222491061006","006Nz00000PjK4LIAV","Parking Licence","Licence"
"222491066005","006Nz00000DNqXtIAL","Parking Licence","Licence"
"222491066005","006Nz00000Eg5T3IAJ","Parking Licence","Licence"
"222491066005","006Nz00000RxKhiIAF","Parking Licence","Licence"
"222491069004","006Nz00000TJKaDIAX","Parking Licence","Licence"
"222491073009","006Nz00000KBxm9IAD","Parking Licence","Licence"
"222491079006","006Nz00000Lo64vIAB","Parking Licence","Licence"
"222491081006","006Nz00000GF6ruIAD","Parking Licence","Licence"
"222491081006","006Nz00000U8n7OIAR","Parking Licence","Licence"
"222491084004","006Nz00000BaIGFIA3","Parking Licence","Licence"
"222491084004","006Nz00000PmAOhIAN","Parking Licence","Licence"
"222491086006","006Nz000007Vrf7IAC","Parking Licence","Licence"
"222491086006","006Nz00000KzRStIAN","Parking Licence","Licence"
"222491088005","006Nz00000Gz5EYIAZ","Parking Licence","Licence"
"222491089006","006Nz000009Y84RIAS","Parking Licence","Licence"
"222491089006","006Nz00000NGQr7IAH","Parking Licence","Licence"
"222491090004","006Nz00000FF2KGIA1","Parking Licence","Licence"
"222491090004","006Nz00000T7Im0IAF","Parking Licence","Licence"
"222491098005","006Nz00000Dy7NJIAZ","Parking Licence","Licence"
"222491098005","006Nz00000SIr5yIAD","Parking Licence","Licence"
"222491099005","006Nz00000DW0YXIA1","Parking Licence","Licence"
"222491099005","006Nz00000E91joIAB","Parking Licence","Licence"
"222491099005","006Nz00000RqPCUIA3","Parking Licence","Licence"
"222491104009","006Nz00000SJ0NeIAL","Parking Licence","Licence"
"222491107006","006Nz00000C79m6IAB","Parking Licence","Licence"
"222491107006","006Nz00000QIItyIAH","Parking Licence","Licence"
"222491109003","006Nz00000EqRyZIAV","Parking Licence","Licence"
"222491109003","006Nz00000LvgubIAB","Parking Licence","Licence"
"222491109003","006Nz00000TowcpIAB","Parking Licence","Licence"
"222491110009","006Nz00000BvNrDIAV","Parking Licence","Licence"
"222491110009","006Nz00000Q6X3NIAV","Parking Licence","Licence"
"222491113003","006Nz00000JVMB4IAP","Parking Licence","Licence"
"222491113003","006Nz00000Kp7SDIAZ","Parking Licence","Licence"
"222491122006","006Nz000009VKlFIAW","Parking Licence","Licence"
"222491122006","006Nz00000OEd2BIAT","Parking Licence","Licence"
"222491123003","006Nz00000SU7vFIAT","Parking Licence","Licence"
"222491129005","006Nz000008TI0AIAW","Parking Licence","Licence"
"222491129005","006Nz00000MBgh9IAD","Parking Licence","Licence"
"222491130008","006Nz00000HdPWIIA3","Parking Licence","Licence"
"222491131004","006Nz000006KyUQIA0","Parking Licence","Licence"
"222491131004","006Nz00000KBmkOIAT","Parking Licence","Licence"
"222491133005","006Nz000009HbKZIA0","Parking Licence","Licence"
"222491133005","006Nz00000MkeNbIAJ","Parking Licence","Licence"
"222491133005","006Nz00000Mkk05IAB","Parking Licence","Licence"
"222491141003","006Nz00000AsZMTIA3","Parking Licence","Licence"
"222491143003","006Nz00000SPVQKIA5","Parking Licence","Licence"
"222491150007","006Nz00000LVSvGIAX","Parking Licence","Licence"
