id,Tenancy__r:Contract:PMS_Reference__C
a24Nz000004jOqHIAU,900003026005
a24Nz000003oqsvIAA,900002122002
a24Nz000004aoonIAA,900002110003
a24Nz000004rPu1IAE,900002109005
a24Nz000004hIx3IAE,900002103002
a24Nz000004qgLpIAI,900002073005
a24Nz0000051PUXIA2,900002052001
a24Nz000004StNSIA0,900002042001
a24Nz0000050djFIAQ,900002040004
a24Nz000004FgKnIAK,900002031008
a24Nz000004x425IAA,900002024005
a24Nz000004QbPpIAK,900002023003
a24Nz000002KTSvIAO,418645132003
a24Nz000004fAtxIAE,418645115004
a24Nz000004wSKzIAM,418645114004
a24Nz000004xB0LIAU,418645113003
a24Nz000004jlEzIAI,418645103005
a24Nz000004fwk5IAA,418645095003
a24Nz000004rae9IAA,418645087005
a24Nz000004cNanIAE,418645076006
a24Nz000004cNm5IAE,418645072004
a24Nz000004zO38IAE,418645053003
a24Nz000003jt3RIAQ,418645022005
a24Nz000004qxPtIAI,418639067001
a24Nz000004rgBhIAI,418639058003
a24Nz000004LATVIA4,418639052002
a24Nz0000048Z7xIAE,418639002002
a24Nz000004wEOTIA2,418638012003
a24Nz000004cbNdIAI,418637031004
a24Nz000004nqxdIAA,418637001003
a24Nz000004qnDdIAI,418636030004
a24Nz000004sEwYIAU,418636028003
a24Nz0000050MSHIA2,418636024001
a24Nz000004weKXIAY,418636023001
a24Nz000004rThVIAU,418636012003
a24Nz0000048XvlIAE,418634009003
a24Nz000004ZdXGIA0,418621003001
a24Nz000004rVrNIAU,418617004002
a24Nz000004ZjeHIAS,418615004002
a24Nz000004OdvZIAS,418613005002
a24Nz000004kVJRIA2,418604002004
a24Nz000001uBBVIA2,418602001003
a24Nz000004lPlRIAU,418594001002
a24Nz000004oCYLIA2,418593005003
a24Nz000004YJnVIAW,418593003001
a24Nz000004hORNIA2,418579040003
a24Nz000003dhrNIAQ,418579028006
a24Nz000004gH5NIAU,418578109002
a24Nz000004eVM9IAM,418578051004
a24Nz000004rh7lIAA,418578035005
a24Nz0000050Y21IAE,418578028004
a24Nz000004jJ93IAE,418578014001
a24Nz000004S9fZIAS,418578003007
