"unit_reference","unit__c","unit_description","event","action_date","event_date","status","attention_of","unit_tenure","unit_type","unit_status","include_exclude","multiple_rent_review_diary","comment"
"103057001","a1G4J0000025tU4UAI",,"Rent Review","2025-12-20","2026-03-20","Pending","SR1","Assd.Per","Mid Terrace","Tenanted","Include","No",
"113789001","a1G4J0000025w7SUAQ",,"Rent Review","2026-07-07","2026-11-07","Pending","SR1","Regulated","Flat PB","Tenanted","Include","No",
"127177001","a1G4J0000025xHTUAY",,"Rent Review","2025-05-10","2025-08-10","Pending","MM2","Sh Owner","Det House","Tenanted","Include","No",
"127331006","a1G4J0000025xP0UAI",,"Rent Review","2025-05-23","2025-08-23","Pending","MM2","Sh Owner","Flat PB","Tenanted","Include","No",
"127783001","a1GNz0000001U0rMAE",,"Rent Review","2025-09-05","2025-12-05","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127785004","a1GNz000000wHoUMAU",,"Rent Review","2026-02-21","2026-06-21","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127790001","a1GNz000001JcDtMAK",,"Rent Review","2026-02-21","2026-06-21","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127799003","a1GNz0000002jQrMAI",,"Rent Review","2025-06-04","2025-09-04","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127799006","a1GNz0000002iUoMAI",,"Rent Review","2025-05-30","2025-08-30","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127808001","a1GNz000000i5FJMAY",,"Rent Review","2026-03-03","2026-06-03","Pending","AG3","Sh Owner","End Terrace","Tenanted","Include","No",
"127834001","a1GNz000001ygdJMAQ",,"Rent Review","2026-03-19","2026-06-19","Pending","AG3","Sh Owner","End Terrace","Tenanted","Include","No",
"127835001","a1GNz000001yga5MAA",,"Rent Review","2025-06-20","2025-09-20","Pending","AG3","Sh Owner","Mid Terrace","Tenanted","Include","No",
"127836001","a1GNz000001ygevMAA",,"Rent Review","2026-03-21","2026-06-21","Pending","AG3","Sh Owner","Mid Terrace","Tenanted","Include","No",
"127843001","a1GNz000002WPwtMAG",,"Rent Review","2026-03-29","2026-07-29","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843002","a1GNz000002WQ4fMAG",,"Rent Review","2025-06-06","2025-09-06","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843003","a1GNz000002WQ6HMAW",,"Rent Review","2025-06-23","2025-09-23","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843004","a1GNz000002WQ7tMAG",,"Rent Review","2025-06-06","2025-09-06","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843005","a1GNz000002WQ9VMAW",,"Rent Review","2025-06-20","2025-09-20","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843007","a1GNz000002WQJBMA4",,"Rent Review","2025-09-19","2025-12-19","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843008","a1GNz000002WQO1MAO",,"Rent Review","2025-09-17","2025-12-17","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127843009","a1GNz000002WQPdMAO",,"Rent Review","2025-06-20","2025-09-20","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127844001","a1GNz000002WOcMMAW",,"Rent Review","2025-06-17","2025-09-17","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127845001","a1GNz000002WQ33MAG",,"Rent Review","2025-06-06","2025-09-06","Pending","AG3","Sh Owner","Mid Terrace","Tenanted","Include","No",
"127847001","a1GNz000002WPbeMAG",,"Rent Review","2026-03-18","2026-07-18","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127848001","a1GNz000002WPyDMAW",,"Rent Review","2025-06-23","2025-09-23","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127849001","a1GNz000002WPzpMAG",,"Rent Review","2025-05-28","2025-08-28","Pending","AG3","Sh Owner","Mid Terrace","Tenanted","Include","No",
"127850001","a1GNz000002WPbfMAG",,"Rent Review","2026-03-12","2026-07-12","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127865001","a1GNz000004TMSfMAO",,"Rent Review","2025-12-28","2026-03-28","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127866001","a1GNz000004TMPRMA4",,"Rent Review","2025-10-24","2026-01-24","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127874001","a1GNz000005JzL3MAK",,"Rent Review","2025-10-24","2026-01-24","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874002","a1GNz000005JzMfMAK",,"Rent Review","2025-12-28","2026-03-28","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874003","a1GNz000005JzT7MAK",,"Rent Review","2025-11-28","2026-02-28","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874004","a1GNz000005JzUjMAK",,"Rent Review","2025-11-14","2026-02-14","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874005","a1GNz000005JzWLMA0",,"Rent Review","2025-11-14","2026-02-14","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874006","a1GNz000005JzXxMAK",,"Rent Review","2025-11-03","2026-02-03","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874008","a1GNz000005JzbBMAS",,"Rent Review","2026-02-09","2026-05-09","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127874009","a1GNz000005JzcnMAC",,"Rent Review","2025-12-14","2026-03-14","Pending","AG3","Sh Owner","Flat PB","Tenanted","Include","No",
"127879001","a1GNz000005JzRVMA0",,"Rent Review","2025-09-13","2025-12-13","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"127880001","a1GNz000005JyooMAC",,"Rent Review","2025-10-10","2026-01-10","Pending","AG3","Sh Owner","S/D House","Tenanted","Include","No",
"317352024","a1G4J0000025zEhUAI",,"Rent Review","2025-08-01","2025-11-01","Pending","SW4","Assd.Per","Flat PB","Tenanted","Include","No",
"317676002","a1G4J0000025xyjUAA",,"Rent Review","2026-04-12","2026-08-12","Pending","SW4","Regulated","Flat PB","Tenanted","Include","No",
