unit_reference,unit__c,event,action_date,event_date,status,attention_of,unit_tenure,unit_type,unit_status,include_exclude
127634002,a1G4J000004PtLeUAK,Rent Review,2026/03/21,2026/06/21,Active,,Aff Rent,Flat PB,Tenanted,Include
103237001,a1G4J0000025tenUAA,Rent Review,2026/03/01,2026/06/01,Pending,,AST-REF,S/D House,Tenanted,Include
103213001,a1G4J0000025tU2UAI,Rent Review,2026/03/01,2026/06/01,Pending,,AST-REF,S/D House,Tenanted,Include
127107005,a1G4J0000025x5PUAQ,Rent Review,2026/01/29,2026/04/29,Active,,Aff Rent,Flat PB,Tenanted,Include
418564036,a1G4J0000025zImUAI,Rent Review,2026/02/01,2026/06/01,Pending,,Assd.Per,S/D House,Tenanted,Include
127833001,a1GNz000001ydM6MAI,Rent Review,2026/02/16,2026/05/16,Active,,Aff Rent,S/D House,Tenanted,Include
127603001,a1G4J0000025xcJUAQ,Rent Review,2026/01/01,2026/04/01,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127695007,a1G8d0000004j6oEAA,Rent Review,2025/12/16,2026/03/16,Active,,Aff Rent,Flat PB,Tenanted,Include
127483003,a1G4J0000025xXMUAY,Rent Review,2025/12/22,2026/03/22,Active,,Aff Rent,Flat PB,Tenanted,Include
127604001,a1G4J0000025xDKUAY,Rent Review,2025/12/11,2026/03/11,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127176001,a1G4J0000025woNUAQ,Rent Review,2026/01/30,2026/04/30,Active,,Aff Rent,S/D House,Tenanted,Include
127623001,a1G4J000004jwNlUAI,Rent Review,2026/03/04,2026/06/04,Active,,Aff Rent,S/D House,Tenanted,Include
127706001,a1G8d00000059oAEAQ,Rent Review,2026/04/28,2026/07/28,Active,,Aff Rent,S/D House,Tenanted,Include
127773004,a1GNz0000000uYTMAY,Rent Review,2026/05/07,2026/08/07,Active,,Aff Rent,Flat PB,Tenanted,Include
127800006,a1GNz0000002jdlMAA,Rent Review,2025/10/05,2026/01/05,Active,,Aff Rent,Flat PB,Tenanted,Include
127621001,a1G4J000004jubmUAA,Rent Review,2026/01/01,2026/04/01,Active,,Aff Rent,Mid Terrace,Tenanted,Include
103264001,a1G4J0000025tgZUAQ,Rent Review,2026/03/01,2026/06/01,Pending,,AST-REF,S/D House,Tenanted,Include
127635001,a1G4J000004PteNUAS,Rent Review,2026/04/08,2026/07/08,Active,,Aff Rent,Flat PB,Tenanted,Include
127816001,a1GNz000000hvW5MAI,Rent Review,2025/10/04,2026/01/04,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127443001,a1G4J0000025xTfUAI,Rent Review,2025/10/15,2026/01/15,Active,,Aff Rent,S/D House,Tenanted,Include
110038001,a1G4J0000025v3kUAA,Rent Review,2025/12/17,2026/03/17,Active,,Gr Lets,Flat PB,Tenanted,Include
127229001,a1G4J0000025xGwUAI,Rent Review,2026/03/29,2026/06/29,Active,,Aff Rent,Flat PB,Tenanted,Include
127698003,a1G8d0000004j5bEAA,Rent Review,2025/12/28,2026/03/28,Active,,Aff Rent,Flat PB,Tenanted,Include
127695008,a1G8d0000004j6tEAA,Rent Review,2025/12/16,2026/03/16,Active,,Aff Rent,Flat PB,Tenanted,Include
127131007,a1G4J0000025x8NUAQ,Rent Review,2026/05/08,2026/08/08,Active,,Aff Rent,Flat PB,Tenanted,Include
103262001,a1G4J0000025tgjUAA,Rent Review,2026/03/01,2026/06/01,Pending,,AST-REF,End Terrace,Tenanted,Include
127701001,a1G8d00000059oPEAQ,Rent Review,2026/04/04,2026/07/04,Active,,Aff Rent,S/D House,Tenanted,Include
127698001,a1G8d0000004j5lEAA,Rent Review,2025/12/29,2026/03/29,Active,,Aff Rent,Flat PB,Tenanted,Include
127229010,a1G4J0000025xIxUAI,Rent Review,2026/03/12,2026/06/12,Active,,Aff Rent,Flat PB,Tenanted,Include
127257007,a1G4J0000025xH7UAI,Rent Review,2026/03/09,2026/06/09,Active,,Aff Rent,Flat PB,Tenanted,Include
127762001,a1G8d00000240V1EAI,Rent Review,2026/03/15,2026/06/15,Active,,Aff Rent,S/D House,Tenanted,Include
127695001,a1G8d0000004j6KEAQ,Rent Review,2025/12/16,2026/03/16,Active,,Aff Rent,Flat PB,Tenanted,Include
127107010,a1G4J0000025xDMUAY,Rent Review,2026/01/06,2026/04/06,Active,,Aff Rent,Flat PB,Tenanted,Include
127695005,a1G8d0000004j6eEAA,Rent Review,2025/12/16,2026/03/16,Active,,Aff Rent,Flat PB,Tenanted,Include
103250001,a1G4J0000025teiUAA,Rent Review,2026/01/01,2026/05/01,Pending,,AST-REF,S/D House,Tenanted,Include
127107001,a1G4J0000025x4EUAQ,Rent Review,2026/02/26,2026/05/26,Active,,Aff Rent,Flat PB,Tenanted,Include
103244001,a1G4J0000025tZhUAI,Rent Review,2026/03/01,2026/06/01,Pending,,AST-REF,S/D House,Tenanted,Include
127631001,a1G4J000004PteSUAS,Rent Review,2026/05/13,2026/08/13,Active,,Aff Rent,S/D House,Tenanted,Include
127827001,a1GNz000001fuvJMAQ,Rent Review,2026/01/23,2026/04/23,Active,,Aff Rent,End Terrace,Tenanted,Include
127212001,a1G4J0000025wmdUAA,Rent Review,2026/03/07,2026/06/07,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127698007,a1G8d0000004j6AEAQ,Rent Review,2025/12/28,2026/03/28,Active,,Aff Rent,Flat PB,Tenanted,Include
127131004,a1G4J0000025x9vUAA,Rent Review,2026/04/21,2026/07/21,Active,,Aff Rent,Flat PB,Tenanted,Include
127609001,a1G4J0000025xd0UAA,Rent Review,2026/01/30,2026/04/30,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127829001,a1GNz000001fuwvMAA,Rent Review,2026/01/23,2026/04/23,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127826001,a1GNz000001futhMAA,Rent Review,2026/01/25,2026/04/25,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127605001,a1G4J0000025xcSUAQ,Rent Review,2025/10/25,2026/02/25,Active,,Aff Rent,Mid Terrace,Tenanted,Include
127695006,a1G8d0000004j6jEAA,Rent Review,2025/12/18,2026/03/18,Active,,Aff Rent,Flat PB,Tenanted,Include
103231001,a1G4J0000025teFUAQ,Rent Review,2026/05/01,2026/08/01,Pending,,AST-REF,S/D House,Tenanted,Include
103224001,a1G4J0000025tajUAA,Rent Review,2026/05/01,2026/08/01,Pending,,AST-REF,S/D House,Tenanted,Include
127535018,a1G4J0000025xbiUAA,Rent Review,2025/12/31,2026/03/31,Active,,DMR-AST,Flat PB,Tenanted,Include
127415001,a1G4J0000025xF1UAI,Rent Review,2026/03/26,2026/06/26,Active,,Aff Rent,S/D House,Tenanted,Include
127483005,a1G4J0000025xV2UAI,Rent Review,2026/05/29,2026/08/29,Active,,Aff Rent,Flat PB,Tenanted,Include
127709001,a1G8d00000059oyEAA,Rent Review,2026/03/22,2026/06/22,Active,,Aff Rent,S/D House,Tenanted,Include
