Id,Unit__c,StartDate,Tenancy_End_Date__c
800Pv00000Fsyg6IAB,a1G4J0000025tqLUAQ,2025-05-01,2027-04-30
800Pv00000FtF2iIAF,a1G4J0000025tUUUAY,1981-01-01,
800Pv00000FtF2sIAF,a1G4J0000025tVMUAY,1980-06-06,
800Pv00000Fv46LIAR,a1G4J0000025tVMUAY,,
800Pv00000Fw8EKIAZ,a1G8d0000005rW2EAI,,
800Pv00000FwU3WIAV,a1G4J0000025wrPUAQ,2025-04-14,2026-04-13
800Pv00000FwhWzIAJ,a1G4J0000025wq7UAA,2025-04-09,2026-04-08
800Pv00000Fy8BnIAJ,a1G4J0000025xFkUAI,2025-04-10,2026-04-09
800Pv00000Fy8FDIAZ,a1GPv00000PWRoHMAX,,
800Pv00000FyDWRIA3,a1G8d0000004D6NEAU,2025-04-10,2026-04-09
800Pv00000FyDgAIAV,a1G4J0000025zyAUAQ,2025-04-10,2026-04-09
800Pv00000FyFI6IAN,a1G4J0000025tnHUAQ,2005-07-01,
800Pv00000FzSlCIAV,a1G4J0000025zFrUAI,2024-01-19,2025-01-18
800Pv00000FzSlDIAV,a1G4J0000025zOgUAI,2023-10-07,2024-10-06
800Pv00000FzSlEIAV,a1G4J0000025zRhUAI,2023-04-17,2025-04-16
800Pv00000FzSlFIAV,a1G4J0000025zRtUAI,2023-07-06,2024-07-05
800Pv00000FzSlGIAV,a1G4J0000025zbuUAA,2023-07-24,2025-07-23
800Pv00000FzSlHIAV,a1G4J0000025zbxUAA,2023-11-25,2024-11-24
800Pv00000FzSlIIAV,a1G4J0000025zcKUAQ,2023-08-21,2025-08-20
800Pv00000FzSlJIAV,a1G4J0000025zcQUAQ,2021-06-19,2025-06-18
800Pv00000FzSlKIAV,a1G4J0000025zcSUAQ,2024-02-14,2026-02-13
800Pv00000FzSlLIAV,a1G4J0000025zf2UAA,2024-06-29,2025-06-28
800Pv00000FzYkAIAV,a1G8d0000004bbHEAQ,1912-04-01,2911-03-31
800Pv00000FzYkCIAV,a1G8d0000004gXcEAI,,
800Pv00000FzYkDIAV,a1G8d0000004gXhEAI,,
800Pv00000FzYkGIAV,a1G8d000002QBOqEAO,2024-03-15,2024-10-14
800Pv00000FzaPOIAZ,a1G4J0000025wS6UAI,2004-09-29,2174-09-28
800Pv00000FzaPRIAZ,a1G4J0000025wSMUAY,2019-01-07,2169-01-06
800Pv00000FzaPSIAZ,a1G4J0000025wSPUAY,2007-12-04,2157-11-30
800Pv00000FzaPTIAZ,a1G4J0000025wSXUAY,1950-09-29,2949-09-28
800Pv00000FzaPVIAZ,a1G4J0000025wScUAI,1985-09-29,2084-09-28
800Pv00000FzaPXIAZ,a1G4J0000025wSgUAI,2020-07-17,2170-07-16
800Pv00000FzaPZIAZ,a1G4J0000025wSqUAI,1979-09-29,2168-09-28
800Pv00000FzaPaIAJ,a1G4J0000025wSrUAI,2016-08-01,2141-07-31
800Pv00000FzaPfIAJ,a1G4J0000025wTFUAY,2012-09-29,2132-09-28
800Pv00000FzaPpIAJ,a1G4J0000025wTlUAI,1982-09-29,2171-09-28
800Pv00000FzaPsIAJ,a1G4J0000025wTyUAI,2012-09-29,2132-09-28
800Pv00000FzaPtIAJ,a1G4J0000025wU5UAI,1950-12-25,2949-12-24
800Pv00000FzaPvIAJ,a1G4J0000025wU9UAI,2003-09-29,2128-09-28
800Pv00000FzaPyIAJ,a1G4J0000025wUEUAY,1982-09-29,2081-09-28
800Pv00000FzaQ6IAJ,a1G4J0000025wUdUAI,1981-09-29,2080-09-28
800Pv00000FzaQ8IAJ,a1G4J0000025wUfUAI,2005-09-29,2130-09-28
800Pv00000FzaQ9IAJ,a1G4J0000025wUhUAI,2007-08-08,2132-08-07
800Pv00000FzaQAIAZ,a1G4J0000025wUnUAI,2008-09-29,2133-09-28
800Pv00000FzaQCIAZ,a1G4J0000025wUwUAI,2011-09-29,2110-09-28
800Pv00000FzaQDIAZ,a1G4J0000025wV2UAI,1983-09-29,2082-09-28
800Pv00000FzaQEIAZ,a1G4J0000025wV3UAI,2010-09-29,2135-09-28
800Pv00000FzaQFIAZ,a1G4J0000025wVAUAY,1979-09-29,2078-09-28
800Pv00000FzaQMIAZ,a1G4J0000025wVQUAY,1950-12-25,2949-12-24
800Pv00000FzaQQIAZ,a1G4J0000025wVZUAY,1993-09-29,2092-09-28
800Pv00000FzaQRIAZ,a1G4J0000025wVeUAI,1993-09-29,2092-09-28
800Pv00000FzaQSIAZ,a1G4J0000025wVfUAI,1984-09-29,2083-09-28
800Pv00000FzaQXIAZ,a1G4J0000025wVtUAI,1988-09-29,2087-09-28
800Pv00000FzaQYIAZ,a1G4J0000025wVuUAI,2008-09-29,2133-09-28
800Pv00000FzaQeIAJ,a1G4J0000025wWDUAY,2011-02-25,2136-02-24
800Pv00000FzaQjIAJ,a1G4J0000025wWJUAY,2000-09-29,2099-09-28
800Pv00000FzaQmIAJ,a1G4J0000025wWSUAY,2019-02-15,2144-02-14
800Pv00000FzaQnIAJ,a1G4J0000025wWYUAY,1999-03-25,2098-03-24
800Pv00000FzaQtIAJ,a1G4J0000025wWmUAI,2019-07-19,2169-07-18
800Pv00000FzaQuIAJ,a1G4J0000025wWwUAI,1979-09-29,2078-09-28
800Pv00000FzbmrIAB,a1G4J0000025ukIUAQ,1935-11-28,2934-11-27
800Pv00000FzbmuIAB,a1G4J0000025ukNUAQ,1935-11-28,2934-11-27
800Pv00000FzbmzIAB,a1G4J0000025ukeUAA,2014-03-25,2164-03-24
800Pv00000Fzbn1IAB,a1G4J0000025ukmUAA,1909-03-18,2908-03-17
800Pv00000Fzbn3IAB,a1G4J0000025ukvUAA,2009-03-25,2134-03-24
800Pv00000Fzbn4IAB,a1G4J0000025ul3UAA,2014-03-25,2164-03-24
800Pv00000Fzbn6IAB,a1G4J0000025ulJUAQ,1937-04-05,2737-04-04
800Pv00000FzbnCIAR,a1G4J0000025ulwUAA,2009-03-25,2134-03-24
800Pv00000FzbnEIAR,a1G4J0000025umNUAQ,2014-03-25,2164-03-24
800Pv00000FzbnFIAR,a1G4J0000025umZUAQ,1987-11-27,2887-11-26
800Pv00000FzbnHIAR,a1G4J0000025umrUAA,2012-09-29,2132-09-28
800Pv00000FzbnNIAR,a1G4J0000025unrUAA,1997-09-30,2897-09-29
800Pv00000FzbnUIAR,a1G4J0000025uobUAA,2014-03-25,2164-03-24
800Pv00000FzbnfIAB,a1G4J0000025upDUAQ,2006-10-02,2906-10-01
800Pv00000FzbniIAB,a1G4J0000025upKUAQ,1981-03-25,2101-03-24
