Reference,Unit__c,Description,StartDate,EndDate,Term_Years,Term_Months,Term_Days,Status,Tenure,Type
103057001,a1G4J0000025tU4UAI,"135, Trentham Street, Southfields, London.",,,0,0,0,Tenanted,Assd.Per,Mid Terrace
103065001,a1G4J0000025tUxUAI,"13, Rutland Street, Knightsbridge, London.",,,0,0,0,Tenanted,Regulated,Mid Terrace
103066001,a1G4J0000025tTuUAI,"43, Burnthwaite Road, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103067002,a1G4J0000025tUiUAI,"3, Nottingham Street, Flat 4, Marlyebone, Lon",,,0,0,0,Potent Vacant,Regulated,Flat PB
103070001,a1G4J0000025tTzUAI,"70, Elborough Street, Southfields, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103071001,a1G4J0000025tU9UAI,"57, Pirbright Road, Southfields, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103075001,a1G4J0000025tVMUAY,"34, St Marys Gardens, Kennington, London",2025-04-08,2030-04-07,5,0,0,Tenanted,Regulated,Mid Terrace
103078001,a1G4J0000025tUnUAI,"10, Avalon Road, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103082001,a1G4J0000025tUEUAY,"2, Walton Court, Richmond, Surrey",,,0,0,0,Potent Vacant,Regulated,Flat PB
103082002,a1G4J0000025tUYUAY,"6, Walton Court, Richmond, Surrey",,,0,0,0,Tenanted,Regulated,Flat PB
103083018,a1G4J0000025tUsUAI,"G69, Victoria Court, Coventry, West Midlands",2025-01-21,2025-07-21,0,6,1,Tenanted,AST,Garage
103086001,a1G4J0000025tX3UAI,"28, Amwell St, Flat 1, London, EC1",,,0,0,0,Tenanted,Regulated,Flat PB
103086002,a1G4J0000025tXwUAI,"28, Amwell St, Flat 2, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086003,a1G4J0000025tWjUAI,"28, Amwell St, Flat 3, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086004,a1G4J0000025tWFUAY,"28, Amwell St, Flat 4,  London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086005,a1G4J0000025tVbUAI,"28, Amwell St, Flat 5, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086006,a1G4J0000025tXDUAY,"28, Amwell St, Flat 6, London EC1",,,0,0,0,Tenanted,Regulated,Flat PB
103086007,a1G4J0000025tVmUAI,"28, Amwell St, Flat 7,  London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086008,a1G4J0000025tXNUAY,"28, Amwell St, Flat 8, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086009,a1G4J0000025tUeUAI,"28, Amwell St, Flat 9, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086010,a1G4J0000025tYQUAY,"28, Amwell St, Flat 10, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086011,a1G4J0000025tZsUAI,"28, Amwell St, Flat 11,  London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086012,a1G4J0000025tZiUAI,"28, Amwell St, Flat 12, London EC1",,,0,0,0,AwaitDecision,Vac-S,Flat PB
103086013,a1G4J0000025taRUAQ,"28, Amwell St, Flat 13, London EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103086014,a1G4J0000025tYVUAY,"28, Amwell St, Flat 14,  London EC1",,,0,0,0,Tenanted,Regulated,Flat PB
103086015,a1G4J0000025tWKUAY,"28, Amwell St, Parking 1, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103086016,a1G4J0000025tZnUAI,"28, Amwell St, Parking 2, London, EC1",2021-01-01,2140-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086017,a1G4J0000025tX8UAI,"28, Amwell St, Parking 3, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103086018,a1G4J0000025tWtUAI,"28, Amwell St, Parking 4, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103086019,a1G4J0000025tabUAA,"28, Amwell St, Parking 5, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086020,a1G4J0000025tVqUAI,"28, Amwell St, Parking 6, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086021,a1G4J0000025tW5UAI,"28, Amwell St, Parking 9, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086022,a1G4J0000025tWUUAY,"28, Amwell St, Parking 8, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086023,a1G4J0000025tXmUAI,"28, Amwell St, Parking 7, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086024,a1G4J0000025tWPUAY,"28, Amwell St, Parking 10, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086025,a1G4J0000025tYBUAY,"28, Amwell St, Parking 11, London, EC1",2012-01-01,2131-12-31,120,0,0,Tenanted,Grnd Rent,ParkingSpac
103086026,a1G4J0000025tXSUAY,"28, Amwell St, Parking 12, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103086027,a1G4J0000025tWZUAY,"28, Amwell St, Parking 13, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103086028,a1G4J0000025tXIUAY,"28, Amwell St, Parking 14, London, EC1",,,0,0,0,AwaitDecision,Vac-A,ParkingSpac
103087001,a1G4J0000025tVHUAY,"43 Kathleen Road, GFF, London SW11 2JR",2012-01-01,2136-12-31,125,0,0,Tenanted,Grnd Rent,Flat Conv.
103087002,a1G4J0000025tV2UAI,"43a Kathleen Road, FFF, London SW11 2JR",,,0,0,0,Tenanted,Regulated,Flat Conv.
103088001,a1G4J0000025tTaUAI,"74 Broomwood Road, London SW11 6LA",1979-12-25,2078-12-24,99,0,0,Tenanted,Grnd Rent,Flat Conv.
103088002,a1G4J0000025tTVUAY,"74a Broomwood Road, London SW11 6LA",2023-08-25,2198-08-24,175,0,0,Tenanted,Nil GR,Flat Conv.
103091002,a1G4J0000025tSyUAI,"Flat 2, 15-16 Picton Place, London W1U",,,0,0,0,Tenanted,Regulated,Flat PB
103093001,a1G4J0000025tTpUAI,"57, Harley House, Marylebone Rd, NW1 5HL",,,0,0,0,Tenanted,Regulated,Flat PB
103094001,a1G4J0000025tUJUAY,"11, Harley Hse, Brunswick Pl, London NW1 4PR",,,0,0,0,Tenanted,Regulated,Flat PB
103096001,a1G4J0000025tUtUAI,"35 Lugard Road, Peckham, London SE15 2TB",,,0,0,0,Tenanted,Assd.Per,Mid Terrace
103100001,a1G4J0000025tUUUAY,"Flat A, 39 Clapham Common North Side, SW4 0AA",2025-04-08,2030-04-08,5,0,1,Tenanted,Regulated,Flat Conv.
103100002,a1G4J0000025tXnUAI,"Flat B, 39 Clapham Common North Side, SW4 0AA",2011-05-03,2136-05-02,125,0,0,Tenanted,Grnd Rent,Flat Conv.
103100003,a1G4J0000025tXXUAY,"Flat C, 39 Clapham Common North Side, SW4 0AA",,,0,0,0,Tenanted,Regulated,Flat Conv.
103100004,a1G4J0000025tY6UAI,"Flat D, 39 Clapham Common North Side, SW4 0AA",1996-10-11,2121-10-10,125,0,0,Tenanted,Grnd Rent,Flat Conv.
103102001,a1G4J0000025tVWUAY,"67 Burmester Road, London SW17 0JN",,,0,0,0,Tenanted,Regulated,Mid Terrace
103103001,a1G4J0000025tVgUAI,"35 Stapleton Road, FFF,  London SW17 8BA",2010-06-24,2130-06-23,120,0,0,Tenanted,Grnd Rent,Flat Conv.
103103002,a1G4J0000025tVvUAI,"35a Stapleton Road, GFF, London SW17 8BA",2010-06-24,2135-06-23,125,0,0,Tenanted,Grnd Rent,Flat Conv.
103104001,a1G4J0000025tW0UAI,"121 Ancona Road, London, SE18 1AE",,,0,0,0,Tenanted,Regulated,Mid Terrace
103113001,a1G4J0000025tZOUAY,"29 Dupont Road, Wimbledon, SW20  8EH",,,0,0,0,Tenanted,Regulated,Mid Terrace
103117001,a1G4J0000025tZTUAY,"83 Dupont Road, Wimbledon,  SW20  8EH",,,0,0,0,Tenanted,Regulated,Mid Terrace
103121001,a1G4J0000025tWeUAI,"39 Sydney Road, Wimbledon,  SW20  8EG",,,0,0,0,Tenanted,Regulated,Mid Terrace
103124001,a1G4J0000025tUoUAI,"412A, North Circular Road, Brent, London",1960-12-25,2059-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
103124002,a1G4J0000025tWAUAY,"412, North Circular Road, Brent, London",1987-09-29,2986-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
103125001,a1G4J0000025tXJUAY,"16A, Brendon Avenue, Brent, London",1960-12-25,2059-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
103125002,a1G4J0000025taHUAQ,"16, Brendon Avenue, Brent, London",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103126001,a1G4J0000025tVRUAY,"3, Page Court, London, Mill Hill, London",1958-04-06,2957-04-05,999,0,0,Tenanted,Grnd Rent,Flat PB
103127001,a1G4J0000025tZxUAI,"4, Page Court, London, Mill Hill, London",2021-08-04,2146-08-03,125,0,0,Tenanted,Grnd Rent,Flat PB
103128001,a1G4J0000025tVrUAI,"8, Page Court, London, Mill Hill, London",1984-12-25,2184-12-24,200,0,0,Tenanted,Grnd Rent,Flat PB
103129001,a1G4J0000025tXcUAI,"21a, St Andrews Road, Kingsbury, London",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103129002,a1G4J0000025tXrUAI,"21, St Andrews Road, Kingsbury, London",2019-01-01,2143-12-31,125,0,0,Tenanted,Grnd Rent,Flat PB
103132001,a1G4J0000025tXhUAI,"191a, Carr Road, Northolt, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103132002,a1G4J0000025tY1UAI,"191, Carr Road, Northolt, Middlesex",2004-09-25,2111-09-24,107,0,0,Solic.Instrct,Grnd Rent,Flat PB
103133001,a1G4J0000025tYkUAI,"17, Clifton Road, Greenford, Middlesex",1994-09-29,2093-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
103133002,a1G4J0000025tYzUAI,"19, Clifton Road, Greenford, Middlesex",2011-04-08,2110-04-07,99,0,0,Tenanted,Grnd Rent,Flat PB
103134001,a1G4J00000261NMUAY,"37, Clifton Road, Greenford, Middlesex",2018-03-29,2168-03-28,150,0,0,Tenanted,Nil GR,Flat PB
103134002,a1G4J0000025tgKUAQ,"39, Clifton Road, Greenford, Middlesex",1967-12-25,2966-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103135001,a1G4J0000025tZdUAI,"49, Clifton Road, Greenford, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103135002,a1G4J0000025tYvUAI,"51, Clifton Road, Greenford, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103136001,a1G4J0000025tZ4UAI,"53, Chalkwell Park Avenue, Enfield, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103136002,a1G4J0000025tYpUAI,"55, Chalkwell Park Avenue, Enfield, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103136003,a1G4J0000025tZ9UAI,"57, Chalkwell Park Avenue, Enfield, Middlesex",2002-09-28,2101-09-27,99,0,0,Tenanted,Grnd Rent,Flat PB
103136004,a1G4J0000025tYaUAI,"59, Chalkwell Park Avenue, Enfield, Middlesex",2021-11-08,2174-11-07,153,0,0,Tenanted,Grnd Rent,Flat PB
103137001,a1G4J0000025ta2UAA,"44a, Hertford Road, Enfield, Middlesex",2004-01-01,2129-07-11,125,6,11,Tenanted,Grnd Rent,Flat PB
103137002,a1G4J0000025taCUAQ,"44, Hertford Road, Enfield, Middlesex",2009-09-29,2134-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
103138001,a1G4J0000025tZEUAY,"9, Cuba Drive, Enfield, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,S/D House
103138002,a1G4J0000025tYfUAI,"10, Cuba Drive, Enfield, Middlesex",1967-09-29,2966-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
103138003,a1G4J0000025tYqUAI,"11, Cuba Drive, Enfield, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103138004,a1G4J0000025tYuUAI,"12, Cuba Drive, Enfield, Middlesex",2002-09-29,3002-09-28,1000,0,0,Tenanted,Grnd Rent,Flat PB
103139001,a1G4J0000025tVcUAI,"87, Sandhurst Road, Edmonton, London",1963-01-01,2105-12-31,143,0,0,Tenanted,Grnd Rent,Flat PB
103139002,a1G4J0000025tXYUAY,"85, Sandhurst Road, Edmonton, London",1994-09-29,2093-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
103139003,a1G4J00000261NRUAY,"89, Sandhurst Road, Edmonton, London",1986-09-29,2175-09-28,189,0,0,Tenanted,Nil GR,Flat PB
103139004,a1G4J0000025tZYUAY,"91, Sandhurst Road, Edmonton, London",1964-12-25,2963-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103141001,a1G4J0000025tYLUAY,"29, Glebe Crescent, Harrow, Middlesex",1960-12-25,2149-12-24,189,0,0,Tenanted,Nil GR,Flat PB
103141002,a1G4J0000025tYGUAY,"31, Glebe Crescent, Harrow, Middlesex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,S/D House
103150001,a1G4J0000025ta7UAA,"18, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Assd.Per,Mid Terrace
103154001,a1G4J0000025taMUAQ,"43, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
