contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
003Nz00000F7LqKIAV,104200002006,5 Relevant Person,2023/11/20,,104200002006_003Nz00000F7LqKIAV
003Nz00000G5aw5IAB,110517001004,5 Relevant Person,2024/06/07,,110517001004_003Nz00000G5aw5IAB
003Nz00000GL8pUIAT,110805001003,2 Tenant,,,110805001003_003Nz00000GL8pUIAT
003Nz00000GDWaLIAX,110911001003,2 Tenant,2024/05/03,,110911001003_003Nz00000GDWaLIAX
003Nz00000GLDfOIAX,111868032006,5 Relevant Person,2024/06/14,2191/03/24,111868032006_003Nz00000GLDfOIAX
003Nz00000G70V7IAJ,112738001002,5 Relevant Person,2024/04/30,,112738001002_003Nz00000G70V7IAJ
003Nz00000CQXZJIA5,115589002003,5 Relevant Person,2024/02/16,,115589002003_003Nz00000CQXZJIA5
003Nz00000FeDE2IAN,115611002003,5 Relevant Person,1996/09/29,2185/09/28,115611002003_003Nz00000FeDE2IAN
0038d00000248x4AAA,115618002004,5 Relevant Person,2021/03/25,,115618002004_0038d00000248x4AAA
003Nz0000097U5qIAE,115624001002,5 Relevant Person,2023/10/18,2184/09/28,115624001002_003Nz0000097U5qIAE
003Nz000009JFuDIAW,115635002003,2 Tenant,2022/12/21,,115635002003_003Nz000009JFuDIAW
003Nz00000E6KVRIA3,115645001004,5 Relevant Person,2024/04/24,,115645001004_003Nz00000E6KVRIA3
003Nz00000EYTVnIAP,115658002004,5 Relevant Person,2023/09/27,,115658002004_003Nz00000EYTVnIAP
003Nz00000DCPPpIAP,115974001003,5 Relevant Person,2024/03/21,,115974001003_003Nz00000DCPPpIAP
0034J00000a4dYfQAI,116283001004,5 Relevant Person,2023/12/05,,116283001004_0034J00000a4dYfQAI
003Nz00000FFq0sIAD,122045005003,2 Tenant,2024/05/31,,122045005003_003Nz00000FFq0sIAD
003Nz00000E6qC1IAJ,122486008009,1 Lead Tenant,2024/06/03,,122486008009_003Nz00000E6qC1IAJ
003Nz00000EQNk5IAH,122486009005,1 Lead Tenant,2024/06/28,,122486009005_003Nz00000EQNk5IAH
003Nz000009o4mRIAQ,122486015005,2 Tenant,2024/03/07,,122486015005_003Nz000009o4mRIAQ
003Nz00000CpmriIAB,122486016007,1 Lead Tenant,2024/06/17,,122486016007_003Nz00000CpmriIAB
003Nz00000AJEO7IAP,122486018003,1 Lead Tenant,2024/03/22,,122486018003_003Nz00000AJEO7IAP
003Nz000008r20mIAA,122486026004,2 Tenant,2024/04/03,,122486026004_003Nz000008r20mIAA
