id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
800Nz000008EKjwIAG,222758187002,0054J000004vXOqQAM,001Nz000007nh9SIAQ,012Pv0000027CJSIA2,a1GNz00000018JhMAI,Activated,2024-02-24,2025-02-23,AST,AST,,,6.00,945,2 at 6 to expire at 8,,,,,,006Nz000007aanKIAQ,222758187002
800Nz000008Y21DIAS,222648186002,0054J000005JWtDQAW,001Nz0000080iZEIAY,012Pv0000027CJSIA2,a1G4J0000025yT2UAI,Draft,2024-04-14,2026-04-13,AST,AST,,,6.00,1365,Halfway on an 24,,,,,,006Nz000007nbKCIAY,222648186002
800Nz000008Yg6fIAC,222648186002,0054J000005JWtDQAW,001Nz0000080iZEIAY,012Pv0000027CJSIA2,a1G4J0000025yT2UAI,Activated,2024-04-13,2026-04-12,AST,AST,,,6.00,1365,Halfway on an 24,,,,,,006Nz000007nbKCIAY,222648186002
800Nz000008YhxCIAS,122486026004,0058d000004DOMXAA4,001Nz000007xHNNIA2,012Pv0000027CJSIA2,a1G4J0000025x4tUAA,Activated,2024-04-03,2024-10-02,AST,AST,,,6.00,1525,No Break,,,,,,006Nz000007k262IAA,122486026004
800Nz000008dsolIAA,122486035004,0058d000004DOMXAA4,001Nz000007oby2IAA,012Pv0000027CJSIA2,a1G4J0000025x3CUAQ,Activated,2024-03-15,2025-03-14,AST,AST,,,6.00,1525,No Break,,,,,,006Nz000007bMtaIAE,122486035004
800Nz000008nbV1IAI,127535007002,0058d0000034SvqAAE,001Nz0000088vfhIAA,012Pv0000027CJSIA2,a1G4J0000025xOTUAY,Activated,2024-02-23,2025-02-22,AST,AST,,,6.00,965,No Break,,,,,,006Nz000007w2gYIAQ,127535007002
800Nz000008ndlEIAQ,127535007002,0058d0000034SvqAAE,001Nz0000088vfhIAA,012Pv0000027CJSIA2,a1G4J0000025xOTUAY,Draft,2024-02-23,2025-02-22,AST,AST,,,6.00,965,No Break,,,,,,006Nz000007w2gYIAQ,127535007002
800Nz000008ngmJIAQ,222643100002,0058d0000034SvqAAE,001Nz000007jQokIAE,012Pv0000027CJSIA2,a1G4J0000025yRLUAY,Activated,2024-02-28,2025-02-27,AST,AST,,,6.00,2550,No Break,,,,,,006Nz000007WLF2IAO,222643100002
800Nz000008nkmgIAA,222643100002,0058d0000034SvqAAE,001Nz000007jQokIAE,012Pv0000027CJSIA2,a1G4J0000025yRLUAY,Draft,2024-02-28,2025-02-27,AST,,,,6.00,2550,No Break,,,,,,006Nz000007WLF2IAO,222643100002
800Nz000008pXOxIAM,222630002004,0058d0000034SvqAAE,001Nz000008FqORIA0,012Pv0000027CJSIA2,a1G4J0000025z22UAA,Draft,2024-02-23,2025-02-22,AST,AST,,,4.00,985,2 at 4 to expire at 6,,,,,,006Nz0000082DSrIAM,222630002004
800Nz000008pfqvIAA,222695006002,0058d0000020feeAAA,001Nz000008DRKNIA4,012Pv0000027CJSIA2,a1G8d0000004qhFEAQ,Activated,2024-02-23,2024-08-22,AST,AST,,,4.00,1580,No Break,,Wishes to move to a 3 bed in future if possible,,,,006Nz00000804S2IAI,222695006002
800Nz000008px06IAA,222677033002,0058d0000034SvqAAE,001Nz000007rsPeIAI,012Pv0000027CJSIA2,a1G8d0000004DEHEA2,Activated,2024-03-18,2025-03-17,AST,AST,,,6.00,1315,2 at 4 to expire at 6,,,,,,006Nz000007eUZfIAM,222677033002
800Nz000008q8xsIAA,317675003014,0058d000004DOMXAA4,001Nz000008Ip4HIAS,012Pv0000027CJSIA2,a1G4J0000025xtoUAA,Activated,2024-02-23,2025-06-22,AST,AST,,,4.00,1650,2 at 10 to expire at 12,,,,,,006Nz00000857U5IAI,317675003014
800Nz000008qw8EIAQ,222630002004,0058d0000034SvqAAE,001Nz000008FqORIA0,012Pv0000027CJSIA2,a1G4J0000025z22UAA,Draft,2024-02-26,2025-02-25,AST,AST,,,4.00,985,2 at 4 to expire at 6,,,,,,006Nz0000082DSrIAM,222630002004
800Nz000008sjWeIAI,222643018002,0058d0000034SvqAAE,001Nz000008DXSNIA4,012Pv0000027CJSIA2,a1G4J0000025yFAUAY,Activated,2024-02-23,2025-02-22,AST,AST,,,6.00,2410,No Break,,,,,,006Nz0000080AeaIAE,222643018002
800Nz000008sm35IAA,222677042006,0058d0000034SvqAAE,001Nz000008BxgCIAS,012Pv0000027CJSIA2,a1G8d0000004DAzEAM,Draft,2024-03-02,2024-09-01,AST,AST,,,4.00,1310,No Break,,,,,,006Nz000007yqSnIAI,222677042006
800Nz000008tbgnIAA,222659064004,0058d0000034SvqAAE,001Nz000008DO37IAG,012Pv0000027CJSIA2,a1G4J0000025yZlUAI,Activated,2024-03-20,2025-03-19,AST,AST,,,4.00,1275,2 at 10 to expire at 12,,,,,,006Nz00000802rdIAA,222659064004
800Nz000008vT5cIAE,222521001006,0054J000004vXOaQAM,001Nz000008Q9MRIA0,012Pv0000027CJSIA2,a1G4J0000025xyOUAQ,Activated,2024-03-06,2026-03-05,AST,AST,,,4.00,1030,No Break,,,,,,006Nz000008CHbcIAG,222521001006
800Nz000008vUrEIAU,222649060002,0054J000004vXOaQAM,001Nz000008OSL7IAO,012Pv0000027CJSIA2,a1G4J0000025yIHUAY,Activated,2024-03-05,2025-03-04,AST,AST,,,4.00,1250,No Break,,,,,,006Nz000008AiftIAC,222649060002
800Nz000008vaLiIAI,222652043003,0054J000004vXOaQAM,001Nz000008OSL7IAO,012Pv0000027CJSIA2,a1G4J0000025y56UAA,Activated,2024-03-05,2025-03-04,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz000008FyiRIAS,222652043003
800Nz000008vbPoIAI,222490016006,0054J000004vXOaQAM,001Nz000008T6QPIA0,012Pv0000027CJSIA2,a1G4J0000025xkJUAQ,Activated,2024-04-09,2025-04-08,AST,AST,,,4.00,815,No Break,,,,,,006Nz000008FKwIIAW,222490016006
800Nz000008vznfIAA,222676017004,0054J000004vXPBQA2,001Nz000008REVKIA4,012Pv0000027CJSIA2,a1G8d0000004D84EAE,Activated,2024-04-04,2025-04-03,AST,AST,,,4.00,1025,No Break,,,,,,006Nz000008DSt8IAG,222676017004
800Nz000008wRkvIAE,222676043003,0054J000004vXPBQA2,001Nz000007nxCkIAI,012Pv0000027CJSIA2,a1G8d0000004DDdEAM,Activated,2024-02-23,2025-02-22,AST,AST,,,6.00,1385,2 at 4 to expire at 6,,,,,,006Nz000007apo0IAA,222676043003
800Nz000008zJM9IAM,317676018002,0058d000004DOMXAA4,001Nz000008N8wLIAS,012Pv0000027CJSIA2,a1G4J0000025yY0UAI,Activated,2024-02-24,2027-02-23,AST,AST,,,4.00,2300,2 at 10 to expire at 12,,,,,,006Nz0000089RyrIAE,317676018002
800Nz000008zRd6IAE,317678004010,0058d000004DOMXAA4,001Nz000008NlhOIAS,012Pv0000027CJSIA2,a1G4J0000025yL6UAI,Activated,2024-02-29,2025-02-28,AST,AST,,,4.00,2100,2 at 4 to expire at 6,,,,,,006Nz000008A4ozIAC,317678004010
800Nz00000944rDIAQ,317630011005,0058d000004DOMXAA4,001Nz000008SzNOIA0,012Pv0000027CJSIA2,a1G4J000002630KUAQ,Activated,2024-02-29,2025-02-28,AST,AST,,,4.00,2175,2 at 4 to expire at 6,,,,,,006Nz000008FK5HIAW,317630011005
800Nz0000094ICjIAM,122486033008,0058d000004DOMXAA4,001Nz000008759fIAA,012Pv0000027CJSIA2,a1G4J0000025x11UAA,Draft,2024-03-20,2024-09-19,AST,AST,,,6.00,1550,No Break,,,,,,006Nz000007u3GyIAI,122486033008
