pms_reference__c,accountid,break_clause__c,recordtypeid,unit__c,startdate,_enddate,status,agreement_type__c,description,_unit_rn,opportunity__c,ownerid,document_type__c,memorandum_of_agreement_date__c,tenancy_end_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c
104200002006,001Nz00000CNQNvIAP,Check Contract,012Pv000002B0WbIAK,a1G4J0000025taZUAQ,2023-11-20,,Draft,,Nil GR,1,,,,,,,,,,,,,
104152061002,001Nz00000BdKzsIAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025tbJUAQ,1986-12-25,,Draft,Licence,Licence,1,,,,,,,,,,,,,
110687001003,001Nz000008CObRIAW,Check Contract,012Pv000002B0WbIAK,a1G4J0000025tdlUAA,2022-08-26,,Draft,,ChiefRent,1,,,,,,,,,,,,,
104152111002,001Nz0000086pUhIAI,Check Contract,012Pv000002B0WbIAK,a1G4J0000025tgLUAQ,2024-01-31,,Draft,Licence,Licence,1,,,,,,,,,,,,,
104152054003,001Nz00000Bb27pIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025thoUAA,1986-12-25,,Draft,Licence,Licence,1,,,,,,,,,,,,,
104096002002,001Nz000009UbBRIA0,Check Contract,012Pv000002B0WbIAK,a1G4J0000025tq8UAA,2023-09-28,,Draft,,Nil GR,1,,,,,,,,,,,,,
103894001002,001Nz000007j23GIAQ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025tuqUAA,2024-01-01,,Draft,,Assured,1,,,,,,,,,,,,,
104091002002,001Nz000008i3yUIAQ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025u3EUAQ,2024-02-27,2174-02-26,Draft,,Nil GR,1,,,,,,,,,,,,,
104152117003,001Nz00000BaFv5IAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025u6hUAA,2016-10-14,2024-03-25,Draft,Licence,Licence,1,,,,,,,,,,,,,
104152055005,001Nz00000BbDeqIAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025u7kUAA,1986-12-25,,Draft,Licence,Licence,1,,,,,,,,,,,,,
105099002007,001Nz00000CN506IAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025u87UAA,2023-11-24,,Draft,,Nil GR,1,,,,,,,,,,,,,
104152129002,001Nz00000BZyz8IAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025u8OUAQ,2024-03-23,,Draft,Licence,Licence,1,,,,,,,,,,,,,
104364002002,001Nz000008748jIAA,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uFAUAY,2021-06-18,,Draft,,Nil GR,1,,,,,,,,,,,,,
107468003002,001Nz00000AZ0icIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uMUUAY,2024-03-28,,Draft,,ChiefRent,1,,,,,,,,,,,,,
107519003002,001Nz000008Ncj8IAC,Check Contract,012Pv000002B0WbIAK,a1G4J0000025ucGUAQ,2023-09-28,,Draft,,ChiefRent,1,,,,,,,,,,,,,
107522010004,001Nz00000AYiGzIAL,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uiEUAQ,,,Draft,,ChiefRent,1,,,,,,,,,,,,,
111031001002,001Nz000009JPqOIAW,Check Contract,012Pv000002B0WbIAK,a1G4J0000025ujmUAA,2022-11-28,,Draft,,ChiefRent,1,,,,,,,,,,,,,
107516003002,001Nz00000AbMVMIA3,Check Contract,012Pv000002B0WbIAK,a1G4J0000025ulQUAQ,2020-10-09,,Draft,,ChiefRent,1,,,,,,,,,,,,,
107520007003,001Nz000009kYj8IAE,Check Contract,012Pv000002B0WbIAK,a1G4J0000025ulzUAA,1899-12-25,2889-12-24,Draft,,ChiefRent,1,,,,,,,,,,,,,
108045014003,001Nz000009UnZGIA0,Check Contract,012Pv000002B0WbIAK,a1G4J0000025un9UAA,2024-02-28,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110698001002,001Nz000008PpcDIAS,Check Contract,012Pv000002B0WbIAK,a1G4J0000025unZUAQ,2022-05-31,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110517001004,001Nz00000D66WHIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uo2UAA,1937-04-05,2737-03-31,Draft,,ChiefRent,1,,,,,,,,,,,,,
107726006003,001Nz000007sIjwIAE,Check Contract,012Pv000002B0WbIAK,a1G4J0000025urdUAA,2021-03-12,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110911001003,001Nz00000DCFyHIAX,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uxnUAA,2024-05-03,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110606001002,001Nz000008yQnsIAE,Check Contract,012Pv000002B0WbIAK,a1G4J0000025v42UAA,2022-07-08,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110699001003,001Nz00000AHEKOIA5,Check Contract,012Pv000002B0WbIAK,a1G4J0000025v9zUAA,2021-09-15,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110655001003,001Nz000008Snh7IAC,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vC3UAI,2021-03-25,,Draft,,ChiefRent,1,,,,,,,,,,,,,
111095001003,001Nz00000Bu42cIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vKeUAI,2021-11-19,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110712001002,001Nz000009mttNIAQ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vMcUAI,,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110720001003,001Nz000009KmUnIAK,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vNKUAY,2023-11-10,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110844001003,001Nz000007toD5IAI,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vRHUAY,2018-09-06,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110858001003,001Nz00000AYo34IAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vRWUAY,2024-03-28,,Draft,,ChiefRent,1,,,,,,,,,,,,,
110927001002,001Nz00000Bta1NIAR,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vSVUAY,2020-02-03,,Draft,,ChiefRent,1,,,,,,,,,,,,,
111004001002,001Nz0000090YfiIAE,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vVOUAY,2021-04-09,,Draft,,ChiefRent,1,,,,,,,,,,,,,
111051001002,001Nz000008TlRyIAK,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vWqUAI,2023-12-18,,Draft,,ChiefRent,1,,,,,,,,,,,,,
113516001003,001Nz00000CyQn7IAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vfQUAQ,2021-06-23,,Draft,Licence,Licence,1,,,,,,,,,,,,,
127404001002,001Nz000009K3cTIAS,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vtsUAA,2024-03-01,,Draft,,Sh Owner,1,,,,,,,,,,,,,
222648062002,001Nz000009NYwfIAG,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vu3UAA,2024-10-07,,Draft,AST,AST,1,,,,,,,,,,,,,
113509002001,001Nz000008veVZIAY,Check Contract,012Pv000002B0WbIAK,a1G4J0000025w2SUAQ,2021-09-14,,Draft,,Regulated,1,,,,,,,,,,,,,
113738001002,001Nz000009tGlNIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025w6eUAA,2024-02-26,,Draft,,Nil GR,1,,,,,,,,,,,,,
418537022005,001Nz00000CpEGaIAN,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wFFUAY,2024-08-16,,Draft,AST,AST,1,,,,,,,,,,,,,
115170001002,001Nz000007vIsFIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wHJUAY,2024-02-02,,Draft,,Nil GR,1,,,,,,,,,,,,,
222583066005,001Nz00000C3hRNIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wUxUAI,2024-08-07,,Draft,Licence,Licence,1,,,,,,,,,,,,,
127408008002,001Nz00000CTLLWIA5,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wY1UAI,2024-05-31,,Draft,,Sh Owner,1,,,,,,,,,,,,,
115520001003,001Nz000009ZyVdIAK,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wYZUAY,2024-03-18,,Draft,,Nil GR,1,,,,,,,,,,,,,
900002058005,001Nz0000089UtXIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wclUAA,2024-09-26,,Draft,AST,AST,1,,,,,,,,,,,,,
115624001002,001Nz0000088gGqIAI,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wd4UAA,2023-10-18,2184-09-28,Draft,,Nil GR,1,,,,,,,,,,,,,
115635002003,001Nz000008IOthIAG,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wddUAA,2022-12-21,,Draft,,Nil GR,1,,,,,,,,,,,,,
122486049009,001Nz00000D2v2nIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wlzUAA,2024-07-22,,Draft,AST,AST,1,,,,,,,,,,,,,
122045005003,001Nz00000CUFvZIAX,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wovUAA,2024-05-31,,Draft,,Sh Owner,1,,,,,,,,,,,,,
122486078007,001Nz00000CytsLIAR,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wsqUAA,2024-09-10,,Draft,AST,AST,1,,,,,,,,,,,,,
122596001005,001Nz00000Be765IAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wuaUAA,2024-05-22,,Draft,AST,AST,1,,,,,,,,,,,,,
222652046005,001Nz000009zKrAIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wznUAA,2024-07-05,,Draft,Licence,Licence,1,,,,,,,,,,,,,
122586006006,001Nz00000CsQ6gIAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x03UAA,2024-08-08,,Draft,AST,AST,1,,,,,,,,,,,,,
122586027004,001Nz00000CmoICIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x08UAA,2024-07-18,,Draft,AST,AST,1,,,,,,,,,,,,,
122601004008,001Nz00000CmU3KIAV,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x22UAA,2024-07-15,,Draft,AST,AST,1,,,,,,,,,,,,,
127224001002,001Nz00000Cq8iZIAR,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x34UAA,2018-03-15,,Draft,,Sh Owner,1,,,,,,,,,,,,,
