pms_reference__c,accountid,break_clause__c,recordtypeid,unit__c,startdate,_enddate,status,agreement_type__c,description,_unit_rn,opportunity__c,_ownerid,document_type__c,memorandum_of_agreement_date__c,tenancy_end_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c
104200002006,001Nz00000CNQNvIAP,Check Contract,012Pv000002B0WbIAK,a1G4J0000025taZUAQ,2023-11-20,,Draft,,Nil GR,1,,,,,,,,,,,,,
110517001004,001Nz00000D66WHIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uo2UAA,1937-04-05,2737-03-31,Draft,,ChiefRent,1,,,,,,,,,,,,,
110911001003,001Nz00000DCFyHIAX,Check Contract,012Pv000002B0WbIAK,a1G4J0000025uxnUAA,2024-05-03,,Draft,,ChiefRent,1,,,,,,,,,,,,,
127404001002,001Nz000009K3cTIAS,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vtsUAA,2024-03-01,,Draft,,Sh Owner,1,,,,,,,,,,,,,
222648062002,001Nz000009NYwfIAG,Check Contract,012Pv000002B0WbIAK,a1G4J0000025vu3UAA,2024-10-07,,Draft,AST,AST,1,,,,,,,,,,,,,
418537022005,001Nz00000CpEGaIAN,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wFFUAY,2024-08-16,,Draft,AST,AST,1,,,,,,,,,,,,,
127408008002,001Nz00000CTLLWIA5,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wY1UAI,2024-05-31,,Draft,,Sh Owner,1,,,,,,,,,,,,,
115624001002,001Nz0000088gGqIAI,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wd4UAA,2023-10-18,2184-09-28,Draft,,Nil GR,1,,,,,,,,,,,,,
115635002003,001Nz000008IOthIAG,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wddUAA,2022-12-21,,Draft,,Nil GR,1,,,,,,,,,,,,,
122486049009,001Nz00000D2v2nIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wlzUAA,2024-07-22,,Draft,AST,AST,1,,,,,,,,,,,,,
122045005003,001Nz00000CUFvZIAX,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wovUAA,2024-05-31,,Draft,,Sh Owner,1,,,,,,,,,,,,,
122486078007,001Nz00000CytsLIAR,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wsqUAA,2024-09-10,,Draft,AST,AST,1,,,,,,,,,,,,,
122596001005,001Nz00000Be765IAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wuaUAA,2024-05-22,,Draft,AST,AST,1,,,,,,,,,,,,,
222652046005,001Nz000009zKrAIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025wznUAA,2024-07-05,,Draft,Licence,Licence,1,,,,,,,,,,,,,
122586006006,001Nz00000CsQ6gIAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x03UAA,2024-08-08,,Draft,AST,AST,1,,,,,,,,,,,,,
122586027004,001Nz00000CmoICIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x08UAA,2024-07-18,,Draft,AST,AST,1,,,,,,,,,,,,,
122601004008,001Nz00000CmU3KIAV,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x22UAA,2024-07-15,,Draft,AST,AST,1,,,,,,,,,,,,,
127224001002,001Nz00000Cq8iZIAR,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x34UAA,2018-03-15,,Draft,,Sh Owner,1,,,,,,,,,,,,,
122587021010,001Nz00000CTgplIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x37UAA,2024-07-17,,Draft,AST,AST,1,,,,,,,,,,,,,
122603001005,001Nz00000ClgsxIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x4zUAA,2024-07-12,,Draft,AST,AST,1,,,,,,,,,,,,,
122600013004,001Nz00000CT9PFIA1,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x7YUAQ,2024-07-23,,Draft,AST,AST,1,,,,,,,,,,,,,
127137004003,001Nz00000BA2oeIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025x8KUAQ,2024-04-30,,Draft,,Sh Owner,1,,,,,,,,,,,,,
127177001002,001Nz00000CylQAIAZ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xHTUAY,2024-06-12,,Draft,,Sh Owner,1,,,,,,,,,,,,,
222488015006,001Nz00000DB8hAIAT,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xK9UAI,2024-07-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222489052005,001Nz00000C2xeeIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xMFUAY,2024-07-10,,Draft,AST,AST,1,,,,,,,,,,,,,
222521062006,001Nz00000CFr1uIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xOhUAI,2024-08-05,,Draft,AST,AST,1,,,,,,,,,,,,,
127422001002,001Nz0000092FDyIAM,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xOmUAI,2024-02-23,,Draft,,Sh Owner,1,,,,,,,,,,,,,
127378002002,001Nz000007sLOPIA2,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xS2UAI,2024-01-29,,Draft,,Sh Owner,1,,,,,,,,,,,,,
127408005003,001Nz00000AOgOZIA1,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xTLUAY,2024-03-25,,Draft,,Sh Owner,1,,,,,,,,,,,,,
222489021005,001Nz00000CMqtwIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xTnUAI,2024-07-24,,Draft,AST,AST,1,,,,,,,,,,,,,
127465006002,001Nz000008Ps0dIAC,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xX7UAI,2024-02-09,,Draft,,Sh Owner,1,,,,,,,,,,,,,
222648180004,001Nz00000D66srIAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xbXUAQ,2024-07-16,,Draft,AST,AST,1,,,,,,,,,,,,,
222629073008,001Nz00000CSBMbIAP,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xfFUAQ,2024-09-11,,Draft,Licence,Licence,1,,,,,,,,,,,,,
222661036003,001Nz000009oJdTIAU,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xfjUAA,2025-02-26,,Draft,Licence,Licence,1,,,,,,,,,,,,,
222659116003,001Nz0000090NlqIAE,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xgpUAA,2025-03-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222648054001,001Nz000008ORyXIAW,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xj2UAA,2023-10-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222649041002,001Nz00000C9np0IAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xjbUAA,2024-07-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222490005006,001Nz00000CjILFIA3,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xl8UAA,2024-07-13,,Draft,AST,AST,1,,,,,,,,,,,,,
222659015003,001Nz00000CT1BWIA1,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xooUAA,2024-08-30,,Draft,AST,AST,1,,,,,,,,,,,,,
222581086004,001Nz00000CfKd8IAF,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xqfUAA,2024-07-23,,Draft,AST,AST,1,,,,,,,,,,,,,
222544001004,001Nz00000CqMFHIA3,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xsUUAQ,2024-07-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222487023005,001Nz00000BrhZxIAJ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xshUAA,2024-07-19,,Draft,AST,AST,1,,,,,,,,,,,,,
222629017004,001Nz000009c1cDIAQ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xugUAA,2024-09-01,,Draft,Licence,Licence,1,,,,,,,,,,,,,
222661007003,001Nz00000CT1BWIA1,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xvDUAQ,2024-08-30,,Draft,Licence,Licence,1,,,,,,,,,,,,,
222487047005,001Nz00000DBeihIAD,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xw8UAA,2024-07-29,,Draft,AST,AST,1,,,,,,,,,,,,,
222487016008,001Nz00000CHBTDIA5,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xwmUAA,2024-07-01,,Draft,AST,AST,1,,,,,,,,,,,,,
222581092005,001Nz00000Bxl35IAB,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xxzUAA,2024-08-21,,Draft,AST,AST,1,,,,,,,,,,,,,
222488028008,001Nz00000CerJhIAJ,Check Contract,012Pv000002B0WbIAK,a1G4J0000025xyBUAQ,2024-07-10,,Draft,AST,AST,1,,,,,,,,,,,,,
