Id,Tenancy__c,Opportunity__c,PMS_Reference__c,AccountId,RecordTypeId,Unit__c,Status,Tenancy_Status__c,StartDate,EndDate,OwnerId,Agreement_Type__c,Document_Type__c,Memorandum_of_Agreement_Date__c,Actual_Move_Out_Date__c,Uplift_Percentage__c,Security_Deposit_Amount__c,Break_Clause__c,Special_Clauses__c,Special_Clause_Free_Text__c,Vehicle_Make__c,Vehicle_Model__c,Vehicle_Registration__c
800Nz000001kT0AIAU,800Pv00000FikkvIAB,006Nz000001MLy5IAG,,001Nz000009c1cDIAQ,012Pv0000027CJSIA2,a1G4J0000025yKWUAY,Activated,Draft,2023-09-27,2024-09-26,0054J000004vXPGQA2,AST,AST,,,6.0,1470.0,No Break,,,,,
800Nz000007NCMDIA4,,006Nz000006qBC4IAM,,001Nz000008DfQgIAK,,a1G8d0000005rGTEAY,Activated,Activated,2024-01-12,2024-07-11,0058d0000034SvqAAE,Licence,Parking Licence,,,,,No Break,,,,,
800Nz000008EKjwIAG,800Pv00000Fir1XIAR,006Nz000007aanKIAQ,,001Nz000007nh9SIAQ,012Pv0000027CJSIA2,a1GNz00000018JhMAI,Activated,Activated,2024-02-24,2025-02-23,0054J000004vXOqQAM,AST,AST,,,6.0,945.0,2 at 6 to expire at 8,,,,,
800Nz000008HD9LIAW,,006Nz000007gcw9IAA,,001Nz000007uAYZIA2,,a1G4J0000025zzBUAQ,Draft,Draft,2024-02-07,2025-02-06,0054J000004vXPBQA2,Licence,Parking Licence,,,,,No Break,,,,,
800Nz000008HDfbIAG,,006Nz000007gcw9IAA,,001Nz000007uAYZIA2,,a1G4J0000025zzBUAQ,Activated,Activated,2024-02-07,2025-02-06,0054J000004vXPBQA2,Licence,Parking Licence,,,,,No Break,,,,,
800Nz000008IaMzIAK,,006Nz000007eERdIAM,,001Nz000007rUIUIA2,012Pv0000027CJSIA2,a1G4J0000025zb6UAA,Activated,Activated,2024-02-13,2025-02-12,0058d000004DOMXAA4,AST,AST,,,6.0,1650.0,No Break,,,,,
800Nz000008O2YlIAK,,006Nz000007e2IRIAY,,001Nz000007rMuTIAU,012Pv0000027CJSIA2,a1G4J0000025zZzUAI,Activated,Activated,2024-02-17,2025-02-16,0058d000004DOMXAA4,AST,AST,,,6.0,2025.0,No Break,,,,,
800Nz000008OmbiIAC,,006Nz000007dLaBIAU,,001Nz000007qelQIAQ,012Pv0000027CJSIA2,a1G4J0000025zcOUAQ,Activated,Activated,2024-02-17,2025-02-16,0054J000004vXPBQA2,AST,AST,,,6.0,2200.0,2 at 4 to expire at 6,,,,,
800Nz000008Y0PKIA0,,006Nz000007dcSrIAI,,001Nz000007qv4eIAA,,a1G4J0000025yfUUAQ,Activated,Activated,2024-03-22,2025-03-21,0058d0000020feeAAA,AST,AST,,,,,No Break,,,,,
800Nz000008Y16mIAC,,006Nz000007mz3gIAA,,001Nz0000080FVVIA2,012Pv0000027CJSIA2,a1G4J0000025zsSUAQ,Activated,Activated,2024-02-17,2025-02-16,0058d000004DOMXAA4,AST,AST,,,6.0,1450.0,No Break,,,,,
800Nz000008Y21DIAS,800Pv00000FiuacIAB,006Nz000007nbKCIAY,,001Nz0000080iZEIAY,012Pv0000027CJSIA2,a1G4J0000025yT2UAI,Draft,Draft,2024-04-14,2026-04-13,0054J000005JWtDQAW,AST,AST,,,6.0,1365.0,Halfway on an 24,,,,,
800Nz000008Y4L9IAK,,006Nz000007k913IAA,,001Nz000007xOS5IAM,,a1G4J0000026073UAA,Activated,Activated,2024-02-24,2025-02-23,0058d000004DOMXAA4,AST,AST,,,,,No Break,,,,,
