PMS_Reference__c,tenancy_status__c
110805001003,Current
222648062002,Current
418537022005,Current
222648011006,Current
115618002004,Current
116283001004,Current
122486049009,Current
122617001002,Current
122486078007,Current
122596001005,Current
122587004005,Current
122587010005,Current
222652046005,Current
122586006006,Current
122586027004,Current
122486047006,Current
122601004008,Current
122611001002,Current
122486096007,Current
122623009004,Current
122620001006,Current
122587021010,Current
127483040002,Current
122486075004,Current
122603001005,Current
122600021005,Current
122600013004,Current
127177001002,Current
222650001005,Current
222488015006,Current
127536024001,Current
222489052005,Current
222521062006,Current
216415001002,Current
127548001001,Current
222489021005,Current
222648180004,Current
222659073004,Current
222643031003,Current
222629073008,Current
222661036003,Current
216616005008,Current
222659116003,Current
222611013005,Current
222648054001,Current
222649041002,Current
222490005006,Current
222659015003,Current
222581086004,Current
222648010003,Current
222487021004,Current
222544001004,Current
222487023005,Current
222650080003,Current
222650044003,Current
222629017004,Current
222661007003,Current
222488014007,Current
222650005003,Current
222487047005,Current
222487016008,Current
222581092005,Current
222488028008,Current
222659102003,Current
222489051004,Current
217371092006,Current
222489031004,Current
222648160003,Current
222522028006,Current
222648159002,Current
222629003007,Current
222521005005,Current
222611014003,Current
222648134005,Current
217371071011,Current
222649043003,Current
222606006003,Current
418578074005,Current
222643082002,Current
217371030010,Current
222488050005,Current
222488069007,Current
222659038005,Current
222581096005,Current
222648061002,Current
222649001001,Current
222623094003,Current
222661015003,Current
222661031005,Current
222648083004,Current
222648057002,Current
222629064003,Current
222643036005,Current
222648088003,Current
222629077004,Current
222629060008,Current
222624007004,Current
222649067001,Current
222649035002,Current
222522029006,Current
217371090008,Current
222643060002,Current
222661043003,Current
217371072004,Current
222648063001,Current
222631038005,Current
222643048003,Current
222522049006,Current
222659010003,Current
222643098003,Current
217371025009,Current
222643062001,Current
222623034004,Current
222624031006,Current
222649027003,Current
222661021003,Current
222648107002,Current
222643068003,Current
222652017004,Current
222650049003,Current
222648073002,Current
222659059003,Current
222650018005,Current
222659016002,Current
317678017008,Current
222661017004,Current
222648154003,Current
222650003005,Current
222648100004,Current
222661003004,Current
222659082003,Current
222652095006,Current
222659132004,Current
222648172004,Current
222631001005,Current
222624075003,Current
222649039003,Current
222652106006,Current
222652065002,Current
222652063006,Current
317677005007,Current
222650028003,Current
222659021003,Current
222652036001,Current
317679001008,Current
222659126003,Current
222648140002,Current
222650030006,Current
222650103002,Current
222643035004,Current
222648093003,Current
222659071002,Current
222650027003,Current
317667016013,Current
222652103004,Current
222648155002,Current
222659113003,Current
222623089005,Current
222659074003,Current
222623083007,Current
222648036003,Current
317678016008,Current
222580016004,Current
317676019008,Current
222583119005,Current
317677002009,Current
222639120002,Current
222648098004,Current
222659117003,Current
317678007005,Current
222659097004,Current
317356060003,Current
317678019004,Current
222578099003,Current
222631005004,Current
317665007008,Current
317354027006,Current
