Unit_id,ERV ,ERV_DATE,Qube_Unit_ID
a1G4J0000025tU4UAI,21996,2024-09-30,103057001
a1G4J0000025tUxUAI,16920,2024-09-30,103065001
a1G4J0000025tTuUAI,15886,2024-09-30,103066001
a1G4J0000025tTzUAI,16086,2024-09-30,103070001
a1G4J0000025tU9UAI,18792,2024-09-30,103071001
a1G4J0000025tVMUAY,9009,2024-09-30,103075001
a1G4J0000025tUnUAI,19136,2024-09-30,103078001
a1G4J0000025tUEUAY,15412,2024-09-30,103082001
a1G4J0000025tUYUAY,17640,2024-09-30,103082002
a1G4J0000025tUsUAI,1,2024-09-30,103083018
a1G4J0000025tX3UAI,13156,2024-09-30,103086001
a1G4J0000025tXwUAI,350,2024-09-30,103086002
a1G4J0000025tWjUAI,350,2024-09-30,103086003
a1G4J0000025tWFUAY,350,2024-09-30,103086004
a1G4J0000025tVbUAI,350,2024-09-30,103086005
a1G4J0000025tXDUAY,13780,2024-09-30,103086006
a1G4J0000025tVmUAI,350,2024-09-30,103086007
a1G4J0000025tXNUAY,350,2024-09-30,103086008
a1G4J0000025tUeUAI,350,2024-09-30,103086009
a1G4J0000025tYQUAY,350,2024-09-30,103086010
a1G4J0000025tZsUAI,350,2024-09-30,103086011
a1G4J0000025tZiUAI,9802,2024-09-30,103086012
a1G4J0000025taRUAQ,350,2024-09-30,103086013
a1G4J0000025tYVUAY,13208,2024-09-30,103086014
a1G4J0000025tWKUAY,1,2024-09-30,103086015
a1G4J0000025tZnUAI,50,2024-09-30,103086016
a1G4J0000025tX8UAI,1,2024-09-30,103086017
a1G4J0000025tWtUAI,1,2024-09-30,103086018
a1G4J0000025tabUAA,50,2024-09-30,103086019
a1G4J0000025tVqUAI,50,2024-09-30,103086020
a1G4J0000025tW5UAI,50,2024-09-30,103086021
a1G4J0000025tWUUAY,50,2024-09-30,103086022
a1G4J0000025tXmUAI,50,2024-09-30,103086023
a1G4J0000025tWPUAY,50,2024-09-30,103086024
a1G4J0000025tYBUAY,50,2024-09-30,103086025
a1G4J0000025tXSUAY,1,2024-09-30,103086026
a1G4J0000025tWZUAY,1,2024-09-30,103086027
a1G4J0000025tXIUAY,1,2024-09-30,103086028
a1G4J0000025tVHUAY,200,2024-09-30,103087001
a1G4J0000025tV2UAI,10296,2024-09-30,103087002
a1G4J0000025tTaUAI,60,2024-09-30,103088001
a1G4J0000025tTVUAY,1,2024-09-30,103088002
a1G4J0000025tSyUAI,14418,2024-09-30,103091002
a1G4J0000025tTpUAI,51480,2024-09-30,103093001
a1G4J0000025tUJUAY,37440,2024-09-30,103094001
a1G4J0000025tUUUAY,19200,2024-09-30,103100001
a1G4J0000025tXnUAI,200,2024-09-30,103100002
a1G4J0000025tXXUAY,18252,2024-09-30,103100003
a1G4J0000025tY6UAI,200,2024-09-30,103100004
a1G4J0000025tVgUAI,250,2024-09-30,103103001
a1G4J0000025tVvUAI,150,2024-09-30,103103002
a1G4J0000025tZOUAY,15600,2024-09-30,103113001
a1G4J0000025tZTUAY,15574,2024-09-30,103117001
a1G4J0000025tWeUAI,13728,2024-09-30,103121001
a1G4J0000025tUoUAI,100,2024-09-30,103124001
a1G4J0000025tWAUAY,15,2024-09-30,103124002
a1G4J0000025tXJUAY,100,2024-09-30,103125001
a1G4J0000025taHUAQ,15,2024-09-30,103125002
a1G4J0000025tVRUAY,97,2024-09-30,103126001
a1G4J0000025tZxUAI,200,2024-09-30,103127001
a1G4J0000025tVrUAI,1,2024-09-30,103128001
a1G4J0000025tXcUAI,1,2024-09-30,103129001
a1G4J0000025tXrUAI,200,2024-09-30,103129002
a1G4J0000025tXhUAI,9,2024-09-30,103132001
a1G4J0000025tY1UAI,1,2024-09-30,103132002
a1G4J0000025tYkUAI,50,2024-09-30,103133001
a1G4J0000025tYzUAI,155,2024-09-30,103133002
a1G4J00000261NMUAY,1,2024-09-30,103134001
a1G4J0000025tgKUAQ,1,2024-09-30,103134002
a1G4J0000025tZdUAI,9,2024-09-30,103135001
a1G4J0000025tYvUAI,150,2024-09-30,103135002
a1G4J0000025tZ4UAI,14,2024-09-30,103136001
a1G4J0000025tYpUAI,14,2024-09-30,103136002
a1G4J0000025tZ9UAI,100,2024-09-30,103136003
a1G4J0000025tYaUAI,150,2024-09-30,103136004
