Unit_id,ERV ,ERV_DATE,Qube_Unit_ID
a1G4J0000025tU4UAI,23400,2025-03-31,103057001
a1G4J0000025tUxUAI,16920,2025-03-31,103065001
a1G4J0000025tTuUAI,15886,2025-03-31,103066001
a1G4J0000025tTzUAI,16086,2025-03-31,103070001
a1G4J0000025tU9UAI,18792,2025-03-31,103071001
a1G4J0000025tVMUAY,10489,2025-03-31,103075001
a1G4J0000025tUnUAI,19136,2025-03-31,103078001
a1G4J0000025tUEUAY,15412,2025-03-31,103082001
a1G4J0000025tUYUAY,17640,2025-03-31,103082002
a1G4J0000025tUsUAI,1,2025-03-31,103083018
a1G4J0000025tX3UAI,13156,2025-03-31,103086001
a1G4J0000025tXwUAI,350,2025-03-31,103086002
a1G4J0000025tWjUAI,350,2025-03-31,103086003
a1G4J0000025tWFUAY,350,2025-03-31,103086004
a1G4J0000025tVbUAI,350,2025-03-31,103086005
a1G4J0000025tXDUAY,13780,2025-03-31,103086006
a1G4J0000025tVmUAI,350,2025-03-31,103086007
a1G4J0000025tXNUAY,350,2025-03-31,103086008
a1G4J0000025tUeUAI,350,2025-03-31,103086009
a1G4J0000025tYQUAY,350,2025-03-31,103086010
a1G4J0000025tZsUAI,350,2025-03-31,103086011
a1G4J0000025tZiUAI,9802,2025-03-31,103086012
a1G4J0000025taRUAQ,350,2025-03-31,103086013
a1G4J0000025tYVUAY,13208,2025-03-31,103086014
a1G4J0000025tWKUAY,1,2025-03-31,103086015
a1G4J0000025tZnUAI,50,2025-03-31,103086016
a1G4J0000025tX8UAI,1,2025-03-31,103086017
a1G4J0000025tWtUAI,1,2025-03-31,103086018
a1G4J0000025tabUAA,50,2025-03-31,103086019
a1G4J0000025tVqUAI,50,2025-03-31,103086020
a1G4J0000025tW5UAI,50,2025-03-31,103086021
a1G4J0000025tWUUAY,50,2025-03-31,103086022
a1G4J0000025tXmUAI,50,2025-03-31,103086023
a1G4J0000025tWPUAY,50,2025-03-31,103086024
a1G4J0000025tYBUAY,50,2025-03-31,103086025
a1G4J0000025tXSUAY,1,2025-03-31,103086026
a1G4J0000025tWZUAY,1,2025-03-31,103086027
a1G4J0000025tXIUAY,1,2025-03-31,103086028
a1G4J0000025tVHUAY,200,2025-03-31,103087001
a1G4J0000025tV2UAI,12064,2025-03-31,103087002
a1G4J0000025tTaUAI,60,2025-03-31,103088001
a1G4J0000025tTVUAY,1,2025-03-31,103088002
a1G4J0000025tSyUAI,14418,2025-03-31,103091002
a1G4J0000025tTpUAI,51480,2025-03-31,103093001
a1G4J0000025tUJUAY,37440,2025-03-31,103094001
a1G4J0000025tUUUAY,19200,2025-03-31,103100001
a1G4J0000025tXnUAI,200,2025-03-31,103100002
a1G4J0000025tXXUAY,18252,2025-03-31,103100003
a1G4J0000025tY6UAI,200,2025-03-31,103100004
a1G4J0000025tVgUAI,250,2025-03-31,103103001
a1G4J0000025tVvUAI,150,2025-03-31,103103002
a1G4J0000025tZOUAY,15600,2025-03-31,103113001
a1G4J0000025tZTUAY,17732,2025-03-31,103117001
a1G4J0000025tWeUAI,15730,2025-03-31,103121001
a1G4J0000025tUoUAI,100,2025-03-31,103124001
a1G4J0000025tWAUAY,15,2025-03-31,103124002
a1G4J0000025tXJUAY,100,2025-03-31,103125001
a1G4J0000025taHUAQ,15,2025-03-31,103125002
a1G4J0000025tVRUAY,97,2025-03-31,103126001
a1G4J0000025tZxUAI,200,2025-03-31,103127001
a1G4J0000025tVrUAI,1,2025-03-31,103128001
a1G4J0000025tXcUAI,1,2025-03-31,103129001
a1G4J0000025tXrUAI,200,2025-03-31,103129002
a1G4J0000025tXhUAI,9,2025-03-31,103132001
a1G4J0000025tY1UAI,0,2025-03-31,103132002
a1G4J0000025tYkUAI,50,2025-03-31,103133001
a1G4J0000025tYzUAI,155,2025-03-31,103133002
a1G4J00000261NMUAY,1,2025-03-31,103134001
a1G4J0000025tgKUAQ,1,2025-03-31,103134002
a1G4J0000025tZdUAI,9,2025-03-31,103135001
a1G4J0000025tYvUAI,150,2025-03-31,103135002
a1G4J0000025tZ4UAI,14,2025-03-31,103136001
a1G4J0000025tYpUAI,14,2025-03-31,103136002
a1G4J0000025tZ9UAI,100,2025-03-31,103136003
a1G4J0000025tYaUAI,150,2025-03-31,103136004
a1G4J0000025ta2UAA,100,2025-03-31,103137001
a1G4J0000025taCUAQ,250,2025-03-31,103137002
a1G4J0000025tZEUAY,9,2025-03-31,103138001
a1G4J0000025tYfUAI,1,2025-03-31,103138002
a1G4J0000025tYqUAI,7,2025-03-31,103138003
a1G4J0000025tYuUAI,1,2025-03-31,103138004
a1G4J0000025tVcUAI,1,2025-03-31,103139001
a1G4J0000025tXYUAY,50,2025-03-31,103139002
a1G4J00000261NRUAY,1,2025-03-31,103139003
a1G4J0000025tZYUAY,1,2025-03-31,103139004
a1G4J0000025tYLUAY,1,2025-03-31,103141001
a1G4J0000025tYGUAY,9,2025-03-31,103141002
a1G4J0000025ta7UAA,32100,2025-03-31,103150001
a1G4J0000025taMUAQ,17686,2025-03-31,103154001
a1G4J0000025tWpUAI,18460,2025-03-31,103155001
a1G4J0000025talUAA,17576,2025-03-31,103156001
a1G4J0000025taWUAQ,18143,2025-03-31,103157001
a1G4J0000025tXZUAY,21434,2025-03-31,103158001
a1G4J0000025tacUAA,16848,2025-03-31,103161001
a1G4J0000025tcmUAA,16038,2025-03-31,103163001
a1G4J0000025tbjUAA,150,2025-03-31,103166001
a1G4J0000025tZAUAY,200,2025-03-31,103166002
a1G4J0000025tXKUAY,200,2025-03-31,103166003
a1G4J0000025tU0UAI,50,2025-03-31,103166004
a1G4J0000025tbeUAA,50,2025-03-31,103166005
a1G4J0000025tU7UAI,11310,2025-03-31,103168001
a1G4J0000025tWaUAI,100,2025-03-31,103168002
a1G4J0000025tcIUAQ,1,2025-03-31,103175001
a1G4J0000025tZeUAI,150,2025-03-31,103175002
a1G4J0000025tcNUAQ,1,2025-03-31,103175003
a1G4J0000025tcSUAQ,14,2025-03-31,103175004
a1G4J0000025tbLUAQ,100,2025-03-31,103176001
a1G4J0000025td6UAA,50,2025-03-31,103176002
a1G4J0000025tc3UAA,100,2025-03-31,103177001
a1G4J0000025tV3UAI,100,2025-03-31,103177002
a1G4J0000025tX9UAI,1,2025-03-31,103178001
a1G4J0000025taIUAQ,50,2025-03-31,103178002
a1G4J0000025tcDUAQ,125,2025-03-31,103179001
