Unit Reference,Salesforce Unit id,Unit  description,Event,Action Date,Event Date,Status,Attention Of,Unit Tenure,Unit Type,Unit Status,Include/Exclude,Multiple Rent Review Diaries,Comment
111437001,a1G4J0000025uv7UAA,"5, Dee Park Road, Heswall, Merseyside",Rent Review,2025-06-07,2025-10-07,Pending,MKP,Assd.Per,S/D House,Solic.Instrct,Include,No,
110038006,a1G4J0000025us4UAA,"6, Newton House, Peasgood Lane, Waterlooville",Rent Review,2025-07-01,2025-11-01,Pending,GW2,Gr Lets,Flat PB,Tenanted,Include,No,
116278001,a1G4J0000025wcTUAQ,"Woolsack Cottage, Silver St, Gloucestershire",Rent Review,2025-07-21,2025-10-21,Pending,RTX,Assd.Per,S/D House,For Sale,Include,No,
103608001,a1G4J0000025tnGUAQ,"28, Caxton Road, London, W12 8AJ",Rent Review,2025-07-25,2025-10-25,Pending,AOX,Assd.Per,Flat PB,Tenanted,Include,No,
113733001,a1G4J0000025w1CUAQ,"79, Watcombe Road, South Norwood, London",Rent Review,2025-07-25,2025-10-25,Pending,SR1,Assd.Per,Mid Terrace,For Sale,Include,No,
105816001,a1G4J0000025uFdUAI,"Elm Tree Cottage, Naunton, Cheltenham, Glouce",Rent Review,2025-08-01,2025-11-01,Pending,RTX,Assd.Per,S/D House,Tenanted,Include,No,
109070001,a1G4J0000025ukoUAA,"Cherry Tree House, Rennington Village",Rent Review,2025-08-01,2025-12-01,Pending,PJN,Assd.Per,Det House,Solic.Instrct,Include,No,
127148001,a1G4J0000025wsbUAA,"8 Victoria Mews, Kilburn, London, NW6 6SY",Rent Review,2025-08-01,2025-12-01,Pending,SR1,Assd.Per,Flat Conv.,Tenanted,Include,No,
127199001,a1G4J0000025xJQUAY,"18 Nash Close, Waterlooville, Hampshire, PO7",Rent Review,2025-08-01,2025-12-01,Pending,MM2,Gr Lets,S/D House,Tenanted,Include,No,
127209001,a1G4J0000025xJLUAY,"21 Acland Street Wellesley, Aldershot GU11 4A",Rent Review,2025-08-01,2025-12-01,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127404001,a1G4J0000025vtsUAA,"577 Marrelsmoor Avenue, Waterlooville, Hampsh",Rent Review,2025-08-01,2025-12-01,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127483077,a1G4J0000025w2JUAQ,"77 Poppy Apartments, E16 2YH",Rent Review,2025-08-01,2025-12-01,Pending,MM2,DMR ,Flat PB,Tenanted,Include,No,
127639006,a1G4J000004PvOvUAK,"86 Plant Farm Cres, Waterlooville, PO7 3DB",Rent Review,2025-08-01,2025-11-01,Pending,GW2,Sh Owner,Flat PB,Tenanted,Include,No,
127801001,a1GNz000000DSuXMAW,"15 St Sebastians Way, GU11 4FN",Rent Review,2025-08-01,2025-12-01,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
216607001,a1G4J0000025xGtUAI,"91, Ravenhurst Road, Birmingham, West Midland",Rent Review,2025-08-01,2025-11-01,Pending,MKP,Assd.Per,Mid Terrace,Tenanted,Include,No,
216727001,a1G4J0000025xhCUAQ,"12, The Square, Birmingham, West Midlands",Rent Review,2025-08-01,2025-11-01,Pending,MKP,Assd.Per,S/D House,Tenanted,Include,No,
317351009,a1G4J0000025zE7UAI,"Flat 9, Denman House, Lordship Ter, N16 0JD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351019,a1G4J0000025zFyUAI,"Flat 19, Denman House, Lordship Ter, N16 0JD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351024,a1G4J0000025zEgUAI,"Flat 24, Denman House, Lordship Ter, N16 0JD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351030,a1G4J0000025z0CUAQ,"Flat 30, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351041,a1G4J0000025zGcUAI,"Flat 41, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351073,a1G4J0000025zEvUAI,"Flat 73, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351074,a1G4J0000025zL3UAI,"Flat 74, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351081,a1G4J0000025zMaUAI,"Flat 81, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317351087,a1G4J0000025zFZUAY,"Flat 87, Denman House, Lordship Ter, N16 0JH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352004,a1G4J0000025zFPUAY,"Flat 4, Dibdin House, Maida Vale, W9 1QE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352015,a1G4J0000025z8kUAA,"Flat 15, Dibdin House, Maida Vale, W9 1QE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352024,a1G4J0000025zEhUAI,"Flat 24, Dibdin House, Maida Vale, W9 1QE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352034,a1G4J0000025zGJUAY,"Flat 34, Dibdin House, Maida Vale, W9 1QE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352058,a1G4J0000025zCHUAY,"Flat 58, Dibdin House, Maida Vale, W9 1QE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
