Id,Unit__c,StartDate,Tenancy_End_Date__c
800Nz00000W2aQ0IAJ,a1G4J0000025yPoUAI,2024-12-04,2025-12-03
800Nz00000W2aQ1IAJ,a1G4J0000025yPpUAI,2024-10-16,2025-10-15
800Nz00000W2aQ3IAJ,a1G4J0000025yPsUAI,2024-08-09,2025-08-08
800Nz00000W2aQ4IAJ,a1G4J0000025yPtUAI,2025-03-10,2026-03-09
800Nz00000W2aQ5IAJ,a1G4J0000025yPuUAI,2024-09-23,2025-09-22
800Nz00000W2aQ6IAJ,a1G4J0000025yPvUAI,,
800Nz00000W2aQ7IAJ,a1G4J0000025yPxUAI,2024-11-29,2025-11-28
800Nz00000W2aQ8IAJ,a1G4J0000025yPyUAI,2024-11-11,2025-11-10
800Nz00000W2aQ9IAJ,a1G4J0000025yPzUAI,2024-08-17,2025-08-16
800Nz00000W2aQAIAZ,a1G4J0000025yQ0UAI,,
800Nz00000W2aQBIAZ,a1G4J0000025yQ2UAI,2024-07-05,2026-07-04
800Nz00000W2aQCIAZ,a1G4J0000025yQ3UAI,2024-07-22,2026-07-21
800Nz00000W2aQDIAZ,a1G4J0000025yQ5UAI,2024-09-20,2025-09-19
800Nz00000W2aQEIAZ,a1G4J0000025yQ6UAI,2024-08-21,2025-08-20
800Nz00000W2aQFIAZ,a1G4J0000025yQ7UAI,2025-05-08,2026-05-07
800Nz00000W2aQGIAZ,a1G4J0000025yQ8UAI,2023-10-25,2025-10-24
800Nz00000W2aQHIAZ,a1G4J0000025yQ9UAI,2024-07-10,2026-07-09
800Nz00000W2aQIIAZ,a1G4J0000025yQAUAY,2024-02-02,2026-02-01
800Nz00000W2aQJIAZ,a1G4J0000025yQBUAY,2024-08-02,2026-08-01
800Nz00000W2aQKIAZ,a1G4J0000025yQDUAY,2025-02-14,2026-05-13
800Nz00000W2aQLIAZ,a1G4J0000025yQEUAY,2023-05-16,2026-05-15
800Nz00000W2aQPIAZ,a1G4J0000025yQIUAY,2025-02-20,2025-08-19
800Nz00000W2aQQIAZ,a1G4J0000025yQJUAY,2024-08-12,2025-08-11
800Nz00000W2aQRIAZ,a1G4J0000025yQKUAY,2006-01-01,2130-12-31
800Nz00000W2aQSIAZ,a1G4J0000025yQMUAY,2024-08-07,2026-08-06
800Nz00000W2aQTIAZ,a1G4J0000025yQNUAY,2024-08-31,2025-08-30
800Nz00000W2aQUIAZ,a1G4J0000025yQOUAY,2024-09-28,2025-09-27
800Nz00000W2aQVIAZ,a1G4J0000025yQRUAY,2024-10-12,2025-10-11
800Nz00000W2aQWIAZ,a1G4J0000025yQSUAY,2024-09-13,2025-09-12
800Nz00000W2aQXIAZ,a1G4J0000025yQTUAY,2024-01-04,2026-01-03
800Nz00000W2aQYIAZ,a1G4J0000025yQWUAY,2024-09-23,2025-09-22
800Nz00000W2aQZIAZ,a1G4J0000025yQXUAY,2025-02-28,2026-02-27
800Nz00000W2aQaIAJ,a1G4J0000025yQYUAY,2024-09-16,2025-09-15
800Nz00000W2aQbIAJ,a1G4J0000025yQZUAY,2024-08-01,2026-01-31
800Nz00000W2aQcIAJ,a1G4J0000025yQaUAI,2024-07-03,2026-07-02
800Nz00000W2aQdIAJ,a1G4J0000025yQbUAI,2024-10-04,2025-12-03
800Nz00000W2aQeIAJ,a1G4J0000025yQdUAI,2024-08-20,2025-08-19
800Nz00000W2aQfIAJ,a1G4J0000025yQeUAI,2024-12-09,2025-12-08
800Nz00000W2aQgIAJ,a1G4J0000025yQfUAI,2024-04-02,2026-04-01
800Nz00000W2aQhIAJ,a1G4J0000025yQgUAI,2024-05-30,2026-05-29
800Nz00000W2aQiIAJ,a1G4J0000025yQhUAI,2025-05-12,2026-05-11
800Nz00000W2aQjIAJ,a1G4J0000025yQjUAI,2025-05-17,2026-05-16
800Nz00000W2aQkIAJ,a1G4J0000025yQmUAI,2025-02-01,2026-01-31
800Nz00000W2aQlIAJ,a1G4J0000025yQnUAI,2024-09-02,2025-09-01
800Nz00000W2aQmIAJ,a1G4J0000025yQoUAI,2024-09-27,2025-09-26
800Nz00000W2aQnIAJ,a1G4J0000025yQpUAI,2024-04-25,2025-04-24
800Nz00000W2aQoIAJ,a1G4J0000025yZTUAY,2024-07-08,2026-07-07
800Nz00000W2aQpIAJ,a1G4J0000025yZUUAY,2024-09-03,2025-09-02
800Nz00000W2aQqIAJ,a1G4J0000025yZVUAY,2024-04-13,2027-04-12
800Nz00000W2aQrIAJ,a1G4J0000025yZWUAY,,
800Nz00000W2aQsIAJ,a1G4J0000025yZYUAY,2024-06-22,2026-06-21
800Nz00000W2aQtIAJ,a1G4J0000025yZZUAY,2024-04-30,2026-04-29
800Nz00000W2aQuIAJ,a1G4J0000025yZbUAI,2024-08-07,2026-08-06
800Nz00000W2aQvIAJ,a1G4J0000025yZeUAI,2024-11-17,2026-11-16
800Nz00000W2aQwIAJ,a1G4J0000025yZfUAI,2023-10-05,2025-10-04
800Nz00000W2aQxIAJ,a1G4J0000025yZgUAI,2024-09-03,2025-09-02
800Nz00000W2aQyIAJ,a1G4J0000025yZiUAI,2024-09-04,2025-09-03
800Nz00000W2aQzIAJ,a1G4J0000025yZkUAI,2024-12-20,2025-12-19
800Nz00000W2aR0IAJ,a1G4J0000025yZlUAI,2025-03-21,2026-03-20
800Nz00000W2aR1IAJ,a1G4J0000025yZpUAI,2024-06-22,2026-06-21
800Nz00000W2aR2IAJ,a1G4J0000025yZqUAI,2024-08-25,2026-08-24
800Nz00000W2aR3IAJ,a1G4J0000025yZrUAI,2024-09-13,2174-09-12
800Nz00000W2aR4IAJ,a1G4J0000025yZsUAI,2024-07-25,2026-07-24
800Nz00000W2aR5IAJ,a1G4J0000025yZtUAI,2025-02-03,2026-02-02
800Nz00000W2aR6IAJ,a1G4J0000025yZyUAI,2024-05-06,2025-05-05
800Nz00000W2aR7IAJ,a1G4J0000025yZzUAI,,
800Nz00000W2aR8IAJ,a1G4J0000025ya0UAA,2024-09-17,2025-09-16
800Nz00000W2aR9IAJ,a1G4J0000025ya2UAA,2024-11-07,2025-11-06
800Nz00000W2aRAIAZ,a1G4J0000025ya7UAA,2011-11-01,2012-10-31
800Nz00000W2aRCIAZ,a1G4J0000025ya9UAA,2025-03-01,2026-02-28
800Nz00000W2aREIAZ,a1G4J0000025yaDUAQ,2024-06-04,2026-06-03
800Nz00000W2aRFIAZ,a1G4J0000025yaEUAQ,2024-11-20,2025-11-19
800Nz00000W2aRGIAZ,a1G4J0000025yaFUAQ,2020-07-01,2021-06-30
800Nz00000W2aRHIAZ,a1G4J0000025yaHUAQ,,
800Nz00000W2aRIIAZ,a1G4J0000025yaIUAQ,2024-12-14,2025-12-13
800Nz00000W2aRJIAZ,a1G4J0000025yaJUAQ,2025-05-05,2026-05-04
800Nz00000W2aRKIAZ,a1G4J0000025yaKUAQ,2025-03-02,2026-03-01
800Nz00000W2aRLIAZ,a1G4J0000025yaLUAQ,2006-01-01,2130-12-31
800Nz00000W2aRMIAZ,a1G4J0000025yaMUAQ,2024-09-15,2025-09-14
800Nz00000W2aRNIAZ,a1G4J0000025yaOUAQ,2006-01-01,2130-12-31
800Nz00000W2aROIAZ,a1G4J0000025yaPUAQ,2024-06-13,2026-06-12
800Nz00000W2aRRIAZ,a1G4J0000025yaZUAQ,2024-09-22,2026-09-21
800Nz00000W2aRSIAZ,a1G4J0000025yacUAA,2024-10-17,2025-10-16
800Nz00000W2aRTIAZ,a1G4J0000025yagUAA,2025-04-14,2026-04-13
800Nz00000W2aRUIAZ,a1G4J0000025yahUAA,2024-09-23,2025-09-22
800Nz00000W2aRVIAZ,a1G4J0000025yajUAA,2024-11-30,2025-11-29
800Nz00000W2aRYIAZ,a1G4J0000025yapUAA,2006-01-01,2130-12-31
800Nz00000W2augIAB,a1G4J00000262CGUAY,2008-03-25,2133-03-24
800Nz00000W2auhIAB,a1G4J00000262CHUAY,2010-08-31,2199-08-30
800Nz00000W2auiIAB,a1G4J00000262CKUAY,1976-03-25,2174-03-24
800Nz00000W2aujIAB,a1G4J00000262CLUAY,2001-12-25,2190-12-24
800Nz00000W2aukIAB,a1G4J00000262CPUAY,2022-05-17,2165-03-24
800Nz00000W2aulIAB,a1G4J00000262CQUAY,1976-03-25,2101-03-24
800Nz00000W2aumIAB,a1G4J00000262CUUAY,2017-11-20,2142-11-19
800Nz00000W2auoIAB,a1G4J00000262CeUAI,2022-09-28,2272-09-27
