_id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,tenancy_status__c,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
8008d000000Y4bSAAS,222583073001,0054J000004vXOiQAM,0014J00000VvToqQAF,012Pv0000021hzSIAQ,a1G4J0000025y94UAA,Draft,Draft,2022-05-10,2023-05-09,AST,,,,3.5,0,No Break,,,,,,0068d000004fPRtAAM,222583073001
800Pv00000AWjfNIAT,108901001008,0058d000000lACRAA2,001Pv00000VRt3NIAT,012Pv0000021hzSIAQ,a1G4J0000025uwFUAQ,Draft,Draft,,,AST,AST,,,6.0,600,No Break,,,,,,006Pv00000AL801IAD,108901001008
8004J000000Bcc9QAC,418645039003,0054J000004vXPGQA2,0014J00000WdWCVQA3,012Pv0000021hzSIAQ,a1G4J0000025zpRUAQ,Draft,Draft,2021-04-11,2022-04-10,AST,AST,,,4.0,1595,No Break,,7 weeks rent free,,,,0064J00000DHyTHQA1,418645039003
8004J000000BceKQAS,222488060006,0054J000004vXPGQA2,0014J00000WgFWqQAN,012Pv0000021hzSIAQ,a1G4J0000025y3OUAQ,Draft,Draft,2021-04-10,2021-10-09,AST,,,,4.0,810,No Break,,,,,,0064J00000DIwfWQAT,222488060006
8004J000000Bd56QAC,222601024004,0054J000004vXOaQAM,0014J00000WpgNZQAZ,012Pv0000021hzSIAQ,a1G4J0000025xygUAA,Draft,Draft,2021-05-07,2022-05-06,AST,AST,,,4.0,1165,2 at 4 to expire at 6,,"The landlord agrees that the tenant can pay quarterly. £3,495.00 is to be paid as part of the Initial Statement of Monies, in addition to the deposit of £1,165.00. Instalments of £3,495.00 are to be paid as follows: the first one prior to the 7th August 2021, the second one prior to the 7th November 2021 and the final one prior to the 7th February 2022. This overrides your payment schedule detailed on the final pages of this agreement.",,,,0064J00000DJ49UQAT,222601024004
8004J000000BaaBQAS,222659036001,0054J000004vXOlQAM,0014J00000Wd6LUQAZ,012Pv0000021hzSIAQ,a1G4J0000025yXNUAY,Draft,Ended,2021-05-10,2022-05-09,AST,AST,,,3.5,1205,2 at 4 to expire at 6,,,,,,0064J00000DHnYvQAL,222659036001
8004J000000BczSQAS,418637023002,0054J000004vXOaQAM,0014J00000WqZjHQAV,012Pv0000021hzSIAQ,a1G4J0000025zmmUAA,Draft,Ended,2021-04-30,2022-04-29,AST,AST,,,4.0,1820,No Break,,,,,,0064J00000DJK7EQAX,418637023002
8004J000000BeLtQAK,222491011004,0054J000004vXPGQA2,0014J00000WtUikQAF,012Pv0000021hzSIAQ,a1G4J0000025yDwUAI,Draft,Draft,,,Licence,Parking Licence,,,6.0,0,2 at 4 to expire at 6,,,,,,0064J00000EkcItQAJ,222491011004
8004J000000BdDtQAK,418578039002,0054J000004vXOaQAM,0014J00000Wfq2GQAR,012Pv0000021hzSIAQ,a1G4J0000025zvNUAQ,Draft,Draft,2021-04-26,2022-04-25,Live Work,Statutory Declaration,,,4.0,2426.66,No Break,,"Rent in Advance
The landlord agrees that the tenant will have 6 weeks rent free at the beginning of the tenancy. £2,831.10 will be deducted from the initial monies owed and £528.90 will be deducted from the rent due on the 1st June, meaning the rent for this period will be £1,897.76, then £2,426.66 on the first of each month for the remainder of the tenancy.


Smoking
You, your family, guests and visitors must not smoke any substance or use electronic cigarettes inside or in the vicinity of the premises or the building, including on any balcony or in any communal spaces and in the event that damage is caused to the premises or the building as a result of a breach of this clause of the agreement, you agree to pay the costs incurred by us, in repairing that damage or redecorating the premises or building or have a sum equal to those costs deducted from the deposit.",,,,0064J00000DInsWQAT,418578039002
8004J000000BaauQAC,222490006001,0054J000004vXOiQAM,0014J00000VvRxtQAF,012Pv0000021hzSIAQ,a1G4J0000025xQ3UAI,Draft,Ended,2021-05-01,2022-04-30,AST,AST,,,3.0,600,2 at 4 to expire at 6,,,,,,0064J00000DIQwsQAH,222490006001
8004J000000BaazQAC,222487001002,0054J000004vXOnQAM,0014J00000VvSXOQA3,012Pv0000021hzSIAQ,a1G4J0000025xjKUAQ,Draft,Ended,2021-05-01,2022-04-30,AST,AST,,,2.5,635,2 at 4 to expire at 6,,,,,,0064J00000DIR1sQAH,222487001002
8004J000000BdMvQAK,222521047005,0054J000004vXPGQA2,0014J00000WsFQLQA3,012Pv0000021hzSIAQ,a1G4J0000025xqLUAQ,Draft,Draft,2021-05-14,2022-05-13,AST,AST,,,4.0,855,No Break,,The Landlord agrees to a rent incentive of 1 months split over the 12 month period of the tenancy. £42.82 to be deducted from the apportioned rent for the period 14 - 31/05/21. £73.75 to be deducted from the monthly rent from June 21 - April 22 and the final amount of £30.93 to be deducted from the rent payable for the period 01 - 13/05/21,,,,0064J00000DrJzJQAV,222521047005
8004J000000BabnQAC,222488035003,0054J000004vXOiQAM,0014J00000VvTETQA3,012Pv0000021hzSIAQ,a1G4J0000025y6bUAA,Draft,Ended,2021-05-01,2022-04-30,AST,AST,,,3.0,625,2 at 4 to expire at 6,,,,,,0064J00000DIRZLQA5,222488035003
8008d000000YUSaAAO,122587016002,0054J000004vXOiQAM,0014J00000VvRBMQA3,012Pv0000021hzSIAQ,a1G4J0000025wObUAI,Draft,Ended,2023-02-01,2024-01-31,AST,AST,,,6.0,735,Renewal 2 month,,,,,,0068d000009hpxLAAQ,122587016002
