id,Tenancy__r:Contract:PMS_Reference__C
a24Nz000001P9M5IAK,900003031003
a24Nz000000reCDIAY,900002154004
a24Pv000002SgRNIA0,900002150004
a24Nz000001XwnpIAC,900002124002
a24Pv000002SgKvIAK,900002106004
a24Nz000001Yk7tIAC,900002087004
a24Nz000001pj0wIAA,900002048004
a24Nz000001bKwrIAE,418645091005
a24Nz000001B742IAC,418645073004
a24Nz000001lHL0IAM,418645044004
a24Nz000001NotBIAS,418645043004
a24Nz000001oklRIAQ,418645022005
a24Nz000001gylaIAA,418645019003
a24Nz000001AzODIA0,418645013004
a24Nz000001eYgjIAE,418645004005
a24Nz000001kkQfIAI,418639010002
a24Nz000001iQSrIAM,418638010001
a24Nz000001SYFtIAO,418637024004
a24Nz000001b2S5IAI,418637002005
a24Nz000001HlWbIAK,418636030004
a24Nz000001bHSjIAM,418636013004
a24Nz000001IMcbIAG,418636008003
a24Nz000001V4YDIA0,418634012003
a24Nz000001kgq5IAA,418634010005
a24Nz000001fUuPIAU,418613003002
a24Nz000001aQQ1IAM,418599004005
a24Nz000001f1NlIAI,418580003004
a24Nz000001jhMnIAI,418579009002
a24Nz000001k3woIAA,418578088005
a24Nz000001IIltIAG,418578081003
a24Nz000001UXUDIA4,418578074005
a24Nz000001UdZdIAK,418578067005
a24Nz000001p9NFIAY,418578063005
a24Nz000001dcEXIAY,418578042003
a24Nz000001bKOzIAM,418578020003
a24Nz000001HiKDIA0,418577032004
a24Nz000001kK9dIAE,418576054004
a24Nz000001QeNpIAK,418576013005
a24Nz000001mEsvIAE,418574038003
a24Nz000001guy6IAA,418568002004
a24Nz000001XVpFIAW,418537026008
a24Nz000001FIdaIAG,418537025007
a24Nz000001jmeDIAQ,418537022005
a24Nz000001Bx2bIAC,418537012008
a24Nz000001dHbVIAU,418537009009
a24Nz000001VJAfIAO,317678007005
a24Nz000001oWNVIA2,317676019008
a24Nz000001IIUAIA4,317674004008
a24Nz000001bbRRIAY,317667016013
a24Nz000001io0XIAQ,317640002012
a24Nz000001KuyLIAS,317630009010
a24Nz000001KCFlIAO,317585039003
a24Pv000004HYnlIAG,317585026002
a24Nz000001ihQTIAY,317585013012
a24Nz000001gvu9IAA,317479002004
a24Nz000001TzsMIAS,317470006005
a24Nz000001k3wnIAA,317469002009
a24Nz000001V9hZIAS,222760003002
a24Nz000001omVVIAY,222758295002
a24Nz000001nNkTIAU,222758265002
a24Pv000003Y6fZIAS,222758204001
a24Nz000001eRwzIAE,222758149002
a24Nz000001cIrOIAU,222758148002
a24Nz000001mOaXIAU,222758141001
a24Nz000001LwgLIAS,222758053002
a24Nz000001lvNFIAY,222756023002
a24Pv0000040FxhIAE,222749167001
a24Pv000005XrcAIAS,222749135001
a24Nz000001Ye45IAC,222748056003
a24Nz000001amjtIAA,222748024002
a24Nz000001iCHpIAM,222743031002
a24Nz000001h3EzIAI,222743030003
a24Nz000001iCWLIA2,222741085002
a24Nz000001hjxOIAQ,222741073002
a24Nz000001dwy1IAA,222741039002
a24Nz000001eyRVIAY,222741021003
a24Nz000001lT1CIAU,222741020002
a24Nz000001h46DIAQ,222741010002
a24Nz000001kl9pIAA,222741006001
a24Nz000001NoYDIA0,222737236002
a24Nz000001mERVIA2,222737146002
a24Nz000001NO1rIAG,222737127002
a24Nz000001cP85IAE,222737109002
a24Nz000001pmDJIAY,222737103003
a24Nz000001VeOnIAK,222737074002
a24Nz000001Ve5RIAS,222737073002
a24Nz000001VcJlIAK,222737069002
a24Nz000001VaQ1IAK,222737067002
a24Nz000001f6aLIAQ,222737061001
a24Nz000001aTHRIA2,222737059002
a24Nz000001FKNdIAO,222737054003
a24Nz000001exnBIAQ,222708232002
a24Nz000001No0MIAS,222708195002
a24Nz000001cCkLIAU,222708194002
a24Nz000000lWVuIAM,222708191002
a24Nz000001P4RFIA0,222708187002
a24Nz000001dCjtIAE,222708177002
a24Nz000001feSLIAY,222708101003
a24Nz000001UFfNIAW,222708079003
a24Nz000001lE3lIAE,222708075001
a24Nz000000vvftIAA,222708070002
a24Nz0000016RRaIAM,222708068004
a24Nz000001QjTxIAK,222708058002
a24Nz000001PSuzIAG,222708014003
a24Nz000001eYC5IAM,222700028002
a24Nz000001VXf3IAG,222700020002
a24Nz000001dkVRIAY,222689010003
a24Nz000001feovIAA,222689005002
a24Nz0000017viXIAQ,222687010005
a24Nz0000015ZnlIAE,222686132004
a24Nz000001P5n7IAC,222686114005
a24Nz000001fdEXIAY,222686060001
a24Nz000001eecTIAQ,222686056003
a24Nz000001IvNRIA0,222686037004
a24Nz000001Ye5hIAC,222686035003
a24Pv000003r6S9IAI,222686025002
a24Nz000001fsALIAY,222686022002
a24Nz000001KBUzIAO,222686008003
a24Nz000001lrLFIAY,222685057003
a24Nz000001mUpdIAE,222685049003
