PMS_Reference__c,tenancy_status__c
103200001001,Current
107370001001,Current
108892001002,Current
108898001002,Current
108901001008,Current
108902001004,Current
109014001001,Current
109084001002,Current
110447256001,Current
110447257001,Current
110447258001,Current
110447259001,Current
103336078001,Current
110447260002,Current
110447261002,Current
110447262001,Current
110447267002,Current
110447271001,Current
110447274001,Current
110447277002,Current
110447279001,Current
110447280003,Current
110447281100,Current
110447283002,Current
110447287002,Current
110447288002,Current
110447289001,Current
222741086001,Current
222741088001,Current
104209006002,Current
104173006002,Current
103088002002,Current
110498001002,Current
110447290001,Current
122059001003,Current
122486004005,Current
122486007005,Current
122486008009,Current
122486010002,Current
122486011005,Current
122486012002,Current
122486013002,Current
122486015005,Current
122486016007,Current
122486017005,Current
122486018003,Current
122486019001,Current
122486020007,Current
122486021005,Current
122486023007,Current
122486025005,Current
122486026004,Current
122486028005,Current
122486029007,Current
103135001001,Current
122486030003,Current
122486031007,Current
122486032007,Current
122486034005,Current
122486035004,Current
122486036005,Current
122486037005,Current
122486038005,Current
122486039008,Current
122486041007,Current
122486042007,Current
122486044008,Current
122486045004,Current
122486046004,Current
122486047006,Current
122486049008,Current
122486050008,Current
122486051004,Current
122486053008,Current
122486055004,Current
122486059006,Current
122486060002,Current
103226001001,Current
122486061005,Current
122486062006,Current
122486063002,Current
122486064003,Current
122486065004,Current
122486069003,Current
122486070006,Current
122486071006,Current
122486072009,Current
122486073006,Current
122486074008,Current
122486075004,Current
122486076009,Current
122486077004,Current
122486078006,Current
122486080005,Current
122486082005,Current
122486084004,Current
122486085004,Current
122486086003,Current
122486087006,Current
122486088006,Current
122486089007,Current
122486090005,Current
122486092006,Current
122486093006,Current
122486094004,Current
122486095006,Current
122486096007,Current
122486098005,Current
122486099005,Current
122486100005,Current
122486101005,Current
122486104002,Current
122486106005,Current
122521001001,Current
122523001006,Current
122528003002,Current
122528007011,Current
122528008005,Current
122528010004,Current
122528013004,Current
122528014006,Current
122528016006,Current
122528018009,Current
122528019002,Current
122528021003,Current
122528022006,Current
222741089001,Current
222741090001,Current
122528023007,Current
122528026003,Current
122528029007,Current
122528031003,Current
122528036006,Current
122528037010,Current
122528045005,Current
122528046006,Current
122528048013,Current
122528049006,Current
122528050007,Current
122528053008,Current
122533001011,Current
122539001003,Current
122548001001,Current
122559003001,Current
122559008004,Current
122559010002,Current
122562004002,Current
122564001004,Current
122565001002,Current
122567001001,Current
122570001003,Current
122571001005,Current
122574001002,Current
122575001003,Current
122577001002,Current
122579001004,Current
122581001007,Current
122584001003,Current
122586001009,Current
122586002005,Current
122586006005,Current
122586007008,Current
122586008006,Current
122586009006,Current
122586010007,Current
122586011005,Current
122586012003,Current
122586014005,Current
122586016002,Current
122586017006,Current
122586019008,Current
122586020003,Current
122586021001,Current
122586022003,Current
122586023003,Current
122586026004,Current
122586027003,Current
222741091001,Current
222741092001,Current
104566001002,Current
122587001005,Current
122587004005,Current
122587005003,Current
122587006008,Current
122587007008,Current
122587009003,Current
122587010005,Current
122587011003,Current
122587013006,Current
122587014007,Current
122587018004,Current
122587020004,Current
122587021009,Current
122587024005,Current
122587025004,Current
104170001002,Current
122587027006,Current
122588001008,Current
122589001006,Current
104350004004,Current
122591001003,Current
122593001002,Current
122594001001,Current
122595001004,Current
122596001005,Current
122597001002,Current
122599001003,Current
122600003010,Current
122600004005,Current
122600006008,Current
122600007008,Current
122600008004,Current
122600009002,Current
122600013003,Current
122600015004,Current
107668001004,Current
122600016007,Current
122600019003,Current
122600020007,Current
122600021005,Current
122600022003,Current
122601001005,Current
122601002004,Current
122601003008,Current
122601004007,Current
122601005012,Current
122601006005,Current
122601008006,Current
122601009005,Current
122601010005,Current
122601011004,Current
122601013007,Current
122601014002,Current
122601015009,Current
122601016004,Current
122601017005,Current
122601020008,Current
122601021006,Current
122601022002,Current
122601023004,Current
122601024004,Current
122601025005,Current
122602001004,Current
122603001004,Current
122604001006,Current
122606001006,Current
122607001006,Current
122608001006,Current
122609001004,Current
122610001005,Current
122612001004,Current
122613001006,Current
122613002007,Current
122614001003,Current
122615001002,Current
122616001004,Current
222741094002,Current
222741097001,Current
222741098001,Current
222743001001,Current
222743006002,Current
122617001002,Current
122618001003,Current
122619001004,Current
122620001006,Current
122621001006,Current
122623003003,Current
122623004004,Current
122623005002,Current
127031001001,Current
127057200002,Current
127057205008,Current
127057237008,Current
127057240003,Current
127080001002,Current
127088001001,Current
127099004001,Current
127099005001,Current
127111001001,Current
127131008001,Current
127132001001,Current
127135001001,Current
127158001001,Current
127169001001,Current
127172001001,Current
127173001001,Current
127180001001,Current
127209001001,Current
127210001002,Current
127223001001,Current
127231001001,Current
127233001001,Current
127248001001,Current
127252001001,Current
127483037002,Current
127483039004,Current
127483041002,Current
127483044001,Current
127483046001,Current
127483054001,Current
127483056002,Current
127483057002,Current
127483058001,Current
127483060002,Current
127483062001,Current
127483063002,Current
127483065001,Current
127483066001,Current
127483067001,Current
127483068001,Current
127483069001,Current
127483070001,Current
127483072002,Current
107524005002,Current
127483073001,Current
127483074001,Current
127483075001,Current
127483076001,Current
127483079001,Current
127483080001,Current
127483081002,Current
127484006002,Current
127535004001,Current
127535007002,Current
127535010001,Current
127535015001,Current
127535019001,Current
127536003001,Current
127536029001,Current
217371003007,Current
217371004004,Current
217371006005,Current
217371010005,Current
217371013007,Current
217371017002,Current
217371018005,Current
222743011001,Current
222743012001,Current
110990001001,Current
107352001003,Current
217371019003,Current
217371020010,Current
217371022004,Current
217371025008,Current
217371026005,Current
217371029006,Current
217371030010,Current
217371034005,Current
217371035005,Current
217371036007,Current
107594001002,Current
217371038006,Current
217371039004,Current
217371040008,Current
217371044007,Current
217371045006,Current
217371046004,Current
217371047002,Current
217371048002,Current
217371049005,Current
217371050004,Current
217371051006,Current
217371052005,Current
107771001001,Current
217371053003,Current
217371054010,Current
217371055003,Current
217371056006,Current
217371058007,Current
217371062003,Current
217371065006,Current
217371066005,Current
217371067004,Current
217371068004,Current
217371070006,Current
217371072004,Current
222743020002,Current
222743022002,Current
110038004005,Current
110650001003,Current
108619003002,Current
109788031001,Current
217371076006,Current
217371081002,Current
217371082007,Current
217371083005,Current
217371084005,Current
217371085007,Current
217371086008,Current
217371087007,Current
217371088006,Current
217371089006,Current
217371090007,Current
217371091003,Current
217371092005,Current
217371095006,Current
217371096007,Current
217371097008,Current
217371100003,Current
217371101003,Current
217371102005,Current
111101001002,Current
217371103003,Current
217371104005,Current
217371105007,Current
217371107008,Current
217371110006,Current
217371112007,Current
217371113005,Current
217371117008,Current
217371119006,Current
222486001002,Current
222486002005,Current
222486005008,Current
222486006008,Current
222487001002,Current
222487002007,Current
222487005003,Current
222487010004,Current
222487015001,Current
222487017006,Current
222487018005,Current
222487021004,Current
222487022001,Current
222487023004,Current
222487024005,Current
222487027002,Current
222487033002,Current
222487040005,Current
222487042003,Current
222487045007,Current
222487049004,Current
222487053003,Current
222487059003,Current
222488001002,Current
222488004002,Current
222488005009,Current
222488008005,Current
222488010007,Current
222488014007,Current
