pms_reference__c,accountid,break_clause__c,recordtypeid,unit__c,startdate,_enddate,status,agreement_type__c,description,_unit_rn,opportunity__c,ownerid,document_type__c,memorandum_of_agreement_date__c,tenancy_end_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c
103200001001,0014J00000VvMTMQA3,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025tchUAA,2021-05-22,,Draft,AST,AST,1,0064J00000DFOQrQAP,0054J000004vXOnQAM,AST,,2022-05-21,,6.0,450,,,,,
107370001001,0014J00000VvN90QAF,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025uWIUAY,2022-02-01,,Draft,AST,AST,1,0064J00000DFPTwQAP,0054J000004vXOiQAM,AST,,2025-01-31,,6.0,765,,,,,
108892001002,0014J00000VvO95QAF,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025uzhUAA,2021-10-01,,Draft,AST,AST,1,0064J00000DFPGBQA5,0054J000004vXOiQAM,AST,,2024-09-30,,6.0,560,,,,,
108898001002,0018d00000978S8AAI,No Break,012Pv0000027hGnIAI,a1G4J0000025uoiUAA,2022-06-01,,Draft,AST,AST,1,0068d000006GnPsAAK,0054J000005JWtDQAW,AST,,2025-05-31,,3.0,575,,,,,
108901001008,0018d000003WqrfAAC,No Break,012Pv0000027hGnIAI,a1G4J0000025uwFUAQ,2024-08-25,,Draft,AST,AST,1,006Pv00000AL801IAD,0058d000000lACRAA2,AST,,,,6.0,600,"Gas, Electricity inc. in Rent Clause",,,,
108902001004,0014J00000VvO7tQAF,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025uypUAA,2020-10-01,,Draft,AST,AST,1,0064J00000DFPkjQAH,0054J000004vXOiQAM,AST,,2025-03-31,,6.0,575,,,,,
109014001001,0014J00000VvORNQA3,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v0vUAA,2021-03-25,,Draft,AST,AST,1,0064J00000DFPmoQAH,0054J000004vXOiQAM,AST,,2025-06-24,,6.0,0,,,,,
109084001002,0014J00000VvMY4QAN,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v0MUAQ,2021-07-01,,Draft,AST,AST,1,0064J00000DFPnmQAH,0054J000004vXOiQAM,AST,,2024-08-31,,6.0,368.33,,,,,
110447256001,0014J00000VvOchQAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025ug9UAA,2021-06-19,,Draft,AST,AST,1,0064J00000DFPviQAH,0058d000006d5m0AAA,AST,,2025-06-18,,6.0,1326,,,,,
110447257001,0014J00000VvOfuQAF,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025ulEUAQ,2021-06-26,,Draft,AST,AST,1,0064J00000DFPs9QAH,0058d000006d5m0AAA,AST,,2024-06-25,,6.0,1326,,,,,
110447258001,0014J00000VvOjvQAF,Halfway on an 36,012Pv0000027hGnIAI,a1G4J0000025uuYUAQ,2022-04-10,,Draft,AST,AST,1,0064J00000DFOaAQAX,0058d000000la2lAAA,AST,,2025-04-09,,3.5,1095,,,,,
110447259001,0014J00000VvOi6QAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025uaTUAQ,2022-04-13,,Draft,AST,AST,1,0064J00000DFQ1AQAX,0058d000000la2lAAA,AST,,2025-04-12,,3.5,1095,,"Pet Clause:

Further to Clause E39 the Landlord agrees solely for the purpose of this Tenancy that the Tenant may keep 2 cats on the Property provided that 
(i) the Tenant shall pay for any damage caused by such animal to the Property or Contents or to the garden at the Property or to any neighbouring garden or property.
(ii) the Tenant shall pay to the Landlord the cost of replacing any carpet rug fabric or other item in the Property with one of similar quality that such animal shall soil or damage. 
(iii) the Tenant shall indemnify the Landlord against any related infestation damage and treatment caused to the Property or Contents by such animal which may become evident during or up to two months after the termination of the Tenancy.
(iv) it is agreed that such consent may be withdrawn by the Landlord during the course of the Tenancy in the event of unreasonable or excessive damage being caused to the Property.",,,
103336078001,0014J00000VvMGPQA3,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tVtUAI,1978-06-24,,Draft,,Regulated,1,,,,,,,,,,,,,
110447260002,0014J00000aujH1QAI,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025ttQUAQ,2022-07-14,,Draft,AST,AST,1,0064J00000FVoOMQA1,0058d000006d5m0AAA,AST,,2024-07-13,,6.0,1471,,,,,
110447261002,0018d00000TK55CAAT,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025v5cUAA,2024-02-20,,Draft,AST,AST,1,0068d00000CqpZTAAZ,0054J000004vXOnQAM,AST,,2026-02-19,,6.0,0,,,,,
110447262001,0014J00000VvOkPQAV,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025v7qUAA,2021-05-01,,Draft,AST,AST,1,0064J00000DFPwWQAX,0054J000004vXOnQAM,AST,,2027-04-30,,4.0,1269.23,,,,,
110447267002,0018d000003THkUAAW,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025uMKUAY,2021-09-17,,Draft,AST,AST,1,0068d000002cbABAAY,0058d000006d5m0AAA,AST,,2024-10-16,,6.0,1440,,,,,
110447271001,0014J00000VvO69QAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025v80UAA,2022-01-27,,Draft,AST,AST,1,0064J00000DFPlsQAH,0054J000004vXOnQAM,AST,,2025-01-26,,2.5,1604.4,,,,,
110447274001,0014J00000VvOYpQAN,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v8FUAQ,2022-03-22,,Draft,AST,AST Per,1,0064J00000DFPuuQAH,0054J000004vXOnQAM,AST,,2025-05-21,,6.0,1442.3,,,,,
110447277002,0014J00000VvOfwQAF,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v7rUAA,2021-11-01,,Draft,AST,AST,1,0064J00000DFQ1UQAX,0058d000006d5m0AAA,AST,,2024-10-31,,6.0,1378.84,,,,,
110447279001,0014J00000VvOetQAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025up0UAA,2022-01-06,,Draft,AST,AST,1,0064J00000DFPLeQAP,0054J000004vXOnQAM,AST,,2025-01-05,,3.0,1378,,,,,
110447280003,0018d00000LLm52AAD,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025vFSUAY,2023-11-18,,Draft,AST,AST,1,0068d000009iPvnAAE,0054J000004vXOnQAM,AST,,2026-11-17,,6.0,1615,,,,,
110447281100,0014J00000VvNw9QAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025ubqUAA,2021-10-30,,Draft,AST,AST,1,0064J00000DFPp0QAH,0058d000004GKjUAAW,AST,,2024-12-29,,6.0,1557.69,,,,,
110447283002,0018d000004Tuj8AAC,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v7wUAA,2022-12-29,,Draft,AST,AST,1,0068d0000038sAIAAY,0058d000004GKjUAAW,AST,,2023-12-28,,6.0,1557,,,,,
110447287002,0018d00000aGAGRAA4,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025v5qUAA,2024-05-15,,Draft,AST,AST,1,0068d00000F60sZAAR,0054J000004vXOnQAM,AST,,2025-05-14,,6.0,1528.85,,,,,
110447288002,0018d0000087gX1AAI,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025v7WUAQ,2024-03-31,,Draft,AST,AST,1,0068d000004h4kXAAQ,0054J000004vXOnQAM,AST,,2025-03-30,,6.0,1557,,,,,
110447289001,001Nz000000nWgLIAU,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025uyrUAA,2023-05-21,,Draft,AST,AST,1,0064J00000DFQ0HQAX,0058d000006d5m0AAA,AST,,2026-05-20,,6.0,1378,,,,,
222741086001,001Nz000006tG0hIAE,No Break,012Pv0000027hGnIAI,a1G8d000002Q2VyEAK,2024-02-01,,Draft,AST,AST,1,006Nz000006gcBxIAI,0054J000004vXPBQA2,AST,,2025-01-31,,6.0,2180,,,,,
222741088001,001Nz000002mk7ZIAQ,No Break,012Pv0000027hGnIAI,a1G8d000002Q2WDEA0,2023-11-01,,Draft,AST,AST,1,006Nz000002ulKyIAI,0058d0000020feeAAA,AST,,2024-10-31,,6.0,2205,,,,,
104209006002,0014J00000VvMxhQAF,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tTIUAY,1988-09-30,,Draft,,Grnd Rent,1,0064J00000DFOsTQAX,,,,,,,,,,,,
