"id","tenancy__c","opportunity__c","pms_reference__c","accountid","recordtypeid","unit__c","status","tenancy_status__c","startdate","enddate","ownerid","agreement_type__c","document_type__c","memorandum_of_agreement_date__c","actual_move_out_date__c","uplift_percentage__c","security_deposit_amount__c","break_clause__c","special_clauses__c","special_clause_free_text__c","vehicle_make__c","vehicle_model__c","vehicle_registration__c","id-2","primary_offer__r","primary_offer_live_unit__c","stagename","move_in_date__c","tenancy_type__c","agreement_type__c-2","createddate","pms_reference__c-2","primary_offer_unit__c","id-3","PMS_Reference__c","stagename-2","PMS_Reference__c-2","accountid-2","break_clause__c-2","recordtypeid-2","Unit__c","StartDate","Tenancy_End_Date__c","status-2","Agreement_Type__c","Description","unit_rn","ownerid-2","document_type__c-2","memorandum_of_agreement_date__c-2","actual_move_out_date__c-2","uplift_percentage__c-2","security_deposit_amount__c-2","special_clauses__c-2","special_clause_free_text__c-2","vehicle_make__c-2","vehicle_model__c-2","vehicle_registration__c-2"
"8004J000000Bcc9QAC","800Pv00000G4uoqIAB","0064J00000DHyTHQA1",,"0014J00000WdWCVQA3","012Pv0000021hzSIAQ","a1G4J0000025zpRUAQ","Draft","Draft","2021-04-11","2022-04-10","0054J000004vXPGQA2","AST","AST",,,"4.00","1595.00","No Break",,"7 weeks rent free",,,,"0064J00000DHyTHQA1","[Quote]","a1G4J0000025zpRUAQ","Closed Won","2021-04-11","New","AST","2021-03-26 13:59:47",,"a1G4J0000025zpRUAQ","0064J00000DHyTHQA1","418645039003","Closed Won","418645039003","0018d00000R7eOOAAZ","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zpRUAQ","2024-04-11","2026-04-10","Draft","AST","AST","1","0054J000004vXOnQAM","AST",,,"4.00","1595.00",,"7 weeks rent free",,,
"8004J000000BcdqQAC","800Pv00000G4uoqIAB","0064J00000DHyTHQA1",,"0014J00000WdWCVQA3","012Pv0000021hzSIAQ","a1G4J0000025zpRUAQ","Draft","Ended","2021-04-11","2022-04-10","0054J000004vXPGQA2","AST","AST",,,"4.00","1595.00","No Break",,"7 weeks rent free",,,,"0064J00000DHyTHQA1","[Quote]","a1G4J0000025zpRUAQ","Closed Won","2021-04-11","New","AST","2021-03-26 13:59:47",,"a1G4J0000025zpRUAQ","0064J00000DHyTHQA1","418645039003","Closed Won","418645039003","0018d00000R7eOOAAZ","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zpRUAQ","2024-04-11","2026-04-10","Draft","AST","AST","1","0054J000004vXOnQAM","AST",,,"4.00","1595.00",,"7 weeks rent free",,,
"8004J000000BeGyQAK","800Pv00000G4xsAIAR","0064J00000DtLN2QAN",,"0014J00000XurPlQAJ","012Pv0000021hzSIAQ","a1G4J0000025zwKUAQ","Draft","Ended","2021-05-22","2022-05-21","0054J000004vXOaQAM","AST","AST",,,"4.00","2426.70","2 at 4 to expire at 6",,"Pet Clause
Further to Clause E39 the Landlord agrees solely for the purpose of this Tenancy that the Tenant may keep 1 Dog on the Property provided that 
(i) the Tenant shall pay for any damage caused by such animal to the Property or Contents or to the garden at the Property or to any neighbouring garden or property 
(ii) the Tenant shall pay to the Landlord the cost of replacing any carpet rug fabric or other item in the Property with one of similar quality that such animal shall soil or damage 
(iii) the Tenant shall indemnify the Landlord against any related infestation damage and treatment caused to the Property or Contents by such animal which may become evident during or up to two months after the termination of the Tenancy 
(iv) it is agreed that such consent may be withdrawn by the Landlord during the course of the Tenancy in the event of unreasonable or excessive damage being caused to the Property",,,,"0064J00000DtLN2QAN","[Quote]","a1G4J0000025zwKUAQ","Closed Won","2021-05-22","New","AST","2021-05-04 13:07:57",,"a1G4J0000025zwKUAQ","0064J00000DtLN2QAN","418549004002","Closed Won","418549004002","0014J00000XurdYQAR","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025zwKUAQ","2024-05-22","2025-05-21","Draft","AST","AST","1","0058d0000034i83AAA","AST",,,"4.00","2426.70",,"Change Of Sharer Clause 

1. Katherine McCowage and Amber Dacres shall cease to be Tenants of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Lucy Hackett and Ella Fleming will become Tenants of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Lucy Hackett and Ella Fleming shall reimburse Katherine McCowage and Amber Dacres the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Lucy Hackett and Ella Fleming shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy from 15/05/2021.


Pet Clause
Further to Clause E39 the Landlord agrees solely for the purpose of this Tenancy that the 
Tenant may keep 1 Dog on the Property provided that 
(i) the Tenant shall pay for any damage caused by such animal to the Property or Contents 
or to the garden at the Property or to any neighbouring garden or property 
(ii) the Tenant shall pay to the Landlord the cost of replacing any carpet rug fabric or other 
item in the Property with one of similar quality that such animal shall soil or damage 
(iii) the Tenant shall indemnify the Landlord against any related infestation damage and 
treatment caused to the Property or Contents by such animal which may become evident 
during or up to two months after the termination of the Tenancy
(iv) it is agreed that such consent may be withdrawn by the Landlord during the course of 
the Tenancy in the event of unreasonable or excessive damage being caused to the 
Property",,,
"8004J000000BeiTQAS","800Pv00000G517wIAB","0064J00000EkcBTQAZ",,"0014J00000YDjzcQAD","012Pv0000021hzSIAQ","a1G4J0000025zHdUAI","Draft","Ended","2021-07-22","2022-01-21","0054J000004vXOqQAM","AST","AST",,,"4.00","1025.00","2 at 4 to expire at 6",,,,,,"0064J00000EkcBTQAZ","[Quote]","a1G4J0000025zHdUAI","Closed Won","2021-07-22","New","AST","2021-05-18 15:45:47",,"a1G4J0000025zHdUAI","0064J00000EkcBTQAZ","222630049003","Closed Won","222630049003","0018d000006YJNjAAO","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zHdUAI","2024-01-22","2025-01-21","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"6.00","1025.00",,,,,
"8004J000000BennQAC","800Pv00000GEz8RIAT","0064J00000DuLQqQAN",,"0014J00000YC7D9QAL","012Pv0000021hzSIAQ","a1G4J0000025y38UAA","Draft","Ended","2021-06-05","2022-06-04","0054J000004vXOaQAM","AST","AST",,,"4.00","895.00","2 at 10 to expire at 12",,"The landlord agrees that the tenant shall have £74.58 deducted from the rent each month, for 12 months. £64.64 will be deducted from the initial monies owed for the period 05/06/2021 - 30/06/2021. £74.58 will be deducted each month from July 2021 to May 2022. A final amount of £9.94 will be deducted for the period 01/06/2022 - 04/06/2022. This overrides the payment schedule on the final pages of this agreement.",,,,"0064J00000DuLQqQAN","[Quote]","a1G4J0000025y38UAA","Closed Won","2021-06-05","New","AST","2021-05-13 12:09:14",,"a1G4J0000025y38UAA","0064J00000DuLQqQAN","222521013007","Closed Won","222521013007","0014J00000ZRsL2QAL","Renewal 2 month","012Pv0000027hGnIAI","a1G4J0000025y38UAA","2024-06-05","2025-06-04","Draft","AST","AST","1","0058d0000034SvqAAE","AST",,,"4.00","895.00",,"The landlord agrees that the tenant shall have £74.58 deducted from the rent each month, for 12 months. £64.64 will be deducted from the initial monies owed for the period 05/06/2021 - 30/06/2021. £74.58 will be deducted each month from July 2021 to May 2022. A final amount of £9.94 will be deducted for the period 01/06/2022 - 04/06/2022. This overrides the payment schedule on the final pages of this agreement.",,,
"8004J000000Bf3lQAC","800Pv00000GF23zIAD","0064J00000EmBo6QAF",,"0014J00000VvTIIQA3","012Pv0000021hzSIAQ","a1G4J0000025xK8UAI","Draft","Draft","2157-12-01","2158-05-31","0054J000004vXOiQAM","AST",,,,"3.00","0.00","2 at 4 to expire at 6",,,,,,"0064J00000EmBo6QAF","[Quote]","a1G4J0000025xK8UAI","Closed Won","2021-07-01","Renewal","AST","2021-06-01 10:41:37",,"a1G4J0000025xK8UAI","0064J00000EmBo6QAF","127057152001","Closed Won","127057152001","0014J00000VvSHWQA3","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025xK8UAI","2007-12-04","2157-11-30","Draft","AST","Grnd Rent","1","0054J000004vXOiQAM",,,,"3.00","0.00",,"Miss Shannon Weekes must pay their rent share for the full 6 months of this Agreement in one sum of £2,610 payable in advance on the signing of this Agreement. At the end of this tenancy, should the tenant seek a New Agreement and should the Landlord agree to this, the tenant agrees to pay for further referencing to determine whether they can pay monthly in advance for the new term whether as a result of the referencing the Landlord shall require them to pay in advance for whole term. In either case the tenant undertakes to comply with the Landlord or his agents` instructions with regard payment and to make such payment promptly and inline with the provisions of this Agreement.

It is also agreed Mr Jacob Merriman and Mr Declan Manning must pay their rent share of £415 each on the first day of every month (to cover the month ahead) for the term of the tenancy.",,,
"8004J000000Bf3qQAC","800Pv00000GF23zIAD","0064J00000EmBo6QAF",,"0014J00000VvTIIQA3","012Pv0000021hzSIAQ","a1G4J0000025xK8UAI","Draft","Draft","2021-07-01","2021-12-31","0054J000004vXOiQAM","AST",,,,"3.00","0.00","2 at 4 to expire at 6",,,,,,"0064J00000EmBo6QAF","[Quote]","a1G4J0000025xK8UAI","Closed Won","2021-07-01","Renewal","AST","2021-06-01 10:41:37",,"a1G4J0000025xK8UAI","0064J00000EmBo6QAF","127057152001","Closed Won","127057152001","0014J00000VvSHWQA3","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025xK8UAI","2007-12-04","2157-11-30","Draft","AST","Grnd Rent","1","0054J000004vXOiQAM",,,,"3.00","0.00",,"Miss Shannon Weekes must pay their rent share for the full 6 months of this Agreement in one sum of £2,610 payable in advance on the signing of this Agreement. At the end of this tenancy, should the tenant seek a New Agreement and should the Landlord agree to this, the tenant agrees to pay for further referencing to determine whether they can pay monthly in advance for the new term whether as a result of the referencing the Landlord shall require them to pay in advance for whole term. In either case the tenant undertakes to comply with the Landlord or his agents` instructions with regard payment and to make such payment promptly and inline with the provisions of this Agreement.

It is also agreed Mr Jacob Merriman and Mr Declan Manning must pay their rent share of £415 each on the first day of every month (to cover the month ahead) for the term of the tenancy.",,,
"8004J000000Bf3vQAC","800Pv00000GF23zIAD","0064J00000EmBo6QAF",,"0014J00000VvTIIQA3","012Pv0000021hzSIAQ","a1G4J0000025xK8UAI","Activated","Activated","2021-07-01","2021-12-31","0054J000004vXOiQAM","AST","AST",,,"3.00","0.00","2 at 4 to expire at 6",,"Miss Shannon Weekes must pay their rent share for the full 6 months of this Agreement in one sum of £2,610 payable in advance on the signing of this Agreement. At the end of this tenancy, should the tenant seek a New Agreement and should the Landlord agree to this, the tenant agrees to pay for further referencing to determine whether they can pay monthly in advance for the new term whether as a result of the referencing the Landlord shall require them to pay in advance for whole term. In either case the tenant undertakes to comply with the Landlord or his agents` instructions with regard payment and to make such payment promptly and inline with the provisions of this Agreement.

It is also agreed Mr Jacob Merriman and Mr Declan Manning must pay their rent share of £415 each on the first day of every month (to cover the month ahead) for the term of the tenancy.",,,,"0064J00000EmBo6QAF","[Quote]","a1G4J0000025xK8UAI","Closed Won","2021-07-01","Renewal","AST","2021-06-01 10:41:37",,"a1G4J0000025xK8UAI","0064J00000EmBo6QAF","127057152001","Closed Won","127057152001","0014J00000VvSHWQA3","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025xK8UAI","2007-12-04","2157-11-30","Draft","AST","Grnd Rent","1","0054J000004vXOiQAM",,,,"3.00","0.00",,"Miss Shannon Weekes must pay their rent share for the full 6 months of this Agreement in one sum of £2,610 payable in advance on the signing of this Agreement. At the end of this tenancy, should the tenant seek a New Agreement and should the Landlord agree to this, the tenant agrees to pay for further referencing to determine whether they can pay monthly in advance for the new term whether as a result of the referencing the Landlord shall require them to pay in advance for whole term. In either case the tenant undertakes to comply with the Landlord or his agents` instructions with regard payment and to make such payment promptly and inline with the provisions of this Agreement.

It is also agreed Mr Jacob Merriman and Mr Declan Manning must pay their rent share of £415 each on the first day of every month (to cover the month ahead) for the term of the tenancy.",,,
"8004J000000BfsdQAC","800Pv00000Fzt8sIAB","0064J00000EnY4tQAF",,"0014J00000VvUfOQAV","012Pv0000021hzSIAQ","a1G4J0000025zOKUAY","Draft","Draft","2021-07-01","2021-08-31","0054J000004vXOnQAM","Live Work","Live Work Agreement",,,"4.00","3550.00","Live Work","Water re-charge Clause","Change Of Sharer Clause 

1. Carole Boletti and Stephanie Brown shall cease to be Tenants of the above property and shall have no claim on the deposit monies held as detailed in Clause 1.6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Matt Bridges and Ségoléne Guyot shall become Tenants of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Lease.
3. Matt Bridges and Ségoléne Guyot shall reimburse Carole Boletti and Stephanie Brown the proportion of the deposit monies detailed in Clause 1.6 of the above Lease, paid by them, less any agreed offset for damage which may have occurred during the period from the original commencement of the Lease to the commencement of this Lease. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Matt Bridges and Ségoléne Guyot shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 13.09.2019.",,,,"0064J00000EnY4tQAF","[Quote]","a1G4J0000025zOKUAY","Closed Won","2021-07-01","Renewal","Live Work","2021-06-15 11:24:46",,"a1G4J0000025zOKUAY","0064J00000EnY4tQAF","418577034003","Closed Won","418577034003","0018d00000aG1E2AAK","Live Work","012Pv0000027hGnIAI","a1G4J0000025zOKUAY","2022-11-13","2024-11-12","Draft","Live Work","Live Work","1","0054J000004vXOiQAM","Live Work Agreement;Simple Declaration",,,"6.00","3550.00","Water re-charge Clause","Change Of Sharer Clause 

1. Lea Riccetti shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause 1.6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Kim Mcconville shall become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Lease.
3. Kim Mcconville shall reimburse Lea Riccetti the proportion of the deposit monies detailed in Clause 1.6 of the above Lease, paid by them, less any agreed offset for damage which may have occurred during the period from the original commencement of the Lease to the commencement of this Lease. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Kim Mcconville shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy.",,,
"8004J000000BfsnQAC","800Pv00000G563nIAB","0064J00000EnYI2QAN",,"0014J00000VvTDXQA3","012Pv0000021hzSIAQ","a1G4J0000025yGvUAI","Draft","Ended","2021-05-01","2021-09-30","0054J000004vXOnQAM","AST","AST",,,"4.00","920.00","2 at 4 to expire at 6",,"Change Of Sharer Clause 

1. George Ward shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Calvin Crooks shall become sole Tenant of the above property and shall assume responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Calvin Crooks shall reimburse George Ward the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Calvin Crooks shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 06.09.2017.",,,,"0064J00000EnYI2QAN","[Quote]","a1G4J0000025yGvUAI","Closed Won","2021-05-01","Renewal","AST","2021-06-15 12:19:02",,"a1G4J0000025yGvUAI","0064J00000EnYI2QAN","222520043002","Closed Won","222520043002","001Nz000004FaiVIAS","Renewal 2 month","012Pv0000027hGnIAI","a1G4J0000025yGvUAI","2023-12-03","2024-12-02","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"6.00","920.00",,"Change Of Sharer Clause 

1. Amy Selwood shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Zena Igbe will become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Zena Igbe shall reimburse Amy Selwood the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Zena Igbe shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy from 03/12/2021.",,,
