"parent_reference","salesforce_unit_id","cnt"
"112428001001","a1G4J0000025vpFUAQ","2"
"111815001001","a1G4J0000025vjGUAQ","2"
"217371112007","a1G4J0000025yJXUAY","2"
"222606013002","a1G4J0000025y5TUAQ","2"
"222584009003","a1G4J0000025xxkUAA","3"
"222659104002","a1G4J0000025ySCUAY","2"
"217117012002","a1G4J0000025wp7UAA","2"
"108988001001","a1G4J0000025uMHUAY","2"
"317666004003","a1G4J0000025ye0UAA","3"
"217371108007","a1G4J0000025xT3UAI","3"
"317696001001","a1G4J0000025yGZUAY","2"
"217371036007","a1G4J0000025yGyUAI","2"
"222578072004","a1G4J0000025yctUAA","2"
"112255001004","a1G4J0000025vKiUAI","2"
"127384001001","a1G4J0000025xPGUAY","2"
"104174031005","a1G4J00000261RPUAY","2"
"111109001001","a1G4J0000025vYSUAY","2"
"104152039003","a1G4J0000025tasUAA","2"
"113702001002","a1G4J0000025vbYUAQ","2"
"222683061002","a1G8d0000004XfpEAE","3"
"109989121001","a1G4J0000025vCmUAI","2"
"418593004004","a1G4J0000025xiHUAQ","2"
"114084002003","a1G4J0000025vhLUAQ","2"
"317680007012","a1G4J0000025ya8UAA","2"
"111867112002","a1G4J00000261uHUAQ","2"
"222683141002","a1G8d0000004XjJEAU","2"
"115462002001","a1G4J0000025wXpUAI","2"
"222648198002","a1G4J0000025yibUAA","2"
"122486003005","a1G4J0000025x0SUAQ","2"
"122169001003","a1G4J0000025wr1UAA","2"
"103958001003","a1G4J0000025thWUAQ","2"
"222580115001","a1G4J0000025yeaUAA","3"
"317352047003","a1G4J0000025z5gUAA","2"
"115609001004","a1G4J0000025wcGUAQ","2"
"113583002004","a1G4J0000025vFxUAI","2"
"222522061004","a1G4J0000025y9gUAA","2"
"112623001003","a1G4J0000025vuOUAQ","2"
"222737177001","a1G8d000002QBhxEAG","2"
"222579024004","a1G4J0000025zBrUAI","2"
"107694001001","a1G4J0000025upNUAQ","2"
"222708033002","a1G8d0000005rRCEAY","2"
"222677096003","a1G8d0000004DFkEAM","3"
"222677069005","a1G8d0000004DIJEA2","2"
"122575001003","a1G4J0000025wxGUAQ","2"
"127621001001","a1G4J000004jubmUAA","2"
"222639084001","a1G4J0000025z25UAA","2"
"222648153004","a1G4J0000025yQkUAI","2"
"127662008002","a1G8d0000004VDGEA2","2"
"317677007007","a1G4J0000025yXzUAI","3"
"115723001003","a1G4J0000025wUmUAI","2"
"114642002004","a1G4J0000025wJ9UAI","2"
"222579137003","a1G4J0000025ykEUAQ","2"
"110542001002","a1G4J0000025vItUAI","2"
"111199001002","a1G4J0000025vaPUAQ","2"
"127223001001","a1G4J0000025x2VUAQ","2"
"222758220001","a1GNz000000161lMAA","3"
"216399004001","a1G4J0000025wbjUAA","2"
"222630015001","a1G4J0000025zHMUAY","2"
"112413001002","a1G4J0000025vdUUAQ","2"
"122528018009","a1G4J0000025we5UAA","2"
"222799034002","a1GNz000002tEu1MAE","2"
"317629008002","a1G4J000002630FUAQ","2"
"222664097003","a1G4J000004juy3UAA","2"
"127752001001","a1G8d0000007fypEAA","2"
"122506156001","a1G4J0000025x2rUAA","2"
"115823013002","a1G4J00000262bUUAQ","2"
"112553001001","a1G4J0000025vBCUAY","2"
"222737187001","a1G8d000002QBj5EAG","2"
"222752079004","a1GNz0000000yKLMAY","2"
"222487017006","a1G4J0000025xvLUAQ","2"
"222666055004","a1G4J000004jyi3UAA","2"
"418546011003","a1G4J0000025zPMUAY","3"
"104683001001","a1G4J0000025uG9UAI","2"
"222659050002","a1G4J0000025y9UUAQ","2"
"222521015006","a1G4J0000025xzrUAA","2"
"900002153003","a1G4J0000025zjYUAQ","2"
"222648182003","a1G4J0000025yRJUAY","2"
"111868077004","a1G4J000002620OUAQ","2"
"222611007004","a1G4J0000025y4CUAQ","2"
"122528016006","a1G4J0000025wwIUAQ","2"
"900002052001","a1G4J0000025xf0UAA","3"
"127057068002","a1G4J0000025wskUAA","2"
"122562001005","a1G4J0000025wyHUAQ","2"
"111836001002","a1G4J0000025vTCUAY","2"
"122506011001","a1G4J0000025x1gUAA","2"
"115489001003","a1G4J0000025wJRUAY","2"
"222639033002","a1G4J0000025zBAUAY","2"
"115505001002","a1G4J0000025wMKUAY","2"
"114185002002","a1G4J0000025wEYUAY","3"
"127483068001","a1G4J0000025xPaUAI","3"
"222488061003","a1G4J0000025xtkUAA","2"
"104723002002","a1G4J00000261eXUAQ","2"
"127591001001","a1G4J0000025xO3UAI","2"
"112503002002","a1G4J0000025vkaUAA","2"
"105838001001","a1G8d0000004dxZEAQ","4"
"110030007002","a1G4J0000025ukvUAA","2"
"222630075004","a1G4J0000025z4nUAA","2"
"317630005010","a1G4J00000262zMUAQ","2"
"115440002004","a1G4J0000025vCkUAI","2"
"222666114004","a1G4J000004jyp9UAA","2"
"111867139002","a1G4J000002625sUAA","2"
"222630162005","a1G4J0000025z7yUAA","2"
"127421001001","a1G4J0000025xR7UAI","2"
"122586007008","a1G4J0000025wztUAA","2"
"122506023001","a1G4J0000025wukUAA","2"
"418613002002","a1G4J0000025zmaUAA","2"
"418565001001","a1G4J0000025zx2UAA","2"
"104460002005","a1G4J0000025uIiUAI","2"
"222639075005","a1G4J0000025zH3UAI","2"
"104285001001","a1G4J0000025tghUAA","2"
"114341001002","a1G4J0000025wBfUAI","2"
"103448003001","a1G4J0000025tjOUAQ","2"
"222580024003","a1G4J0000025yj4UAA","2"
"222741008001","a1G8d000002Q2YsEAK","4"
"222700003001","a1G8d0000004qcPEAQ","2"
"222579055003","a1G4J0000025z9CUAQ","2"
"222630232004","a1G4J0000025zUAUAY","2"
"222579116003","a1G4J0000025z9DUAQ","2"
"222579149002","a1G4J0000025zECUAY","2"
"418576010003","a1G4J0000025zr5UAA","2"
"222686076002","a1G8d0000004c4xEAA","2"
"216619001001","a1G4J0000025xQKUAY","2"
"107722006002","a1G4J0000025uNHUAY","2"
"112352001005","a1G4J0000025vozUAA","2"
"222578107004","a1G4J0000025z0aUAA","2"
"222749158002","a1GNz0000000dNyMAI","3"
"222758060001","a1GNz00000011wXMAQ","3"
