contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
0034J00000a4XXLQA2,103065001001,2 Tenant,1973-08-13,,103065001001_0034J00000a4XXLQA2
0034J00000a4YvsQAE,103066001001,2 Tenant,1976-09-18,,103066001001_0034J00000a4YvsQAE
0034J00000a4YrDQAU,103070001001,2 Tenant,1968-05-01,,103070001001_0034J00000a4YrDQAU
0034J00000a4YxAQAU,103071001001,6 Successor (Regulated),1967-01-01,,103071001001_0034J00000a4YxAQAU
0034J00000a4Yx5QAE,103078001001,2 Tenant,1977-01-01,,103078001001_0034J00000a4Yx5QAE
0034J00000a4YxKQAU,103082001001,6 Successor (Regulated),1976-12-25,,103082001001_0034J00000a4YxKQAU
0034J00000a4YxPQAU,103082002001,2 Tenant,1976-03-25,,103082002001_0034J00000a4YxPQAU
0034J00000a4Z5dQAE,103086001001,2 Tenant,1977-10-24,,103086001001_0034J00000a4Z5dQAE
0038d000004Xi5XAAS,103086001001,3 Guarantor,1977-10-24,,103086001001_0038d000004Xi5XAAS
0034J00000a4Z42QAE,103086002002,1 Lead Tenant,2012-01-01,,103086002002_0034J00000a4Z42QAE
0034J00000a4Z47QAE,103086003002,5 Relevant Person,2015-01-26,,103086003002_0034J00000a4Z47QAE
0034J00000a4Z4uQAE,103086004001,5 Relevant Person,2012-01-01,,103086004001_0034J00000a4Z4uQAE
0034J00000a4Z4GQAU,103086005002,5 Relevant Person,2012-12-20,,103086005002_0034J00000a4Z4GQAU
003Nz00000DCCm0IAH,103086006001,5 Relevant Person,,,103086006001_003Nz00000DCCm0IAH
0034J00000a4Z5nQAE,103086006001,2 Tenant,1970-02-05,,103086006001_0034J00000a4Z5nQAE
0034J00000a4YurQAE,103086007001,5 Relevant Person,2012-03-26,,103086007001_0034J00000a4YurQAE
0034J00000a4YZaQAM,103086009002,5 Relevant Person,2013-03-26,,103086009002_0034J00000a4YZaQAM
0034J00000a4Z4zQAE,103086010002,5 Relevant Person,2013-03-28,,103086010002_0034J00000a4Z4zQAE
0034J00000a4Z7AQAU,103086011001,5 Relevant Person,2013-04-05,,103086011001_0034J00000a4Z7AQAU
0034J00000a4YsJQAU,103086011001,5 Relevant Person,2013-04-05,,103086011001_0034J00000a4YsJQAU
003Nz00000AoskDIAR,103086013003,5 Relevant Person,2024-02-01,,103086013003_003Nz00000AoskDIAR
0034J00000a4Yi7QAE,103086014001,2 Tenant,1979-12-14,,103086014001_0034J00000a4Yi7QAE
003Nz00000DRAobIAH,103086014001,5 Relevant Person,,,103086014001_003Nz00000DRAobIAH
0038d00000767sEAAQ,103086016001,2 Tenant,2021-03-05,,103086016001_0038d00000767sEAAQ
0034J00000a4Yy4QAE,103086019001,5 Relevant Person,2013-06-24,,103086019001_0034J00000a4Yy4QAE
0034J00000a4Z5oQAE,103086019001,5 Relevant Person,2013-06-24,,103086019001_0034J00000a4Z5oQAE
0034J00000a4Z47QAE,103086020002,5 Relevant Person,2015-01-26,,103086020002_0034J00000a4Z47QAE
0034J00000a4YZaQAM,103086021001,5 Relevant Person,2013-03-14,,103086021001_0034J00000a4YZaQAM
003Nz00000AoskDIAR,103086022002,5 Relevant Person,2024-02-01,,103086022002_003Nz00000AoskDIAR
0034J00000a4YqFQAU,103086023001,5 Relevant Person,2013-03-26,,103086023001_0034J00000a4YqFQAU
0034J00000a4Z4zQAE,103086024001,5 Relevant Person,2013-03-28,,103086024001_0034J00000a4Z4zQAE
0034J00000a4Z7AQAU,103086025001,5 Relevant Person,2013-04-05,,103086025001_0034J00000a4Z7AQAU
0034J00000a4YsJQAU,103086025001,5 Relevant Person,2013-04-05,,103086025001_0034J00000a4YsJQAU
0038d00000767qIAAQ,103087001005,2 Tenant,2021-07-15,,103087001005_0038d00000767qIAAQ
0038d00000767qNAAQ,103087001005,2 Tenant,2021-07-15,,103087001005_0038d00000767qNAAQ
0034J00000a4YxFQAU,103087002001,6 Successor (Regulated),1966-01-01,,103087002001_0034J00000a4YxFQAU
0034J00000a4YufQAE,103088001001,5 Relevant Person,1979-12-25,,103088001001_0034J00000a4YufQAE
003Nz000001e47ZIAQ,103088002002,2 Tenant,2023-08-25,,103088002002_003Nz000001e47ZIAQ
003Nz000001e49BIAQ,103088002002,5 Relevant Person,2023-08-25,,103088002002_003Nz000001e49BIAQ
0034J00000a4YxjQAE,103091002001,2 Tenant,1974-01-01,,103091002001_0034J00000a4YxjQAE
