Id,CreatedDate,Status,ContractID,OpportunityId,Opportunity_StageName,Opportunity_TenancyId,Opportunity_Tenancy_status
a0sNz0000001XunIAE,2023-08-11T13:51:57.000+0000,Signed,800Nz000001kT0AIAU,006Nz000001MLy5IAG,Closed Won,,
a0sNz000000RjdlIAC,2024-01-17T09:29:19.000+0000,Signed,800Nz000007NCMDIA4,006Nz000006qBC4IAM,Closed Won,,
a0sNz000000WG4rIAG,2024-02-06T11:29:36.000+0000,Signed,800Nz000008EKjwIAG,006Nz000007aanKIAQ,Closed Won,,
a0sNz000000WY6bIAG,2024-02-07T10:42:04.000+0000,Signed,800Nz000008HDfbIAG,006Nz000007gcw9IAA,Closed Won,,
a0sNz000000WedRIAS,2024-02-07T15:31:57.000+0000,Signed,800Nz000008IaMzIAK,006Nz000007eERdIAM,Closed Won,,
a0sNz000000XBBBIA4,2024-02-09T12:17:44.000+0000,Signed,800Nz000008O2YlIAK,006Nz000007e2IRIAY,Closed Won,,
a0sNz000000XHN3IAO,2024-02-09T16:34:07.000+0000,Signed,800Nz000008OmbiIAC,006Nz000007dLaBIAU,Closed Won,,
a0sNz000000XssrIAC,2024-02-13T10:56:51.000+0000,Signed,800Nz000008Y16mIAC,006Nz000007mz3gIAA,Closed Won,,
a0sNz000000XtlhIAC,2024-02-13T11:21:24.000+0000,Signed,800Nz000008Y4L9IAK,006Nz000007k913IAA,Closed Won,,
a0sNz000000Xu9tIAC,2024-02-13T11:41:50.000+0000,Expired,800Nz000008Y0PKIA0,006Nz000007dcSrIAI,Closed Won,,
a0sNz000000XuhlIAC,2024-02-13T11:58:03.000+0000,Signed,800Nz000008YMhsIAG,006Nz000007hxP0IAI,Closed Won,,
a0sNz000000Xxm5IAC,2024-02-13T13:27:42.000+0000,Signed,800Nz000008Yg6fIAC,006Nz000007nbKCIAY,Closed Won,,
a0sNz000000Xy73IAC,2024-02-13T13:58:58.000+0000,Signed,800Nz000008YhxCIAS,006Nz000007k262IAA,Closed Won,,
a0sNz000000Y9QfIAK,2024-02-14T09:28:01.000+0000,Signed,800Nz000008akEPIAY,006Nz000007bBN5IAM,Closed Won,,
a0sNz000000YCBeIAO,2024-02-14T11:17:10.000+0000,Signed,800Nz000008bGcNIAU,006Nz000007bgYzIAI,Closed Won,,
a0sNz000000YCRlIAO,2024-02-14T10:42:44.000+0000,Signed,800Nz000008bAzuIAE,006Nz000007hsKUIAY,Closed Won,,
a0sNz000000YIaPIAW,2024-02-14T14:59:06.000+0000,Signed,800Nz000008bsvYIAQ,006Nz000007ho2OIAQ,Closed Won,,
a0sNz000000YPNNIA4,2024-02-15T09:02:16.000+0000,Signed,800Nz000008dZzCIAU,006Nz0000080Df2IAE,Closed Won,,
a0sNz000000YPjxIAG,2024-02-15T09:11:07.000+0000,Signed,800Nz000008dhzrIAA,006Nz000007bFX7IAM,Closed Won,,
a0sNz000000YRKLIA4,2024-02-15T09:42:46.000+0000,Signed,800Nz000008dsolIAA,006Nz000007bMtaIAE,Closed Won,,
a0sNz000000YTyrIAG,2024-02-15T11:29:10.000+0000,Signed,800Nz000008duxBIAQ,006Nz000007sikpIAA,Closed Won,,
a0sNz000000YVCfIAO,2024-02-15T12:23:36.000+0000,Signed,800Nz000008eFwgIAE,006Nz0000076UqfIAE,Closed Won,,
a0sNz000000YWFBIA4,2024-02-15T12:49:27.000+0000,Signed,800Nz000008eLiiIAE,006Nz000007VGqsIAG,Closed Won,,
a0sNz000000YWtVIAW,2024-02-15T13:14:15.000+0000,Pre-Send,800Nz000008ePkmIAE,006Nz000007x9srIAA,Closed Won,,
a0sNz000000YWwjIAG,2024-02-15T13:19:14.000+0000,Signed,800Nz000008ePkmIAE,006Nz000007x9srIAA,Closed Won,,
a0sNz000000YY8vIAG,2024-02-15T14:30:45.000+0000,Signed,800Nz000008ebHEIAY,006Nz000007VUQtIAO,Closed Won,,
a0sNz000000YYleIAG,2024-02-15T16:38:06.000+0000,Signed,800Nz000008eqzTIAQ,006Nz000007uL7NIAU,Closed Won,,
a0sNz000000YeCjIAK,2024-02-16T08:56:07.000+0000,Pre-Send,800Nz000008gWLXIA2,006Nz000007suqnIAA,Closed Won,,
a0sNz000000YeHZIA0,2024-02-16T08:58:58.000+0000,Signed,800Nz000008gWLXIA2,006Nz000007suqnIAA,Closed Won,,
a0sNz000000YfYbIAK,2024-02-16T10:41:08.000+0000,Signed,800Nz000008ggknIAA,006Nz0000076HQMIA2,Closed Won,,
a0sNz000000Yg9hIAC,2024-02-16T10:54:28.000+0000,Signed,800Nz000008h2d3IAA,006Nz000007bL9cIAE,Closed Won,,
a0sNz000000YjYzIAK,2024-02-16T14:11:51.000+0000,Signed,800Nz000008hTYWIA2,006Nz000007wXxFIAU,Closed Won,,
a0sNz000000Ym3pIAC,2024-02-16T16:03:47.000+0000,Signed,800Nz000008hrUOIAY,006Nz000007wYlGIAU,Closed Won,,
a0sNz000000Z1dxIAC,2024-02-19T09:14:17.000+0000,Draft,800Nz000008Xrp7IAC,006Nz000007vzUCIAY,Closed Won,,
a0sNz000000Z1inIAC,2024-02-19T09:19:35.000+0000,Signed,800Nz000008Xrp7IAC,006Nz000007vzUCIAY,Closed Won,,
a0sNz000000Z4ojIAC,2024-02-19T11:02:15.000+0000,Signed,800Nz000008mx4QIAQ,006Nz000007tXgrIAE,Closed Won,,
a0sNz000000Z4rxIAC,2024-02-19T11:04:47.000+0000,Signed,800Nz000008mvx8IAA,006Nz000007zKM0IAM,Closed Won,,
a0sNz000000Z7UrIAK,2024-02-19T12:53:01.000+0000,Signed,800Nz000008n90nIAA,006Nz000007tOFOIA2,Closed Won,,
a0sNz000000Z82jIAC,2024-02-19T13:01:09.000+0000,Expired,800Nz000008nHxcIAE,006Nz000007nKZUIA2,Closed Won,,
a0sNz000000ZAu9IAG,2024-02-19T15:24:02.000+0000,Signed,800Nz000008ncvcIAA,006Nz000007swe6IAA,Closed Won,,
a0sNz000000ZBNBIA4,2024-02-19T15:36:32.000+0000,Signed,800Nz000008ngmJIAQ,006Nz000007WLF2IAO,Closed Won,,
a0sNz000000ZBTdIAO,2024-02-19T15:39:30.000+0000,Signed,800Nz000008nbmgIAA,006Nz000007jgAPIAY,Closed Won,,
a0sNz000000ZBobIAG,2024-02-19T15:54:21.000+0000,Signed,800Nz000008nkvYIAQ,006Nz000007aBXFIA2,Closed Won,,
a0sNz000000ZCfpIAG,2024-02-19T16:24:19.000+0000,Signed,800Nz000008nbV1IAI,006Nz000007w2gYIAQ,Closed Won,,
a0sNz000000ZHIwIAO,2024-02-20T09:09:47.000+0000,Signed,800Nz000008pfqvIAA,006Nz00000804S2IAI,Closed Won,,
a0sNz000000ZJxRIAW,2024-02-20T09:07:57.000+0000,Signed,800Nz000008pf9NIAQ,006Nz000007eSMcIAM,Closed Won,,
a0sNz000000ZLuPIAW,2024-02-20T09:49:51.000+0000,Signed,800Nz000008prH2IAI,006Nz000008AieKIAS,Closed Won,,
a0sNz000000ZMorIAG,2024-02-20T10:16:35.000+0000,Signed,800Nz000008pvKiIAI,006Nz000007djZGIAY,Closed Won,,
a0sNz000000ZONdIAO,2024-02-20T10:59:40.000+0000,Signed,800Nz000008pytjIAA,006Nz000007kjZFIAY,Closed Won,,
a0sNz000000ZOfNIAW,2024-02-20T11:03:52.000+0000,Signed,800Nz000008px06IAA,006Nz000007eUZfIAM,Closed Won,,
a0sNz000000ZPhtIAG,2024-02-20T11:32:11.000+0000,Cancelled / Declined,800Nz000008q5nAIAQ,006Nz000007aoLhIAI,Closed Won,,
a0sNz000000ZPl7IAG,2024-02-20T11:32:58.000+0000,Signed,800Nz000008q8xsIAA,006Nz00000857U5IAI,Closed Won,,
a0sNz000000ZQ2sIAG,2024-02-20T11:47:29.000+0000,Signed,800Nz000008q5qSIAQ,006Nz000008CH5ZIAW,Closed Won,,
a0sNz000000ZSsfIAG,2024-02-20T14:03:13.000+0000,Signed,800Nz000008qQrgIAE,006Nz000007i2N3IAI,Closed Won,,
a0sNz000000ZcyTIAS,2024-02-21T09:19:44.000+0000,Signed,800Nz000008qPU4IAM,006Nz000007kBu6IAE,Closed Won,,
a0sNz000000ZdJRIA0,2024-02-21T09:35:07.000+0000,Signed,800Nz000008sjWeIAI,006Nz0000080AeaIAE,Closed Won,,
a0sNz000000ZihJIAS,2024-02-21T13:53:04.000+0000,Signed,800Nz000008tbgnIAA,006Nz00000802rdIAA,Closed Won,,
a0sNz000000ZjK1IAK,2024-02-21T14:49:07.000+0000,Signed,800Nz000008tcwEIAQ,006Nz000007t4LWIAY,Closed Won,,
a0sNz000000ZkCrIAK,2024-02-21T15:19:55.000+0000,Signed,800Nz000008tlJdIAI,006Nz0000089UgnIAE,Closed Won,,
a0sNz000000ZpkPIAS,2024-02-22T09:23:58.000+0000,Signed,800Nz000008Y0PKIA0,006Nz000007dcSrIAI,Closed Won,,
a0sNz000000ZpndIAC,2024-02-22T09:29:53.000+0000,Signed,800Nz000008vIf6IAE,006Nz000008D1jKIAS,Closed Won,,
a0sNz000000Zqa1IAC,2024-02-22T09:53:42.000+0000,Expired,800Nz000008vT5cIAE,006Nz000008CHbcIAG,Closed Won,,
a0sNz000000ZqyDIAS,2024-02-22T10:00:31.000+0000,Signed,800Nz000008vUrEIAU,006Nz000008AiftIAC,Closed Won,,
a0sNz000000ZrJBIA0,2024-02-22T10:29:31.000+0000,Signed,800Nz000008vaLiIAI,006Nz000008FyiRIAS,Closed Won,,
a0sNz000000ZrSsIAK,2024-02-22T13:18:18.000+0000,Cancelled / Declined,800Nz000008w6lTIAQ,006Nz000007bcX1IAI,Closed Won,,
a0sNz000000ZrnpIAC,2024-02-22T11:02:06.000+0000,Cancelled / Declined,800Nz000008vbPoIAI,006Nz000008FKwIIAW,Closed Won,,
a0sNz000000Zs3xIAC,2024-02-22T11:25:49.000+0000,Expired,800Nz000008vtZSIAY,006Nz0000082dVNIAY,Closed Won,,
a0sNz000000ZsITIA0,2024-02-22T11:35:57.000+0000,Signed,800Nz000008vnPQIAY,006Nz0000082kqAIAQ,Closed Won,,
a0sNz000000ZsK5IAK,2024-02-22T11:37:58.000+0000,Signed,800Nz000008vbPoIAI,006Nz000008FKwIIAW,Closed Won,,
a0sNz000000ZsjtIAC,2024-02-22T11:53:39.000+0000,Signed,800Nz000008vwfOIAQ,006Nz0000084bscIAA,Closed Won,,
a0sNz000000ZuqXIAS,2024-02-22T12:54:35.000+0000,Pre-Send,800Nz000008w9UXIAY,006Nz00000808H7IAI,Closed Won,,
a0sNz000000ZuwzIAC,2024-02-22T12:58:03.000+0000,Signed,800Nz000008w9UXIAY,006Nz00000808H7IAI,Closed Won,,
a0sNz000000ZvoDIAS,2024-02-22T13:17:59.000+0000,Expired,800Nz000008vznfIAA,006Nz000008DSt8IAG,Closed Won,,
a0sNz000000ZxDJIA0,2024-02-22T13:49:26.000+0000,Signed,800Nz000008wHS9IAM,006Nz0000084CE7IAM,Closed Won,,
a0sNz000000Zy7lIAC,2024-02-22T14:23:03.000+0000,Draft,800Nz000008wDmoIAE,006Nz000007hZuXIAU,Closed Won,,
a0sNz000000ZyirIAC,2024-02-22T14:38:17.000+0000,Expired,800Nz000008wOa7IAE,006Nz000007mpdmIAA,Closed Won,,
a0sNz000000a0MUIAY,2024-02-22T15:18:52.000+0000,Signed,800Nz000008wRkvIAE,006Nz000007apo0IAA,Closed Won,,
a0sNz000000aGsfIAE,2024-02-23T10:25:32.000+0000,Expired,800Nz000008ygz4IAA,006Nz000007hZuXIAU,Closed Won,,
a0sNz000000aKJZIA2,2024-02-23T11:54:11.000+0000,Signed,800Nz000008ys5rIAA,006Nz000007xbUCIAY,Closed Won,,
a0sNz000000aNKfIAM,2024-02-23T13:56:02.000+0000,Signed,800Nz000008zFwoIAE,006Nz000007nTjEIAU,Closed Won,,
a0sNz000000aOgXIAU,2024-02-23T14:28:08.000+0000,Signed,800Nz000008zJM9IAM,006Nz0000089RyrIAE,Closed Won,,
a0sNz000000aPmHIAU,2024-02-23T15:37:01.000+0000,Expired,800Nz000008zRd6IAE,006Nz000008A4ozIAC,Closed Won,,
a0sNz000000aiQjIAI,2024-02-26T09:50:48.000+0000,Signed,800Nz00000944rDIAQ,006Nz000008FK5HIAW,Closed Won,,
a0sNz000000aiVZIAY,2024-02-26T09:54:45.000+0000,Cancelled / Declined,800Nz0000094RKfIAM,006Nz000008LaqIIAS,Closed Won,,
a0sNz000000aivNIAQ,2024-02-26T10:19:34.000+0000,Cancelled / Declined,800Nz000008wZGxIAM,006Nz000008ILfiIAG,Closed Won,,
a0sNz000000aj3RIAQ,2024-02-26T10:23:19.000+0000,Signed,800Nz0000094GSZIA2,006Nz000007aQCrIAM,Closed Won,,
a0sNz000000ajHxIAI,2024-02-26T10:32:43.000+0000,Signed,800Nz0000094aJBIAY,006Nz000008IQAqIAO,Closed Won,,
a0sNz000000ajbJIAQ,2024-02-26T10:47:19.000+0000,Pre-Send,800Nz0000094ICjIAM,006Nz000007u3GyIAI,Closed Won,,
a0sNz000000ajkzIAA,2024-02-26T10:55:53.000+0000,Signed,800Nz0000094hIxIAI,006Nz000007u3GyIAI,Closed Won,,
a0sNz000000alObIAI,2024-02-26T12:06:07.000+0000,Signed,800Nz0000094idFIAQ,006Nz000007hYX4IAM,Closed Won,,
a0sNz000000alTRIAY,2024-02-26T12:14:48.000+0000,Signed,800Nz0000094vU5IAI,006Nz000008LaqIIAS,Closed Won,,
a0sNz000000alhxIAA,2024-02-26T12:26:02.000+0000,Signed,800Nz0000094x2pIAA,006Nz000008G8UtIAK,Closed Won,,
a0sNz000000almnIAA,2024-02-26T12:29:20.000+0000,Signed,800Nz0000094ttkIAA,006Nz000008ILfiIAG,Closed Won,,
a0sNz000000arAfIAI,2024-02-26T14:39:46.000+0000,Signed,800Nz0000095NQLIA2,006Nz000008DaxCIAS,Closed Won,,
a0sNz000000asjRIAQ,2024-02-26T15:07:11.000+0000,Signed,800Nz000008zRd6IAE,006Nz000008A4ozIAC,Closed Won,,
a0sNz000000asoHIAQ,2024-02-26T15:13:36.000+0000,Cancelled / Declined,800Nz0000095b9sIAA,006Nz000007VrTxIAK,Closed Won,,
a0sNz000000at9FIAQ,2024-02-26T15:33:06.000+0000,Signed,800Nz0000095gPdIAI,006Nz000007bcX1IAI,Closed Won,,
a0sNz000000aumrIAA,2024-02-26T16:39:33.000+0000,Signed,800Nz0000095kWbIAI,006Nz000007ewngIAA,Closed Won,,
a0sNz000000aurhIAA,2024-02-26T16:48:03.000+0000,Signed,800Nz0000095nsbIAA,006Nz000008C7igIAC,Closed Won,,
a0sNz000000b4xWIAQ,2024-02-27T10:59:53.000+0000,Signed,800Nz0000097f7iIAA,006Nz000008QmyyIAC,Closed Won,,
a0sNz000000b5ITIAY,2024-02-27T10:47:09.000+0000,Signed,800Nz0000097gOnIAI,006Nz000008F5HLIA0,Closed Won,,
a0sNz000000b5K5IAI,2024-02-27T10:47:41.000+0000,Cancelled / Declined,800Nz0000097dFfIAI,006Nz000007aoLhIAI,Closed Won,,
a0sNz000000b5QXIAY,2024-02-27T10:58:40.000+0000,Signed,800Nz0000097ZNMIA2,006Nz0000083DdeIAE,Closed Won,,
a0sNz000000b5vBIAQ,2024-02-27T11:05:59.000+0000,Signed,800Nz0000097madIAA,006Nz000008DeftIAC,Closed Won,,
a0sNz000000bALNIA2,2024-02-27T13:32:05.000+0000,Signed,800Nz00000988zSIAQ,006Nz000008Al2fIAC,Closed Won,,
a0sNz000000bBPVIA2,2024-02-27T15:02:24.000+0000,Signed,800Nz0000098OpZIAU,006Nz000007aoLhIAI,Closed Won,,
a0sNz000000bBVxIAM,2024-02-27T15:05:58.000+0000,Expired,800Nz0000098IUCIA2,006Nz000008CWdtIAG,Closed Won,,
a0sNz000000bBsXIAU,2024-02-27T15:11:47.000+0000,Signed,800Nz0000098NYiIAM,006Nz0000089hp8IAA,Closed Won,,
a0sNz000000bBxNIAU,2024-02-27T15:16:26.000+0000,Cancelled / Declined,800Nz0000098PKXIA2,006Nz000007uOzjIAE,Closed Won,,
a0sNz000000bC5RIAU,2024-02-27T15:18:19.000+0000,Signed,800Nz0000098UWrIAM,006Nz000007yUM0IAM,Closed Won,,
a0sNz000000bCqDIAU,2024-02-27T15:34:42.000+0000,Expired,800Nz0000098Zt5IAE,006Nz000007tIRnIAM,Closed Won,,
a0sNz000000bDEPIA2,2024-02-27T15:59:07.000+0000,Signed,800Nz0000098bQGIAY,006Nz000008CgN6IAK,Closed Won,,
a0sNz000000bDMTIA2,2024-02-27T16:04:06.000+0000,Signed,800Nz0000098ZWcIAM,006Nz000008CFQ8IAO,Closed Won,,
a0sNz000000bIKYIA2,2024-02-28T10:07:22.000+0000,Signed,800Nz000009AZ4AIAW,006Nz000008Kn9dIAC,Closed Won,,
a0sNz000000bINmIAM,2024-02-28T09:41:16.000+0000,Signed,800Nz000009ARL7IAO,006Nz000008IrSfIAK,Closed Won,,
a0sNz000000bJ5JIAU,2024-02-28T09:34:16.000+0000,Pre-Send,800Nz0000098Zt5IAE,006Nz000007tIRnIAM,Closed Won,,
a0sNz000000bJ6vIAE,2024-02-28T09:35:16.000+0000,Signed,800Nz000009APj7IAG,006Nz0000089sxSIAQ,Closed Won,,
a0sNz000000bJ8YIAU,2024-02-28T10:05:17.000+0000,Signed,800Nz000009AFdTIAW,006Nz000008CvvaIAC,Closed Won,,
a0sNz000000bJBlIAM,2024-02-28T09:42:15.000+0000,Cancelled / Declined,800Nz0000098Zt5IAE,006Nz000007tIRnIAM,Closed Won,,
