#,"Score, 🔽",Object,Type,Field,Package,Full API Name,Using,Referenced in,Ref. in Layout?,Ref. in Apex Class?,Ref. in Flow?,Referenced in Inactive Flow?,Dependencies,Created date,Modified date,Description
,,,,,,,,,,,,,,,,
1,2,"Building,Building__c",Custom Object,Estate,,Estate,,40,2 Layouts,13 Apex Classes,5 Flows,5 Flows,Dependencies,2020-07-20T15:43:25.000+0000,2023-06-15T09:29:46.000+0000,You should set a description!
2,2,"Unit,Unit__c",Custom Object,Building,,Building,,105,6 Layouts,15 Apex Classes,47 Flows,47 Flows,Dependencies,2020-07-20T15:43:25.000+0000,2020-07-20T15:43:25.000+0000,You should set a description!
3,2,Account,Standard,Previous_Grainger_Tenant,,Previous_Grainger_Tenant,,Not used!,,,,,No dependency,2020-07-20T15:43:26.000+0000,2020-07-20T15:43:26.000+0000,You should set a description!
4,2,Account,Standard,Visa_Situation,,Visa_Situation,,Not used!,,,,,No dependency,2020-07-20T15:43:26.000+0000,2020-07-20T15:43:26.000+0000,You should set a description!
5,2,Activity,,Building_Name,,Building_Name,1,Not used!,,,,,Dependencies,2020-07-20T15:43:26.000+0000,2020-07-20T15:44:02.000+0000,You should set a description!
6,2,Activity,,Contact_Email,,Contact_Email,,3,,,3 Flows,3 Flows,Dependencies,2020-07-20T15:43:27.000+0000,2020-07-20T15:43:27.000+0000,You should set a description!
7,2,Activity,,Custom_Contact_Lookup_Full_Name,,Custom_Contact_Lookup_Full_Name,1,Not used!,,,,,Dependencies,2020-07-20T15:43:27.000+0000,2020-07-20T15:44:02.000+0000,You should set a description!
8,2,Activity,,Custom_Contact,,Custom_Contact,,9,3 Layouts,1 Apex Class,3 Flows,3 Flows,Dependencies,2020-07-20T15:43:27.000+0000,2020-07-20T15:43:27.000+0000,You should set a description!
9,2,Activity,,Custom_Name_ID,,Custom_Name_ID,,Not used!,,,,,No dependency,2020-07-20T15:43:27.000+0000,2020-07-20T15:43:27.000+0000,You should set a description!
10,2,Activity,,Custom_Opportunity_ID,,Custom_Opportunity_ID,,Not used!,,,,,No dependency,2020-07-20T15:43:27.000+0000,2020-07-20T15:43:27.000+0000,You should set a description!
