#,"Score, 🔽",Name,Package,Label,Category,IsProtected,Language,Value,Using,Referenced in,Ref. in Apex Class?,Ref. in Flow?,Referenced in Inactive Flow?,Dependencies
,,,,,,,,,,,,,,
1,1,Landlord_Break_2_10_TO_EXPIRE_AT_12,,Landlord Break - 2 @10 TO EXPIRE AT 12,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
2,1,Landlord_Break_2_6_TO_EXPIRE_8,,Landlord Break - 2 @ 6 TO EXPIRE @ 8,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
3,1,Landlord_Break_2_8_TO_EXPIRE_AT_10,,Landlord Break - 2 @ 8 TO EXPIRE AT 10,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
4,1,Landlord_Break_2_MONTHS_4_MONTHS_TO_EXPIRE_AT_6,,Landlord Break - 2 MONTHS @ 4 MONTHS TO EXPIRE AT 6,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
5,1,Landlord_Break_HALFWAY_ON_AN_18_MONTH,,Landlord Break - HALFWAY ON AN 18 MONTH,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
6,1,Landlord_Break_HALFWAY_ON_A_24_MONTH,,Landlord Break - HALFWAY ON A 24 MONTH,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
7,1,Landlord_Break_HALFWAY_ON_A_36_MONTH,,Landlord Break - HALFWAY ON A 36 MONTH,,,en_US,You agree that we may end the tenancy by giving you written notice. The law requires us to give you ...,,Not used!,,,,No dependency
8,1,SC1,,SC1,,,en_US,"If a Rent in Advance payment is applicable, the charges will be detailed under the Payment schedule ...",,Not used!,,,,No dependency
9,1,SC2,,SC2,,,en_US,"If a Promo Code is applicable, the charges will be detailed under the Payment schedule in Attachment...",,Not used!,,,,No dependency
10,1,SC_Gas_and_Electricity_included_in_Rent,,SC - Gas and Electricity included in Rent,,,en_US,Gas and Electricity included in Rent Utilities The obligations to pay Gas and Electricity as descr...,,Not used!,,,,No dependency
11,1,SC_Live_Work,,SC - Live Work,,,en_US,The parties agree that either party has the right to terminate the Tenancy after the first SIX (6) m...,,Not used!,,,,No dependency
12,1,SC_Right_to_Rent_Occupation,,SC - Right to Rent Occupation,,,en_US,Right to Rent Occupation Clause Not to allow any adult to occupy the Premises unless such person ha...,,Not used!,,,,No dependency
13,1,SC_Shillington_H_S_Clause_One,,SC - Shillington H&S Clause One,,,en_US,Not use locked cupboards in bedrooms The locked cupboard marked with a No Entry sign in one of the ...,,Not used!,,,,No dependency
14,1,SC_Shillington_H_S_Clause_Three,,SC - Shillington H&S Clause Three,,,en_US,Not interfere with the Ventilation Unit and electrical fused spur linked to it The Tenant confirms ...,,Not used!,,,,No dependency
15,1,SC_Shillington_H_S_Clause_Two,,SC - Shillington H&S Clause Two,,,en_US,Deactivation of sprinkler system alarm panel In the event of the sprinkler system activating the Te...,,Not used!,,,,No dependency
16,1,Tenant_Break_2_10_TO_EXPIRE_AT_12,,Tenant Break - 2 @10 TO EXPIRE AT 12,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after ten months fr...,,Not used!,,,,No dependency
17,1,Tenant_Break_2_6_TO_EXPIRE_8,,Tenant Break - 2 @ 6 TO EXPIRE @ 8,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after six months fr...,,Not used!,,,,No dependency
18,1,Tenant_Break_2_8_TO_EXPIRE_AT_10,,Tenant Break - 2 @ 8 TO EXPIRE AT 10,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after eight months ...,,Not used!,,,,No dependency
19,1,Tenant_Break_2_at_4_to_Expire_at_6,,Tenant Break - 2 MONTHS @ 4 MONTHS TO EXPIRE AT 6,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after four months f...,,Not used!,,,,No dependency
20,1,Tenant_Break_HALFWAY_ON_AN_18_MONTH,,Tenant Break - HALFWAY ON AN 18 MONTH,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after seven months ...,,Not used!,,,,No dependency
21,1,Tenant_Break_HALFWAY_ON_A_24_MONTH,,Tenant Break - HALFWAY ON A 24 MONTH,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after ten months fr...,,Not used!,,,,No dependency
22,1,Tenant_Break_HALFWAY_ON_A_36_MONTH,,Tenant Break - HALFWAY ON A 36 MONTH,,,en_US,In order to end the tenancy early you may serve on us written notice at any time after sixteen month...,,Not used!,,,,No dependency
23,1,Water_rates_recharge_special_clause_Clause_One,,Water rates recharge special clause Clause One,,,en_US,"Water Recharge For any property without a separate or individual water meter, you agree to pay such...",,Not used!,,,,No dependency
