#,"Score, 🔽",Name,Package,Developer Name,Folder,Format,Description
,,,,,,,
1,1,Opportunity Pipeline,,Opportunity_Pipeline,Public Reports,Matrix,You should set a description!
2,1,Open Leads By Owner,,Leads_By_Source_Current_Quarter2,Public Reports,Matrix,You should set a description!
3,1,Leads Created by Month,,Leads_By_Source_Current_Quarter3,Public Reports,Matrix,You should set a description!
4,1,Leads By Source This FY,,Leads_By_Source_This_Fiscal_Year,Public Reports,Matrix,You should set a description!
5,1,Leads Converted This FY,,Leads_Converted_This_Fiscal_Year,Public Reports,Matrix,You should set a description!
6,1,Open Opportunities This FY,,Open_Opportunities_This_FY,Public Reports,Matrix,You should set a description!
7,1,Opportunity Pipeline - Open,,Opportunity_Pipeline1,Public Reports,Matrix,You should set a description!
8,1,Open Pipe by Owner,,Open_Opportunities_This_FY1,Public Reports,Matrix,You should set a description!
9,1,Avg. Deal Length,,Avg_Deal_Length,Public Reports,Matrix,You should set a description!
10,1,Merged Account History,,Merged_Account_History_Zg8,Public Reports,Summary,You should set a description!
11,1,Leads this week National,,Leads_this_week_National,Public Reports,Summary,You should set a description!
12,1,Leads Last Week National,,Leads_Last_Week_National,Public Reports,Summary,You should set a description!
13,1,Service charge Opportunity,,New_Opportunities_Report_NFv,Public Reports,Tabular,You should set a description!
14,1,SC - Units,,SC_Units_pbH,Public Reports,Tabular,You should set a description!
15,1,advance payment,,advance_payment_few,Public Reports,Tabular,You should set a description!
16,1,Copy of Test Report Marketing,,Copy_of_Test_Report_Marketing,Public Reports,Summary,You should set a description!
17,1,Copy of Marketing Lead Source,,Copy_of_Marketing_Lead_Source1,Public Reports,Summary,You should set a description!
18,1,Copy of New student data test Report,,Copy_of_New_student_data_test_Report,Public Reports,Tabular,You should set a description!
19,1,active users last login,,active_users_las_login,Public Reports,Tabular,You should set a description!
20,1,"110, he rock without car space",,new_the_rock_and_st_john_QNR,Public Reports,Tabular,You should set a description!
21,1,unique emails in SF- SCOTT,,unique_emails_in_SF_SCOTT_7cQ,Public Reports,Tabular,You should set a description!
22,1,opportunity advance payment paid,,opportunity_advance_payment_paid_on_24th_Mlm,Public Reports,Tabular,You should set a description!
23,1,Activities with Opportunities Report,,Activities_with_Opportunities_Report_blR,Public Reports,Tabular,You should set a description!
24,1,Opportunities with successful Agent/TPT,,Opportunities_with_successful_AgentTPT_cTt,Public Reports,Summary,You should set a description!
25,1,Duplicate contacts & Opportunities,,Duplicate_contacts_Opportunities_7tW,Public Reports,Tabular,You should set a description!
26,1,unit fields are missing,,unit_fields_are_missing_jIS,Public Reports,Tabular,You should set a description!
27,1,Missing Wellesley and Berewood,,missing_50v,Public Reports,Tabular,You should set a description!
28,1,All units,,All_units_4OO,Public Reports,Tabular,You should set a description!
29,1,Opportunities report,,Opportunities_report,Public Reports,Summary,You should set a description!
30,1,Current FY Term and Break Clause,,Current_FY_Term_and_Break_Clause,Public Reports,Summary,You should set a description!
31,1,"Grainger trust residents",,portfolio_Grainger_trust_Asu,Public Reports,Tabular,You should set a description!
32,1,Ability Plaza,,Ability_Plaza_GGX,Public Reports,Tabular,You should set a description!
33,1,Ability Plaza -Missing,,Ability_Plaza_Missing_YJY,Public Reports,Tabular,You should set a description!
34,1,From HY (Apr 22) Term and Break Clause,,From_HY_Apr_22_Term_and_Break_Clause,Public Reports,Summary,You should set a description!
35,1,Younis Miho - SF,,Younis_Miho_SF_xez,Public Reports,Tabular,You should set a description!
36,1,Break clause review May 21 to End Jan 22,,Break_clause_review_May_21_to_End_Jan_22,Public Reports,Summary,You should set a description!
37,1,BTR South lets to date this month,,BTR_South_lets_to_date_this_month,Public Reports,Summary,You should set a description!
38,1,Guarantors report,,Guarantors_report1,Public Reports,Summary,You should set a description!
39,1,Touch Point Repairs Survey,,Touch_Point_Repairs_Survey,Public Reports,Tabular,You should set a description!
40,1,Touch Point Move In Surveys,,Touch_Point_Move_In_Surveys,Public Reports,Tabular,You should set a description!
41,1,Touch Point Month 3,,Touch_Point_Month_3,Public Reports,Tabular,You should set a description!
42,1,Touch Point Month 8,,Touch_Point_Month_8,Public Reports,Tabular,You should set a description!
43,1,Touch Point Move Out,,Touch_Point_Move_Out,Public Reports,Summary,You should set a description!
44,1,unit fields,,New_Units_Status_Report_qH8,Public Reports,Tabular,You should set a description!
45,1,Renewals Open Opps,,Renewals_Open_Opps,Public Reports,Summary,You should set a description!
46,1,All Touchpoint survey Responses,,All_Touchpoint_survey_Responses,Public Reports,Summary,You should set a description!
47,1,referencing completed,,referencing_completed_ivv,Public Reports,Tabular,You should set a description!
48,1,South - Lets agreed,,South_Lets_agreed,Public Reports,Summary,You should set a description!
49,1,Apex Windlass tenant data,,A_hhv,Public Reports,Tabular,You should set a description!
50,1,Brook Place Apartments,,Brook_Place_Apartments_a0W,Public Reports,Tabular,You should set a description!
51,1,Clippers tenant data,,Copy_of_Brook_Place_Apartments_Xod,Public Reports,Tabular,You should set a description!
52,1,Qube Filaments tenant data,,Qube_Filaments_tenant_data_oui,Public Reports,Tabular,You should set a description!
53,1,The Forge tenant data,,The_Forge_tenant_data_QLr,Public Reports,Tabular,You should set a description!
54,1,Gatehouse tenant data,,Gatehouse_tenant_data_SKi,Public Reports,Tabular,You should set a description!
55,1,Hawkins Lane tenant data,,Hawkins_Lane_tenant_data_PlF,Public Reports,Tabular,You should set a description!
56,1,The Headline tenant data,,The_Headline_tenant_data_0Tv,Public Reports,Tabular,You should set a description!
57,1,Millet tenant data,,Millet_tenant_data_Pk1,Public Reports,Tabular,You should set a description!
58,1,Pin Yard tenant data,,Pin_Yard_tenant_data_IP7,Public Reports,Tabular,You should set a description!
59,1,Solstice Apts tenant data,,tenant_data_EXL,Public Reports,Tabular,You should set a description!
60,1,Weavers yard tenant data,,tenant_data_Uz4,Public Reports,Tabular,You should set a description!
61,1,Payment stage report,,New_Report_NmG,Public Reports,Tabular,You should set a description!
62,1,Commercial Rent - VAT,,com_sSt,Public Reports,Tabular,You should set a description!
63,1,PYMT SCH VS PYMT MERCHANT GROUP report,,PYMT_SCH_VS_PYMT_MERCHANT_GROUP_report_3IV,Public Reports,Tabular,You should set a description!
64,1,Payments created by webapp > 14,,Payments_created_by_webapp_14_9St,Public Reports,Tabular,You should set a description!
65,1,BTR -South,,BTR_South_BEz,Public Reports,Tabular,You should set a description!
66,1,Agent lets 22/23 financial year,,Agent_lets_22_23_financial_year,Public Reports,Summary,You should set a description!
67,1,accounts and opportunity R2R Check,,accounts_and_opportunity_R2R_Check_7L2,Public Reports,Tabular,You should set a description!
68,1,Agent vs Direct Lettings South,,Agent_vs_Direct_Lettings_South,Public Reports,Summary,You should set a description!
69,1,6th payment failed,,X6th_payment_expired_iPQ,Public Reports,Tabular,You should set a description!
70,1,3112,,X3112_X3t,Public Reports,Tabular,You should set a description!
71,1,Listing with units,,Listing_with_units_dO7,Public Reports,Tabular,You should set a description!
72,1,PS-000010653 to expired,,PS000010653_to_expired_daz,Public Reports,Tabular,You should set a description!
73,1,Tenancy end date against terms,,Tenancy_end_date_against_terms_r9t,Public Reports,Tabular,You should set a description!
74,1,lead convert,,lead_convert_QXk,Public Reports,Tabular,You should set a description!
75,1,uplift value report,,uplift_value_report_X5O,Public Reports,Tabular,You should set a description!
76,1,Repairs completed,,Supplier_with_Contact_Report_iHG,Public Reports,Tabular,You should set a description!
77,1,Mears Group,,Mears_Group_RPG,Public Reports,Tabular,You should set a description!
78,1,Mears contacts and accounts,,Mears_contacts_and_accounts_wMz,Public Reports,Tabular,You should set a description!
79,1,Agreements Opportunity monthly £0,,Agreements_Opportunity_monthly_0_uyc,Public Reports,Tabular,You should set a description!
80,1,User with Units Report,,User_with_Units_Report_eIi,Public Reports,Summary,You should set a description!
81,1,April FY23 All Touchpoint Surve,,April_FY23_All_Touchpoint_Surve_sNW,Public Reports,Summary,You should set a description!
82,1,2023 Duplicate Person Accounts Report,,X2023_Duplicate_Person_Accounts_Report_mkb,Public Reports,Summary,You should set a description!
