"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","1","The class 'AVM_UnitTriggerHandler' has a Standard Cyclomatic Complexity of 17 (Highest = 16).","Design","StdCyclomaticComplexity"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","3","The static field name 'EOT_STATUS_SET' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","5","The method 'captureAxisModstampOnEot' has a Standard Cyclomatic Complexity of 16.","Design","StdCyclomaticComplexity"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","5","The method 'captureAxisModstampOnEot(Map<Id, Unit__c>, Map<Id, Unit__c>)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","5","The method captureAxisModstampOnEot() has an NCSS line count of 62","Design","NcssMethodCount"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","8","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","11","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","17","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","34","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","48","Deeply nested if..else statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","67","Deeply nested if..else statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"14","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","70","Deeply nested if..else statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"15","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandler.cls","3","84","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandlerTest.cls","3","28","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandlerTest.cls","3","31","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandlerTest.cls","3","55","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
